train_range;test_range;time;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1993-03_2024-02;2023-03_2024-02;0.5892382069723681;AP;oleodiesel;arima_catboost_arima_noresid_catboost_noresid_rf_rf_noresid_svr_noresid_ETS;{};12;12;592.5674766246938;0.06553908039362537;81.81818181818181;-4.964704267993153;4682.591593297541;0.0;8411.744507919999;8255.584101200006;8140.588907920002;8927.08353204001;8874.071270799997;10305.388970799988;9290.941053739996;9500.276447920001;9150.914482719994;8907.810992720002;8049.780789999995;7233.222999999995;[-552.147507919999, -521.3351012000057, -336.87190792000274, -873.6385320400095, -982.0842707999973, -870.192970799988, -444.91805373999705, -438.6464479200022, 503.4385172800048, -498.97099272000196, -245.5547899999956, 292.30600000000504]
1993-03_2023-02;2022-03_2023-02;0.5739861350157298;AP;oleodiesel;arima_catboost_arima_noresid_catboost_noresid_rf_rf_noresid_svr_noresid_ETS;{};12;12;1014.7521220164634;0.09589066747739057;72.72727272727273;1.714227433088646;12026.918412321804;0.0;8778.421682720009;8527.644494200003;8596.680142720004;8929.527682140002;9204.897502800006;10306.14731279999;9543.143893090004;9952.782102719995;9714.209034520007;9663.814434520003;8396.252567289992;7742.079995829999;[248.93931727999188, 845.022505799996, 1200.964857279996, 1018.1443178599984, 1251.3104971999946, 1790.5356872000102, -152.92689309000343, -958.098102719996, -700.7930345200075, -1455.7484345200028, -387.5605672899919, -792.4909958299986]
1993-03_2022-02;2021-03_2022-02;0.5501117929816246;AP;oleodiesel;arima_catboost_arima_noresid_catboost_noresid_rf_rf_noresid_svr_noresid_ETS;{};12;12;1184.602611585282;0.10114353536423998;72.72727272727273;-1.1929531841251724;14042.566115902931;0.0;8912.924533760011;8650.937783599997;8397.598983760006;8644.092856120007;9028.844572399996;10778.319082400003;8919.459291219999;11504.197473759998;12021.03158816001;12108.847518160006;8741.878279999986;7609.02094;[567.8674662399881, 740.8002164000027, 1057.112016239993, 727.3231438799921, 905.0724276000037, -574.8740824000033, 435.02870878000067, -1424.149473759997, -2622.8745881600116, -1889.3725181600057, 7.753720000013345, 710.851059999999]
1993-03_2021-02;2020-03_2021-02;0.5336112600052729;AP;oleodiesel;arima_catboost_arima_noresid_catboost_noresid_rf_rf_noresid_svr_noresid_ETS;{};12;12;1120.4523169618117;0.08251692762907915;72.72727272727273;8.553340668328563;13272.92063535026;0.0;8460.458039520001;8248.571462200005;7889.693649520003;8502.985418740007;8524.4726348;9912.344074799996;8680.690860190005;10170.29138952;10029.719063319988;9727.949753320001;8222.553519999996;7007.019199999999;[-61.02603952000027, 295.2225377999948, -166.91564952000317, 119.1085812599922, 1150.8573651999995, 870.0659252000041, 1436.193139809995, 1007.0916104799999, 1624.8039366800112, 2419.3842466799997, 30.41348000000471, 1131.073800000001]
1993-03_2020-02;2019-03_2020-02;0.5182474179891869;AP;oleodiesel;arima_catboost_arima_noresid_catboost_noresid_rf_rf_noresid_svr_noresid_ETS;{};12;12;914.3034276020225;0.08645672492766282;72.72727272727273;7.251666197814958;10832.658678432845;0.0;7865.614986879996;7728.640901800009;7433.242196880003;8327.064468060003;7918.273221200001;9137.301461199999;8802.405935610002;9486.543136879993;9039.72093907999;8867.355179080005;8020.859879999992;6949.723929999995;[-791.5569868799957, 205.36709819999123, 863.7078031199981, 268.01753193999684, 2017.4707787999996, 1236.224538800001, 835.096064389998, 491.45486312000685, 663.9430609200099, 274.8428209199956, 788.9591200000077, 932.029070000005]
