DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;259748.6293050007;MS;oleodiesel;knn_noresid;{'n_neighbors': 7};12;12;16460.893789871247;0.07794072523539429;63.63636363636363;6.941356732748429;0.9133170033783005;179497.27144651095;146833.3848943793;143968.16737935154;151276.77860115797;175041.17912571752;182708.2944185385;172246.9148598118;175771.20710831307;151387.05343581515;130684.5395427532;128743.82289806339;147628.4879807238
log;1149890.3414180274;MS;oleodiesel;knn_noresid;{'n_neighbors': 9};12;12;36428.66828724838;0.16986471097367314;27.272727272727273;6.985351969646969;2.032465185218967;127251.67220068011;133011.30799750108;145276.93615208654;173987.42456183434;151520.87277567873;143048.13950569235;150614.61509419885;172070.01884685754;183082.80618350374;173088.68784726845;176933.22739637838;155009.85154485717
deseasonal;133298.15872900112;MS;oleodiesel;knn_noresid;{'n_neighbors': 7};12;12;16859.465853037633;0.07721268636273164;81.81818181818181;7.593840351591462;0.9222340976222525;169836.62634448754;141960.11333547757;140343.15076275953;148246.42304503894;170016.88191300925;182432.97052146084;174232.46930547012;174041.37239676056;152854.3193357625;132220.47707433032;132317.22511677176;154062.81666675227
