train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;4301.6449342952965;0.26774111859222066;45.45454545454545;18.64325631876571;102105.04874829756;0.7246239864304942;11587.007659323968;9999.247408242049;13001.689625606228;9112.767215939468;4497.271771283554;8366.272129510951;9463.909862413;11351.93849996975;11867.140007633774;10632.884560441185;8108.191388807452;8807.826256192095;-3.8699868208268944;0.00226717301739243;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;True
1990-01_2022-02;2022-03_2023-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;3158.2473069436674;0.2582173340315228;81.81818181818181;9.506615202324948;25219.91002543696;inf;8719.68025449619;8100.384731816142;9458.284203384175;8303.653224707052;8084.324627901364;6951.697671300379;8567.678200730725;10991.75385749985;10643.350833361179;10448.001406444071;8093.3719713954915;9895.462470653629;-3.83487248632687;0.002570011923621897;16;368;-3.4482453822848496;-2.8694261442901396;-2.5709711770439507;True
1990-01_2021-02;2021-03_2022-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;5133.651321048773;0.5677636802335051;54.54545454545455;-34.78760480975895;102315.8332718629;1.742293432725948;11117.973798121968;12061.750977433669;11539.601435396438;10486.559722435488;12147.689716842993;14694.704851871013;17234.208974880312;15388.55671969524;12977.313069484528;13156.340924571748;12601.460724339879;12125.269753668064;-3.0270815605448065;0.03244156022739814;11;361;-3.4485948978753314;-2.86957971128312;-2.571053050314224;True
1990-01_2020-02;2020-03_2021-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;4492.128557161634;0.47651184236045724;72.72727272727273;-23.485412392283127;53982.02438741983;0.604413505386122;14506.166877733167;13572.295348945929;13110.770650422142;13325.533404031736;15441.302933094135;14340.371314405887;13856.219923103914;14470.284546361225;15570.37020353118;18092.861988914872;15856.450699119101;13907.28677050185;-2.955957072112505;0.0392172174107318;11;349;-3.449226932880019;-2.869857365438656;-2.571201085130664;True
1990-01_2019-02;2019-03_2020-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;3553.0173822749025;0.22975988306891162;54.54545454545455;-10.14732469551227;70289.90166601595;0.639339307317701;16925.162625202694;15286.335520592245;16865.568086091225;15767.402495678452;15044.458247048995;15078.023823460664;16640.421252333592;16208.805935077435;15427.654752164693;17426.640757657195;17286.86027745613;16312.852372855657;-5.184609589111085;9.450967704337126e-06;2;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;True
1990-01_2018-02;2018-03_2019-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;9082.716288310074;0.38525548188612885;63.63636363636363;43.88772958185337;144536.94128411807;0.9357065368061874;10251.02655471966;9471.158927607026;8965.62272544644;8012.253158504603;7836.969840439798;8111.06744226931;8123.406691784405;8251.05405696682;8093.392603799718;8370.525170276413;8300.299472100687;8410.777541026047;-5.074486171480486;1.5773131583394323e-05;2;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;True
1990-01_2017-02;2017-03_2018-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;2272.5884579737044;0.1991425312687671;36.36363636363637;13.016283645096241;62823.43447923211;0.40835168491874374;6301.727407247958;6491.206903463322;6431.7664507422005;6275.759355222849;6086.863801447401;6063.265493208986;6130.792923442445;6219.649449577164;6133.03451191809;6451.084895185663;6092.060075424355;6285.985249882034;-5.138323724631759;1.173349697557129e-05;2;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;True
1990-01_2016-02;2016-03_2017-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;4060.829808301488;0.6221960828558357;63.63636363636363;-61.87767025991142;65045.34777757531;0.9698265362844645;10861.259344674643;9524.936628892388;9963.61466210769;11262.861036007169;12229.842393498533;10898.574061847447;9939.827686383429;10167.81150470693;9398.964021779706;10337.353002660966;9877.124003956837;10814.353626366232;-2.374985694592287;0.14892132076092918;11;301;-3.452263435801039;-2.871190526189069;-2.571911967527952;False
1990-01_2015-02;2015-03_2016-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;4376.841515492929;0.36273011558716245;45.45454545454545;36.700062904519484;104072.09464939749;2.206491538107094;6693.510931978505;7803.306407162234;7742.043863518855;5769.258320341507;6308.946400733824;6436.8171327950695;5196.8829762678015;6916.380257866882;6435.024808437708;6302.421636620679;8354.785282408006;8631.338342074463;-2.3398135313336885;0.15944853959939487;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;2187.227690509567;0.19320094617345562;72.72727272727273;21.710870989298108;26015.19002795727;0.3555736738735126;5648.54833826898;5836.949778325797;4443.005348379272;5343.971551663964;5136.220841849799;4408.863619058793;4282.8318348208595;5093.883688304416;4225.423240983962;5431.76288656247;5299.710375222329;5355.397625204606;-2.4111594497379976;0.1386114769972996;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
1990-01_2013-02;2013-03_2014-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;1010.056865698308;0.15760277468660447;27.272727272727273;13.680475463671476;31882.435522912485;0.1551975332593789;4802.436110939032;4076.800522918266;3934.8533680148626;4512.390313806774;3813.141703994186;3817.608013400627;3935.3053309614234;3748.0434259669382;3808.4199682348903;4292.779568558489;4217.998663716662;4313.902979346451;-2.3270719115135345;0.1633853202289257;11;265;-3.4552699038400827;-2.8725092359464526;-2.5726152830188678;False
1990-01_2012-02;2012-03_2013-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;1055.6069322441913;0.2680812985038829;63.63636363636363;-3.296837223533299;16748.25733142523;0.16589904221068735;4957.639626687727;4887.951138397891;4862.436527026732;4783.383923165944;4353.023077478421;3962.9785908742087;3574.382882768019;3220.5780349516945;2905.3287827813742;3115.505659015012;3152.678277862886;3777.746141240955;-2.209458945268692;0.20283033503083242;11;253;-3.4564641849494113;-2.873032730098417;-2.572894516864816;False
1990-01_2011-02;2011-03_2012-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;3342.0882274754053;0.8328166157911764;72.72727272727273;-77.96268818580323;40683.24098511121;0.5571605027906517;7791.1112185983975;7476.798496182927;6808.971663267585;6846.259209333724;7269.669463285376;7172.6996190154405;7557.562153357641;7239.459508864522;7297.606960729553;8107.076918233448;7732.482401877991;7434.019923957244;-2.013413837427731;0.280722746398386;11;241;-3.4577787098622674;-2.873608704758507;-2.573201765981991;False
1990-01_2010-02;2010-03_2011-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;1254.6339527175442;0.15984733361770828;54.54545454545455;-14.843870912072813;24784.18854504622;0.30545303887502023;7823.950479845156;7530.309012923271;7633.2626934334;8481.361846797921;7875.178522849361;8040.23378252116;9201.517345263483;8762.143418645526;8669.384466167125;10018.988740855864;8901.584808932113;8219.013117156308;-1.8233294256000214;0.36894232748910727;11;229;-3.4592326027153493;-2.8742454699025872;-2.5735414688888465;False
1990-01_2009-02;2009-03_2010-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;2312.61290472694;0.2110113336625817;9.090909090909092;16.79784922464386;91255.13506339399;0.6213992445282985;8408.747534072905;7631.2258251938765;8186.409977431273;8154.964076832996;7149.489267064194;7760.101629314557;7488.914873632261;6744.686054732254;7365.434745478734;7555.32372216889;7634.070762821947;8300.609763473387;-1.777090862103408;0.39189328531622847;11;217;-3.460849270544952;-2.87495318813585;-2.5739190539191745;False
1990-01_2008-02;2008-03_2009-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;1410.3182966533552;0.15452035642921585;72.72727272727273;16.114947022181138;16751.25370777079;0.38655170198607136;6924.948650214406;7259.282422779888;6204.058164973364;6519.623379296326;6292.094730560102;6024.091253118199;5898.116317379171;6181.041699340568;6237.548816713342;6293.500547648308;6616.789085417778;6153.422671059934;-4.091096301497328;0.001001871039970865;2;214;-3.4612821203214907;-2.875142613826617;-2.574020122281422;True
1990-01_2007-02;2007-03_2008-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;2295.355592146957;0.35682526198564285;81.81818181818181;36.59699237502913;18428.703034696046;0.47020886445185506;4865.299169165948;4093.0322885009273;1865.5553943395685;3487.243102258549;2734.7687719224296;3525.3278062729255;3828.9408675790696;2844.5472415463014;3848.4291650887412;4066.624011257695;4155.84014383241;3885.292066264621;-4.275914355973499;0.0004888634395343594;2;202;-3.4631437906252636;-2.8759570379821047;-2.574454682874228;True
1990-01_2006-02;2006-03_2007-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;850.3660790786056;0.152685915480293;63.63636363636363;8.590638932800571;13448.419300801812;0.08924839184946504;3135.511273752755;2718.5672309049896;3201.2429554091154;2908.1297726205285;2952.986081915344;3088.0033529946386;3288.524409706838;2841.704452072096;3137.1619382640365;3327.870106312737;3172.2299219448764;3069.005227803166;-4.355585827061145;0.0003554193606771828;2;190;-3.4652439354133255;-2.8768752281673717;-2.574944653739612;True
1990-01_2005-02;2005-03_2006-02;PB;etanolhidratado;ARIMA;(21, 1, 24);12;12;509.38482025228745;0.13079161606881015;72.72727272727273;12.93871718388755;6045.941403613641;0.05903817145340693;2679.6152354237415;2403.4500210109795;2741.4788838506975;2606.5477808560013;2344.7689313614455;2828.0370254391214;2711.8989274565884;2544.0531904948743;2573.2855548339717;2613.9507403071475;2571.685879294439;2511.9074606324384;-4.143896516614482;0.0008187781125446381;2;178;-3.467631519151906;-2.8779183721695567;-2.575501353364474;True
