train_range;test_range;time;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;error_series
1990-01_2023-02;2023-03_2024-02;2.0516467679990456;RS;gasolinac;DWT_svr_bior2.2;{'kernel': 'rbf', 'C': 10, 'gamma': 0.005, 'epsilon': 0.5};12;12;12409.602981539063;0.032878176758899536;81.81818181818181;-0.8147991570992722;97877.21600161702;0.5777460344834461;326068.3486621311;314578.27261236764;316121.527787393;305029.72829578246;314634.723100494;323306.5891637461;321054.4480608624;323631.123017644;322651.4547137812;357251.98323140986;327484.8856114847;315733.7514432734;[1858.059337868879, -13686.239612367644, 21603.08121260698, -2551.5882957824506, -13642.750100494013, -127.17616374610225, -19906.929060862458, -8176.036017643986, -6164.476713781187, 14319.72776859015, 9445.329388515325, -14229.050443273387]
1990-01_2022-02;2022-03_2023-02;1.8307740459858906;RS;gasolinac;DWT_svr_bior2.2;{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001, 'epsilon': 0.5};12;12;29427.05102009247;0.07675846665612703;72.72727272727273;7.753852483021532;348495.8995379451;0.7665840073633583;283899.39995459456;276976.6556111606;273052.9903943852;273145.7366533507;278322.25278437557;280485.8915816311;280236.2462136711;285746.28323329764;281837.3095147925;312315.34805721417;286776.52003556065;273420.40064453817;[2856.5210454054177, 3808.9293888394022, 8931.826605614799, -4953.876653350715, 20372.234215624456, 31125.998418368923, 31478.802786328888, 33713.258766702376, 30981.606485207507, 58614.41994278581, 28117.012964439346, 39585.33535546181]
1990-01_2021-02;2021-03_2022-02;3.313909541000612;RS;gasolinac;DWT_svr_bior2.2;{'kernel': 'rbf', 'C': 1000, 'gamma': 0.005, 'epsilon': 0.1};12;12;21002.33402422389;0.05353950333212454;81.81818181818181;-4.606837893847974;165837.8228253894;0.7405009584860613;291704.15320561663;291421.9298532095;268173.60353091685;258563.42745870334;301855.80764351564;275968.70514882467;289683.23184775107;299111.4797596804;286122.8780826711;314493.5621275905;290691.2136270167;270242.71637300873;[-48527.36020561663, -46667.402853209525, -4545.424530916847, 621.832541296666, -9027.601643515634, -1980.0171488246415, -10279.675847751088, -14747.899759680382, -16088.862082671083, 1419.6508724094601, -6652.577627016697, 5065.930626991263]
1990-01_2020-02;2020-03_2021-02;1.8579225389985368;RS;gasolinac;DWT_svr_bior2.2;{'kernel': 'rbf', 'C': 1000, 'gamma': 5, 'epsilon': 0.5};12;12;48620.54239315646;0.17372417611844845;63.63636363636363;-16.010823831931223;769235.2022254326;1.189849513995752;302946.80152946175;299585.9427201086;296928.1930161659;294998.6833495579;300071.46636469074;304086.0834000955;299433.50766675244;309011.10345024534;303146.8585925339;330790.1168552274;304604.0965241377;291704.5145203485;[-59091.07252946176, -96820.73072010861, -66081.29301616593, -49744.89234955792, -46260.53336469075, -54497.32440009553, -36324.416666752426, -11441.906450245355, -21545.241592533886, -6347.608855227416, -18367.37652413774, -35467.72452034851]
1990-01_2019-02;2019-03_2020-02;3.157782815018436;RS;gasolinac;DWT_svr_bior2.2;{'kernel': 'rbf', 'C': 1000, 'gamma': 0.005, 'epsilon': 0.2};12;12;14602.977173290587;0.03550401870107143;54.54545454545455;-2.655877533899088;287646.7732582495;0.8753841284126892;325176.7559390794;299595.9796595394;303353.5270835485;297829.7455667114;288150.97252451343;307267.5567302062;301398.48160722083;294510.20346431975;309114.83834928833;336873.80494912836;300513.15493432345;287901.1849571827;[-29928.96593907941, -1802.938659539388, -18467.143083548464, -26092.33256671141, -7.699524513445795, -3014.386730206199, -21664.23560722085, 10946.729535680264, -4581.500349288341, 3114.854050871625, -3028.6749343234696, 51.12504281732254]
