comparates,FFORMA,ADE,orchestrator_react_gpt-oss,orchestrator_react_qwen,median,dba,mean
FFORMA,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0177
3 / 0 / 4
0.0971 / 0.1433 / 0.7596
0.3750","-0.0198
3 / 0 / 4
0.1780 / 0.0063 / 0.8156
0.5781","-0.0202
3 / 0 / 4
0.2082 / 0.0059 / 0.7859
0.5781","-0.1047
2 / 0 / 5
0.1016 / 0.0146 / 0.8838
0.2969","-1.5604
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.5604
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
ADE,"0.0177
4 / 0 / 3
0.7596 / 0.1443 / 0.0962
0.3750",-,"-0.0022
3 / 0 / 4
0.4490 / 0.0022 / 0.5488
1.0000","-0.0025
3 / 0 / 4
0.4499 / 0.0024 / 0.5477
1.0000","-0.0870
2 / 0 / 5
0.0849 / 0.0086 / 0.9065
0.2188","-1.5428
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-1.5428
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
orchestrator_react_gpt-oss,"0.0198
4 / 0 / 3
0.8129 / 0.0064 / 0.1807
0.5781","0.0022
4 / 0 / 3
0.5456 / 0.0022 / 0.4522
1.0000",-,"-0.0003
1 / 3 / 3
0.0000 / 1.0000 / 0.0000
0.3730","-0.0849
4 / 0 / 3
0.4580 / 0.0489 / 0.4931
1.0000","-1.5406
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-1.5406
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
orchestrator_react_qwen,"0.0202
4 / 0 / 3
0.7879 / 0.0058 / 0.2062
0.5781","0.0025
4 / 0 / 3
0.5483 / 0.0022 / 0.4496
1.0000","0.0003
3 / 3 / 1
0.0000 / 1.0000 / 0.0000
0.3730",-,"-0.0845
5 / 0 / 2
0.4577 / 0.0485 / 0.4938
0.9375","-1.5403
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.5403
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
median,"0.1047
5 / 0 / 2
0.8823 / 0.0159 / 0.1019
0.2969","0.0870
5 / 0 / 2
0.9075 / 0.0086 / 0.0839
0.2188","0.0849
3 / 0 / 4
0.4923 / 0.0489 / 0.4589
1.0000","0.0845
2 / 0 / 5
0.4937 / 0.0485 / 0.4578
0.9375",-,"-1.4557
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.4557
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
dba,"1.5604
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5428
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5406
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5403
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.4557
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156",-,"-0.0000
2 / 0 / 5
0.0000 / 1.0000 / 0.0000
0.0781"
mean,"1.5604
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.5428
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5406
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5403
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.4557
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","0.0000
5 / 0 / 2
0.0000 / 1.0000 / 0.0000
0.0781","If in bold, then
p-value < 0.05"
