DATA;transformation;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;MCPM
error_normal;normal;AL;glp;ARIMA+SVR;sum;12;12;500.0272108484584;0.02534886385020813;81.81818181818181;1.13826416538779;0.5491553527040246;3942.3813972194007;15745.272577028847;14367.812868124587;15091.046687406862;14858.55337527948;16209.622541391811;16774.98734692965;15759.2206780658;16005.247271878936;15480.677820536623;14970.04518631668;15252.626096015461;14252.673808834916
error_noresid_normal;normal;AL;glp;ARIMA+SVR;sum;12;12;478.6254079474699;0.02251223437411844;81.81818181818181;1.9646756040881797;0.4941171876237465;3773.0407562826344;15575.91316735462;13969.617675963495;14774.76048388498;14665.444756693701;15922.22474600623;16746.34742960297;15258.203013177466;15739.542932240285;15372.650026953708;15663.849612092696;15227.32488950128;14307.384653302983
error_resid_normal;normal;AL;glp;ARIMA+SVR;sum;12;12;514.3818479744971;0.026288980512706964;81.81818181818181;1.867775386949059;0.5727066413042727;4055.7692147992207;15251.94404543414;14245.92337440935;14649.146862637803;14617.898813227914;15986.006996589604;16457.882673377586;15618.041305154356;15863.61007630116;15400.014519683737;15244.413408948845;15500.348744849722;14569.134369173737
all_resid_normal;normal;AL;glp;ARIMA+SVR;sum;12;12;575.1443487190385;0.02988016153401783;81.81818181818181;1.0862440550958914;0.6446564557784693;4535.76417012926;15340.70380002647;14570.970254252761;14742.793322171958;14742.84063072682;16295.563611733996;16533.290193216882;16124.947731044736;16044.06848063595;15473.993479884139;14923.406294575114;15502.79422703583;14569.637293969352
error_log;log;AL;glp;ARIMA+SVR;sum;12;12;578.3340821596366;0.03196076367830021;72.72727272727273;1.0400987095002752;0.6898172498449835;6838.181340742682;15651.52684219963;14536.002590148555;14892.110411867528;14649.998730085224;15864.698464047313;16419.39433439911;16224.1981172593;16429.391761667495;15538.556682014565;15414.113445949366;15217.647305558887;14113.614045441642
error_noresid_log;log;AL;glp;ARIMA+SVR;sum;12;12;504.10300242714317;0.023693765093999914;81.81818181818181;1.8744895023259132;0.5169446209563576;3974.1403610033835;15147.866741520791;14113.751504771524;14830.774914015652;14402.656366343186;15782.631908661173;16406.659734211356;15642.018954349001;16054.472573776171;15210.613157015188;15909.22006582074;15492.01220885482;14399.138704662486
error_resid_log;log;AL;glp;ARIMA+SVR;sum;12;12;610.006786314481;0.034454876457634676;81.81818181818181;1.7252621726259465;0.7474086457446253;4811.93013679676;14652.148095304621;14466.007986624096;14709.381866400498;14648.536515988588;15725.329082615974;16098.548447026824;15892.132167133661;16166.80610536952;15625.136338485307;15189.557675223294;15807.201934758645;14689.92925589
all_resid_log;log;AL;glp;ARIMA+SVR;sum;12;12;612.7840282065969;0.03487329156404505;72.72727272727273;0.99811453099057;0.7554024412619805;7246.299801549394;14922.413482486507;14371.15858074174;14626.948561118916;15080.072815274494;15844.242220297485;16380.45481318362;16617.21852614691;16436.627771493833;15630.887048429759;15144.487442707017;15704.748607872218;14270.459252919414
error_deseasonal;deseasonal;AL;glp;ARIMA+SVR;sum;12;12;518.1669856369181;0.02950973700929442;81.81818181818181;1.5635559984822092;0.6376711107059863;4086.3605407437963;15444.64721917091;14624.769868734124;15246.546695683537;15067.095488897472;15821.372261932695;16127.612896690196;15940.375715429289;15968.026230932188;15132.049964975433;15379.670287511015;15114.66274293431;14106.107089383435
error_noresid_deseasonal;deseasonal;AL;glp;ARIMA+SVR;sum;12;12;475.7598160341225;0.024922070631020397;81.81818181818181;2.022088294514104;0.5474740963661892;3750.967559867065;15213.145154483096;14106.892737370794;15045.007508643415;14813.785407513535;15669.024751920615;16054.64552509871;15609.388214940409;15857.547927930089;15302.942001608808;15942.162893529736;15241.687110349503;14259.732621366793
error_resid_deseasonal;deseasonal;AL;glp;ARIMA+SVR;sum;12;12;523.477852684627;0.028701496733619023;90.9090909090909;2.077217134789695;0.6288335890957901;2067.278455216559;14964.825511475847;14253.61762199686;14867.14714138379;14907.443689446753;15658.904016345867;16046.858947913533;15793.54534204946;16073.000814039064;15280.009979145316;15484.454393710204;15261.733648629697;14421.387621689986
all_resid_deseasonal;deseasonal;AL;glp;ARIMA+SVR;sum;12;12;518.3522617318855;0.028847927771350926;72.72727272727273;1.4746296971779582;0.6282421980538716;6128.26423184701;14983.25293293374;14477.904017397324;14996.127849521721;15198.641566745035;15777.52946120767;16037.203828471995;16121.543662385493;16100.203132853469;15241.572954123443;15350.537524626425;15348.366680973228;14506.251792348095
