DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;6162.821905667695;AP;gasolinac;ARIMA;{'p': 12, 'd': 0, 'q': 12};12;12;851.7891263332166;0.04138622394211202;83.33333333333333;2.7101844869292964;15435.255710419897;14793.496496582304;16308.706914168804;15650.197166788697;16186.138142560983;17236.849699887807;16794.62046529524;17431.10019734076;16657.679239053414;16698.716250748803;15740.806983142284;15277.58344838743;-4.254842057663294;0.0005313689357427818;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
deseasonal;5701.497222665472;AP;gasolinac;ARIMA;{'p': 14, 'd': 0, 'q': 11};12;12;788.2467463793676;0.03677172188966852;83.33333333333333;1.917108040393918;15616.699609194926;15132.835047972818;16135.021736417611;15762.31842896937;16816.654117805072;17725.69088063761;17081.337486608558;17537.396765943624;16752.146674842843;17165.469024417405;15303.747190449914;14764.982906799996;-3.9670888877595765;0.001592994509356727;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
deseasonal-log;9357.910492333624;AP;gasolinac;ARIMA;{'p': 11, 'd': 1, 'q': 6};12;12;862.940864915205;0.042398031009004;75.0;1.9166483365561993;15120.549943601121;15011.470997955867;16018.913298284737;16019.480813678978;16983.689686066067;17688.70455454676;17521.393193878805;17659.84601548867;16514.234683443636;16922.712484851236;15441.891006008058;14892.330858825952;-4.020554569040974;0.0013066244664038623;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
deseasonal-diff;5480.2453958523665;AP;gasolinac;ARIMA;{'p': 13, 'd': 1, 'q': 12};12;12;757.3471787118776;0.04345095343163826;83.33333333333333;-0.6685415093188471;15725.366345470062;15438.431461478345;16534.328850365873;16401.509672514352;16978.777009118745;17879.16759106231;17694.84436148514;17881.29670168785;16856.219543016006;17490.626035347148;16222.264290105344;15852.974089447045;-4.990931297015475;2.312883085991035e-05;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;True
diff;16078.152071739112;AP;gasolinac;ARIMA;{'p': 12, 'd': 1, 'q': 7};12;12;1111.9425480908476;0.05775909962475754;66.66666666666667;-3.693419017473101;15985.25719805545;15628.731198237127;16653.645534537343;17034.867354463775;17868.58698682342;18380.854128942017;18292.56041835498;18258.884653122463;17494.979120134707;17825.979011400123;17010.43987198902;16559.318919028046;-10.17052291385075;7.109716529052851e-18;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;True
log;9698.469678341999;AP;gasolinac;ARIMA;{'p': 14, 'd': 0, 'q': 14};12;12;894.3561032753339;0.042153128750972;75.0;3.329864157980052;15446.375058605714;14965.933448411302;16045.487666434537;15331.681682220145;16117.778669671363;17550.072671776;16745.64868570017;16954.18723804421;16754.4415448615;16662.601982487184;15513.907649072207;14886.022080760698;-4.306981873494998;0.0004320070393660908;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
log-diff;13351.009764978273;AP;gasolinac;ARIMA;{'p': 12, 'd': 1, 'q': 7};12;12;1230.196752284128;0.06207594132881724;75.0;-4.698584420959728;16158.76287815882;15763.318965974013;16660.048913685903;17206.421649986652;18066.353811552;18584.937520186264;18536.175451559582;18554.190009694037;17736.18592321175;18012.779017314402;17120.98513717039;16600.468909860472;-10.427812093321949;1.6402310769270984e-18;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;True
