DATA;MCPM;UF;PRODUCT;MODEL;SIMILAR-STATES;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;28311.884680560815;PB;oleodiesel;VARMA;['PE', 'CE', 'RN', 'PB'];(13, 4);12;12;3902.4897579903154;0.08726393202699777;83.33333333333333;8.789842078061321;34838.885816579415;32206.988084864694;33968.13672795146;31746.613833725572;34175.79875516826;38237.55414346066;39134.29593905528;41296.66185645864;40084.52725918991;39721.82684599933;37898.22103052917;35351.552844110636
serie-desnormalizada;38211.89868980431;PB;oleodiesel;VARMA;['RN', 'DF', 'PI', 'PB'];(13, 12);12;12;3518.1566564748614;0.08260531377140788;75.0;8.232774949114606;35935.32978148313;30020.19586520892;33951.732211203365;33275.398637424805;34163.60239896531;39963.733126469706;39664.977575420286;40131.85886126606;40591.902062903224;40304.97197761106;36599.34059983182;36737.147721899964
