DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;16239.069465299126;PA;glp;ARIMA;{'p': 10, 'd': 2, 'q': 12};12;12;1497.9110209202988;0.0359502196506351;81.81818181818181;3.5238385676599577;0.9417689889297012;33727.35698541067;32352.59642408276;33276.58300088435;32742.64352276703;32428.10133019345;33181.89415340437;31973.94686703242;32812.9847527617;33046.219649470295;33856.327928828694;32336.66396374132;31601.740519287545;-3.9887325964833256;0.001470673557426;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
log;17462.835968744053;PA;glp;ARIMA;{'p': 13, 'd': 1, 'q': 15};12;12;1610.5824611559358;0.0392096773469347;81.81818181818181;3.92589489849983;1.0242873082446242;33909.386979332514;32412.68947795472;33686.07794445757;31934.639133026423;32112.091272735368;33612.02022539729;31629.92358811237;32805.114780823096;32645.012752975217;33158.78153510986;32297.49118003268;31494.630943686985;-3.9823909602574585;0.0015055766632133;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
deseasonal;6115.922873095955;PA;glp;ARIMA;{'p': 4, 'd': 1, 'q': 5};12;12;1547.4755444365364;0.03607900805961684;90.9090909090909;3.5216855729307723;0.9449984950875215;33667.93984837577;32609.103636846306;33753.03036656583;32580.302840147306;32577.101034200507;33332.24987721449;32213.936980673992;32994.710461843;32454.536369003596;33775.494834639874;32119.998027387894;31267.4326641395;-4.844144278228098;4.474148360038948e-05;5;391;-3.4471856790801514;-2.868960436182993;-2.5707229006220524;True
