train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;16765.021698236804;0.05614325644829854;72.72727272727273;-4.519381776546522;198393.70614338963;1.1111712374106943;265694.04630405246;264305.32198307;270139.58582517644;257716.59496625044;259281.81773434745;262951.0752960248;271035.5117231195;264905.4292808683;272967.0539117812;287747.27437013376;281360.14180310804;282359.0944991438;-3.870812793919246;0.002260463928461326;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;True
1990-01_2022-02;2022-03_2023-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;10291.992091247534;0.03306253410157159;54.54545454545455;-0.917409091253059;202719.05526626657;inf;230458.05428870153;239150.10218888157;237754.88877428308;242940.75950548344;262603.1591960954;256223.61146075558;250949.23513224136;258257.26545793336;254040.49362797407;297030.89469285676;251881.04635339897;256414.9814804068;-3.8525149899173368;0.0024134751814816275;13;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;True
1990-01_2021-02;2021-03_2022-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;13469.323248351651;0.04573782304312434;45.45454545454545;1.2982098029986056;318398.0984137572;0.7706433017646592;225180.93347553257;208155.98551609475;214949.29732525887;220660.312510309;224416.66231557683;231068.40997596696;248178.80021652678;238506.89537204496;244976.93018978357;266547.1860866311;251600.63020948443;241694.72004016186;-3.5637699008142634;0.006492663886251718;13;359;-3.4486972813047574;-2.8696246923288418;-2.571077032068342;True
1990-01_2020-02;2020-03_2021-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;40973.86941868041;0.18447500380776763;54.54545454545455;-17.386022175420738;809740.5291372195;1.1203893843462889;248131.75137466335;245077.75545747462;237788.71197969376;233084.7318297331;251263.31208739916;256848.32194331268;244020.3512633548;264100.0776329349;266387.59531026223;291757.003018823;266115.1691661348;254194.79008900438;-3.5503409323859425;0.006784532273259079;13;347;-3.449336554273722;-2.8699055166063085;-2.571226758215748;True
1990-01_2019-02;2019-03_2020-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;12536.234651545445;0.039925913152774765;45.45454545454545;-0.9783704043774122;296309.42959052906;0.9625374084343216;257641.61576155652;241560.8879392467;233831.22914981388;234224.00440280698;238870.4208234134;238744.06866524037;238114.3213568135;236239.75635479242;243703.5348114821;256465.35825776323;254087.39691404466;255238.16318486762;-3.350853138383157;0.012752827936356915;13;335;-3.4500219858626227;-2.870206553997666;-2.571387268879483;True
1990-01_2018-02;2018-03_2019-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;13273.845265562175;0.048992488819895624;81.81818181818181;-1.6395104435983003;104786.41112439358;0.49084854669873607;242063.12786896585;218203.34050501027;223249.49532379853;226085.48125881335;228641.5841193781;237103.48753671095;226318.1990635292;232488.91467260546;237561.73140457645;257799.04934853845;242514.09357309365;231024.84430382377;-3.3607102895310526;0.012373436568113808;13;323;-3.4507587628808922;-2.870530068560499;-2.5715597727381647;True
1990-01_2017-02;2017-03_2018-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;10815.249932206832;0.03217143370250184;63.63636363636363;2.188844314132026;170447.19154439933;0.41291325363347026;234540.81821348157;230766.99345808954;227552.18961767;225671.30779852666;222049.28681770543;225571.93285508844;226680.55815849014;229416.67309751408;225725.36329823558;235458.46590601886;233636.45136597662;231149.9669102457;-3.216275661260702;0.01906169909235265;13;311;-3.451552879535732;-2.8708786756338407;-2.571745666091128;True
1990-01_2016-02;2016-03_2017-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;18722.553203808468;0.06853848460463306;45.45454545454545;-6.570982237114658;442762.9046036989;0.5838848390478765;228443.55358695987;231089.55416635834;217791.10941925828;228643.91601681666;235893.72009783526;237620.47927657934;233927.13749164212;242081.36589754038;242271.44351218772;277081.0109403257;244508.96002641268;252049.0754940914;-2.911713492701092;0.04400273504233285;13;299;-3.4524113009049935;-2.8712554127251764;-2.571946570731871;True
1990-01_2015-02;2015-03_2016-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;15373.449326853935;0.0568653309291469;54.54545454545455;-2.4539340143484822;302965.97647471447;0.3284610073569952;203161.22119192473;207291.96281698067;208418.12193990388;205100.99129726898;220664.01364703805;231577.8172495767;231249.28813586055;232937.62116784853;221163.67345781473;252147.44889376804;223249.04853602243;198660.3889427784;-3.1115329744316167;0.02571138621555931;13;287;-3.453342167806272;-2.871663828287282;-2.572164381381345;True
1990-01_2014-02;2014-03_2015-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;23218.268672046637;0.0961084359152598;72.72727272727273;-9.366181451088975;275162.07914628;0.5632112464350975;217997.08287082598;217935.9620970882;217927.9944675227;214158.42798479737;233342.50286628984;238135.72981141976;229115.27764926804;246848.09787319737;250965.21703996614;266937.91076717124;250385.74071590372;238869.61891256057;-2.921324346324646;0.042923868046185296;13;275;-3.454355055831705;-2.8721080938842976;-2.572401325619835;True
1990-01_2013-02;2013-03_2014-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;16185.763716670608;0.0691345882236168;81.81818181818181;7.016278139426876;127914.92526155766;0.282621788998623;177531.3727253607;170816.46891890367;172021.9478659535;176496.91560901114;183235.79353471156;197413.68404370805;184220.52523180787;196410.33103463505;194741.03560158436;213460.06087650594;195800.06128160484;180093.45574788403;-3.1060059684523895;0.026111900887239557;13;263;-3.4554613060274972;-2.8725931472675046;-2.5726600403359887;True
1990-01_2012-02;2012-03_2013-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;16738.525822208296;0.07659098951971609;54.54545454545455;-7.564260063315078;330010.92454750993;0.22054111059440223;192309.48098833504;191783.75728936456;182819.84464146482;183541.79970051552;188443.86528328765;202752.11160059448;198295.39247110917;197460.72472230816;208464.9208656693;234338.34868292647;213803.29871309863;216867.66427197444;-3.001618857673178;0.034743495658733546;13;251;-3.4566744514553016;-2.8731248767783426;-2.5729436702592023;True
1990-01_2011-02;2011-03_2012-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;9302.777006095419;0.04788711383185968;90.9090909090909;2.1119904818353543;36813.275697257755;0.10331087207073386;158502.29629120178;151941.05505953246;148185.02357640216;154672.40936311038;166238.70652931512;171169.8691501854;170275.26338867168;172963.15603216493;183116.83034390648;197291.14587783095;170357.49572192042;169217.6964159485;-3.2491933951830014;0.017308010438373163;13;239;-3.458010773719797;-2.8737103617125186;-2.5732559963936206;True
1990-01_2010-02;2010-03_2011-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;17276.368727418172;0.10330138301949009;81.81818181818181;-7.629084497950305;136789.72839028522;0.15692751532540788;135271.42133981799;138105.8083004225;135468.9383681544;150067.57738779267;158972.32995234794;160498.19102073507;167944.90387214418;180280.67846488592;181025.23737871213;199661.6869891299;172589.00647611666;171567.0971222575;-2.886773856237365;0.04690777727464089;13;227;-3.4594900381360034;-2.8743581895178485;-2.573601605503697;True
1990-01_2009-02;2009-03_2010-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;16812.084795976003;0.09292361270987431;45.45454545454545;6.00105643179578;397761.1877447023;0.10130478917177221;122099.81448440079;116364.96480968705;116505.20743357732;118472.35184092804;114726.80488194553;113370.33733419371;121711.94516170965;114689.77548049708;117263.71417710994;122370.75040461819;119847.17591506425;120185.56365617414;-2.3320851080028104;0.16182855707674015;11;217;-3.460849270544952;-2.87495318813585;-2.5739190539191745;False
1990-01_2008-02;2008-03_2009-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;10130.906099508948;0.05219166959648503;72.72727272727273;5.214242029195936;119869.87196658966;0.047307041547344726;112367.46998531782;112982.06617085637;109961.95760382808;107248.04530286307;111439.71556872054;108275.55617664324;106921.48831414223;106275.11086464867;107664.8148522891;109679.37833349283;106982.51894377223;106863.2053223784;-2.1851087461132925;0.21169444648795044;11;205;-3.4626576734812318;-2.8757444215841326;-2.5743412314098753;False
1990-01_2007-02;2007-03_2008-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;7239.4504883890395;0.05045064528321682;63.63636363636363;-4.067786785624375;114150.72817057073;0.03977003630615148;121386.2274748132;112722.64106672644;113368.8836003301;114245.38073758018;107164.85686562899;113673.54068478674;121427.69515818424;111815.26733760232;119381.83696398769;126534.91551692467;119777.48944448843;118628.56423195635;-2.4416057603901242;0.13033606550030358;11;193;-3.4646940755442612;-2.8766348847254934;-2.5748163958763994;False
1990-01_2006-02;2006-03_2007-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;14394.85025523919;0.10377118689767223;63.63636363636363;-8.068362719732537;227308.56483415255;0.09253860749991538;129279.99680190814;128258.05115249044;130582.50620856647;125304.05066720312;128202.07882878404;133969.45253393758;129097.12580884488;123240.58752738932;129773.82095321533;136206.10275706695;135826.59259087598;137931.537224638;-2.0567488502667213;0.2622577683731644;11;181;-3.467004502498507;-2.8776444997243558;-2.575355189707274;False
1990-01_2005-02;2005-03_2006-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;10178.303666915535;0.05735622926707548;72.72727272727273;3.976184768904903;120453.5046708754;0.052705626048520894;112328.97556957092;110215.70524540835;110007.03656220842;108670.61390647461;105683.71442762662;109636.76584544023;111755.53551936238;107940.01097649873;112378.4158893204;115104.9222082281;113668.43311699676;113399.31015581326;-2.033153499658725;0.2722282408476118;11;169;-3.469648263987657;-2.878798906308495;-2.5759713094779593;False
1990-01_2004-02;2004-03_2005-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;6719.277647864761;0.04353586948025653;72.72727272727273;3.0759677056569243;79478.07141154965;0.03565340235424916;103007.91279916016;103776.44474717413;101167.67318603885;102867.94640080463;105346.02019525293;106128.18494276803;108625.97783542465;105809.68755168362;109779.11428232411;112974.9942889142;111250.8193346831;111614.30314031475;-1.7875287923711747;0.38667064354231717;11;157;-3.472703119504854;-2.880131672353732;-2.5766826861130268;False
1990-01_2003-02;2003-03_2004-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;10067.414541809323;0.07644970437911047;36.36363636363637;-0.18853297163270283;277746.5443151516;0.0511162707143277;104107.43554061951;102075.55170685556;94730.3885057006;100908.87875258384;95803.55758518848;93326.7850714216;103079.98454890688;98624.03294816149;99100.89645524134;104446.2860189797;107515.98367683007;104293.86244294021;-1.894319035581531;0.3347383171982239;11;145;-3.476273058920005;-2.881687616548444;-2.5775132580261593;False
1990-01_2002-02;2002-03_2003-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;12806.42630347123;0.08680865773038836;54.54545454545455;6.898094403425913;252544.2405464914;0.05907232647305293;95287.32640075013;100177.18258062348;96842.26956377819;91824.67839475213;92997.3443087491;89069.89212227454;88465.56946010458;88199.83602629765;85720.70641852917;86426.43513187401;87084.1252622542;86866.73366052177;-1.554309732215338;0.5064947266753167;11;133;-3.480500383888377;-2.8835279559405045;-2.578495716547007;False
1990-01_2001-02;2001-03_2002-02;SC;gasolinac;ARIMA;(11, 2, 14);12;12;5898.856672080683;0.04778268986943996;63.63636363636363;0.3734063485425055;93005.70695045101;0.02916456294474493;100942.88732351126;88966.84094260064;90060.31823420028;95484.23036613125;91658.02460029827;87308.18000324414;93677.213030914;90949.5648653469;92141.98659474074;95879.20190075146;96051.42735743395;96246.58726414542;-1.6468779966949623;0.45866914640899725;11;121;-3.485585145896754;-2.885738566292665;-2.5796759080663887;False
