train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;RS;gasolinac;ARIMA;(8, 2, 18);12;12;28417.130961510207;0.07238385563218253;81.81818181818181;-5.100273172343839;224618.13635866795;1.2459382584990137;324045.2923801805;306905.676779329;315066.3280260483;305246.0588063106;341260.1509475274;343677.74822970055;342198.83869704977;347811.97160450707;353156.6408451843;361110.5745799813;336210.91758959496;355259.79633158224;-2.9262683427484344;0.042377511526432064;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;True
1990-01_2022-02;2022-03_2023-02;RS;gasolinac;ARIMA;(8, 2, 18);12;12;20230.584549677467;0.04260321808057799;63.63636363636363;3.365560512808248;318922.97297940863;inf;285488.6748648112;280269.43031792523;285747.15143246466;281313.9723512103;303198.1638465694;297226.2487828569;297831.80204536684;294120.5690270541;299421.014156185;314488.1391326683;297907.46982944425;310289.88759565464;-2.787424187158902;0.060092708825675065;11;373;-3.448003816652923;-2.86931999731073;-2.5709145866785503;False
1990-01_2021-02;2021-03_2022-02;RS;gasolinac;ARIMA;(8, 2, 18);12;12;26844.740600086065;0.08707052905841221;63.63636363636363;7.967190063640987;423708.5308709855;0.7591978771231386;258101.9782555988;225405.10586229482;244885.92751683912;238635.22618632007;250824.72938829477;263022.13916989963;266202.3787200906;260303.13544048063;248693.4373050743;265048.962464909;251422.01094616583;252226.74467745106;-2.7664436287576613;0.06322922907621507;11;361;-3.4485948978753314;-2.86957971128312;-2.571053050314224;False
1990-01_2020-02;2020-03_2021-02;RS;gasolinac;ARIMA;(8, 2, 18);12;12;54660.89072454995;0.19907421996730593;54.54545454545455;-17.917476793164305;1080573.0499353367;1.0902240332107487;319078.1851001373;292870.9663626469;292165.41029983974;294332.71338406694;321585.0542933639;307824.88967617194;296789.7139943138;315538.4166979956;319973.7691618091;313403.61775999365;298596.1140426252;324928.13635033875;-2.6778602469997677;0.07794839183613901;11;349;-3.449226932880019;-2.869857365438656;-2.571201085130664;False
1990-01_2019-02;2019-03_2020-02;RS;gasolinac;ARIMA;(8, 2, 18);12;12;15357.373058062505;0.03747083954493561;63.63636363636363;2.0544561521025964;242065.68155169487;0.7796085840239677;308480.9304974667;279150.556380207;284023.5063597737;275240.5118842743;290949.1500669828;293347.1974658521;285331.64552890597;291722.20056460286;298322.5146522505;299670.3682388146;282417.4414470288;295473.67292092164;-2.59666280118302;0.09368896206124167;11;337;-3.4499043309021955;-2.870154885338925;-2.5713597190254385;False
1990-01_2018-02;2018-03_2019-02;RS;gasolinac;ARIMA;(8, 2, 18);12;12;19823.2792779197;0.05625593775013593;63.63636363636363;-3.2424892044108518;312619.4706057559;0.6531977301155585;315325.9601420216;289369.0547768758;289214.88136239466;291607.5126883268;307402.22523301025;305947.55669852195;286816.576736996;300030.3232169779;303418.882341198;303384.2448415214;286720.070892809;301670.08614518977;-2.6087160051514307;0.09120919397587579;11;325;-3.450632157720528;-2.870474482366864;-2.5715301325443787;False
1990-01_2017-02;2017-03_2018-02;RS;gasolinac;ARIMA;(8, 2, 18);12;12;13451.46223490157;0.03514270999979986;63.63636363636363;-0.13270651554136273;212010.84772572387;0.5231361515364469;301663.83153389365;288740.6200363388;288786.66822252166;280563.0964930782;306555.4138198352;304347.2990695988;296972.9641085135;297908.7949409734;310266.63765348436;315263.49389162543;292751.71168690425;309488.3657769488;-2.5113210429203985;0.112744035737044;11;313;-3.4514162625887037;-2.8708187088091406;-2.5717136883095675;False
1990-01_2016-02;2016-03_2017-02;RS;gasolinac;ARIMA;(8, 2, 18);12;12;24885.959547801525;0.0705949217104566;72.72727272727273;-5.219092955895613;294650.73962139;1.2574235593518333;316151.80769384326;282810.0008693088;305598.5943303159;285103.3274827743;323851.131827473;293942.14282491617;298477.79580626136;303562.77257958037;308796.1387084817;322978.7311642221;289313.04207880906;332224.1889195921;-2.3936354393661605;0.14354082268004553;11;301;-3.452263435801039;-2.871190526189069;-2.571911967527952;False
1990-01_2015-02;2015-03_2016-02;RS;gasolinac;ARIMA;(8, 2, 18);12;12;20555.835822745117;0.06169088247148415;54.54545454545455;-4.793689063896541;405138.4122749532;0.8169888147416544;310022.8055010769;298062.7171596232;292577.51448825194;290046.19804522785;308137.70476754615;315892.247579983;297189.2947488858;301929.78424262267;306807.93961933895;329837.97332156147;296085.1586496604;299638.9642921684;-2.4776321301347894;0.12101195212366156;11;289;-3.4531816058796143;-2.871593390724642;-2.5721268156511536;False
1990-01_2014-02;2014-03_2015-02;RS;gasolinac;ARIMA;(8, 2, 18);12;12;58341.01176522187;0.18002916222420776;54.54545454545455;-17.442310326580323;1152842.381756627;3.2280943919527028;321722.63661000406;318983.3510188701;324845.3376334667;320811.1481297299;351017.61066076095;344420.41124872037;336050.6151226129;351741.4047704968;363029.4388838776;383985.9725095071;363413.32702622504;385917.85035287257;-2.313012611599859;0.16780548493390235;11;277;-3.4541800885158525;-2.872031361137725;-2.5723603999791473;False
