DATA;MCPM;UF;PRODUCT;MODEL;SAVED MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;2830.5526229492816;MA;querosenedeaviacao;ARIMA;./pickle_arima_rolling/querosenedeaviacao/normal/MA_normal.pkl;{'p': 13, 'd': 1, 'q': 14};12;12;260.44761524539837;0.09000213262818962;75.0;-2.131734561727864;2150.263545565287;1873.8574498982582;1905.9671378883045;1987.7186676920187;2446.816378546253;2367.8787209559678;2302.11184527606;2599.8753961651933;2446.2587385655306;2923.2447781137375;2913.6989688913086;2195.1386511358814;-3.897601421256189;0.0020525704088537717;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
deseasonal;2543.051891901315;MA;querosenedeaviacao;ARIMA;./pickle_arima_rolling/querosenedeaviacao/deseasonal/MA_deseasonal.pkl;{'p': 14, 'd': 0, 'q': 14};12;12;349.55485028610155;0.12837204751320222;83.33333333333333;-11.27697687200297;2379.8055556173526;2143.1921393510984;2131.130737003834;2287.959112866651;2741.792750136431;2715.8182875762586;2439.382210252451;2795.6292876793264;2681.685483994227;3017.1367623529454;3000.7190717951853;2295.9026681106748;-6.552935531183593;8.75886472753722e-09;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
deseasonal-log;2212.9746512451156;MA;querosenedeaviacao;ARIMA;./pickle_arima_rolling/querosenedeaviacao/deseasonal_log/MA_deseasonal_log.pkl;{'p': 5, 'd': 0, 'q': 3};12;12;203.75882827382975;0.07289482860542527;75.0;-0.6573469621123769;2347.0872849374746;2004.5435876147396;2030.3986881939154;2007.852065886545;2554.460638219269;2385.7290210137367;2141.553617250445;2412.406835567548;2322.7730310482034;2692.4173530750445;2729.22097491436;2078.546542596313;-6.372824573409251;2.322376002693914e-08;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
deseasonal-diff;2200.71917556929;MA;querosenedeaviacao;ARIMA;./pickle_arima_rolling/querosenedeaviacao/deseasonal_diff/MA_deseasonal_diff.pkl;{'p': 5, 'd': 1, 'q': 4};12;12;202.63038429169723;0.0728533076196133;75.0;-1.597083894761437;2421.910337572228;2073.447027528974;2127.8218082444178;2081.038039786028;2548.509442448901;2411.1407638317905;2151.719401242236;2385.049340163295;2330.161390581533;2673.902329019108;2696.182865401291;2064.7793336524996;-9.986177251837548;2.052659533967817e-17;9;387;-3.447360865754795;-2.8690374364690445;-2.5707639493486636;True
diff;4794.752284630832;MA;querosenedeaviacao;ARIMA;./pickle_arima_rolling/querosenedeaviacao/diff/MA_diff.pkl;{'p': 5, 'd': 1, 'q': 3};12;12;189.55503833880272;0.06304794525516741;41.666666666666664;-3.492158090445252;2275.488601736023;2336.530989870571;2476.9833196965487;2338.7620004853525;2361.621621705596;2385.552978200488;2356.0751857479854;2414.750951740365;2360.0363999079345;2405.9127472096993;2380.787969095314;2394.798346815965;-8.118950980923243;1.1701453215760643e-12;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;True
log;1299.9445264191966;MA;querosenedeaviacao;ARIMA;./pickle_arima_rolling/querosenedeaviacao/log/MA_log.pkl;{'p': 14, 'd': 1, 'q': 12};12;12;179.4495071769013;0.05745660443477765;83.33333333333333;-1.5384256194127148;2161.7320632998044;2057.7179032808685;2160.4208970789323;2313.9866507099987;2707.375223413794;2561.4004208729743;2279.9911739644567;2376.193102618837;2101.8075691987674;2541.1488019084754;2541.3084633623134;2146.433504734618;-4.037796209544536;0.0012250303509640818;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;True
log-diff;2304.2554636132036;MA;querosenedeaviacao;ARIMA;./pickle_arima_rolling/querosenedeaviacao/log_diff/MA_log_diff.pkl;{'p': 8, 'd': 1, 'q': 11};12;12;159.35091913568374;0.05061516002078395;66.66666666666667;-1.5888581425693826;2308.7339868033705;2154.3577647990523;2316.6905340622607;2369.333106954539;2418.145368355595;2281.9724315236135;2289.259599665006;2434.4121193974674;2219.0615814366365;2567.131748513395;2370.7145853603865;2233.5850281042335;-8.093549495696385;1.3579541153432044e-12;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;True
