dataset,elapsed_s_medio,elapsed_s_desvio_padrao
ANP_MONTHLY,74.83087912087913,122.65780227483037
NN5_WEEKLY_DATASET,67.15873873873873,141.56403793540426
M4_WEEKLY_DATASET,58.60459610027856,96.07083803338539
ETTH1,41.285714285714285,10.322271806055838
ETTH2,41.55285714285714,7.248877417195285
ETTM1,39.05285714285714,11.280431011691167
ETTM2,102.55,143.10802376759545
