dataset,tempo_medio_s,desvio_padrao_s
ANP_MONTHLY,137.55659340659338,67.18526863031576
NN5_WEEKLY_DATASET,151.04522522522524,216.07577752785477
M4_WEEKLY_DATASET,153.03701949860724,112.60373729757951
ETTH1,160.4828571428571,50.7043945216736
ETTH2,159.57,40.22401438610191
ETTM1,171.2,37.916477508685674
ETTM2,463.1228571428571,759.7833794951971
