dataset_index;horizon;regressor;mape;pocid;smape;rmse;msmape;mae;test;predictions;start_test;final_test;description
125;12;BEST_CATEGORY_EACH_SERIE;0.5397997486026048;72.72727272727273;0.2463640256930009;20.16814021198854;0.246109017076001;13.557496229666667;[65.168, 93.153, 61.0, 75.0, 55.488, 65.231, 65.0, 91.584, 88.0, 60.555, 68.14, 10.0];[62.657768026, 63.651938784, 57.601642474, 62.23778831999999, 58.075566634, 60.707735798, 68.871239914, 65.76095679800001, 65.84780322, 62.650078900000004, 65.867713392, 61.193416119999995];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: FT_catboost, rf: CWT_rf, svr: CWT_svr, naive: NaiveMovingAverage
126;12;BEST_CATEGORY_EACH_SERIE;3.8595945139945247;63.63636363636363;0.5997963052020104;6.90302567349942;0.5960393225669657;6.040563214833333;[12.649, 15.488, 17.496, 10.0, 0.193, 17.425, 15.133, 20.287, 10.321, 5.0, 20.05, 10.385];[9.16922132, 8.415427126, 9.477925856, 8.448023838000001, 8.279991158, 8.362823628, 9.367855698, 8.767895024000001, 8.26825169, 8.448527434, 9.581384654, 8.42395118];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: CWT_catboost, rf: ONLY_DWT_rf, svr: svr, naive: NaiveMovingAverage
127;12;BEST_CATEGORY_EACH_SERIE;0.0384227657510927;81.81818181818181;0.038227412123331354;13260.827132326081;0.0382274054322922;11021.856327447009;[255901.621, 247515.348, 278535.346, 284095.135, 292412.269, 294185.443, 303511.586, 331075.169, 314231.165, 297572.02, 334143.39, 271518.605];[245579.997471536, 234697.65711677197, 282232.102764238, 303309.595513064, 272055.273265842, 292031.954661218, 304126.267736958, 329830.945189346, 332866.80020011996, 318218.87793416006, 324797.339904356, 284732.416389894];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: DWT_catboost, rf: ONLY_DWT_rf, svr: ONLY_DWT_svr, naive: NaiveSeasonal
128;12;BEST_CATEGORY_EACH_SERIE;0.02816401446879424;72.72727272727273;0.02815257930099721;285.28060571862295;0.028152394714662955;214.87001057999996;[7594.860507, 7388.097826, 7424.096014, 7296.472826, 7816.65942, 8147.70471, 7382.155797, 8121.331522, 7624.826087, 7084.311594, 7600.376812, 7499.721014];[7642.54014177, 7418.488539864001, 7444.997635848, 7725.778083413999, 7560.710458722, 7660.243947434001, 7648.945054156, 7656.436501038001, 7630.702381362001, 7518.749887742, 7547.16272953, 7581.261240528];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: ONLY_CWT_catboost, rf: ONLY_FT_rf, svr: DWT_svr, naive: NaiveMovingAverage
129;12;BEST_CATEGORY_EACH_SERIE;0.0369064757227684;72.72727272727273;0.03688274374664731;3700.8949187772732;0.03688272245999281;3213.2748984408295;[78503.32971, 78698.16304, 76465.09783, 78393.86775, 84695.93297, 88695.03442, 87552.64674, 100002.3967, 96611.63768, 83613.08877, 91017.15761, 83176.77536];[80070.20019936199, 76205.689875786, 75251.651007412, 84383.56781041602, 81825.43177863401, 90824.81772515402, 92772.422731092, 93840.45214859801, 92410.599080964, 86086.80767572598, 86948.46439082001, 83348.127841754];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: ONLY_CWT_catboost, rf: DWT_rf, svr: svr, naive: NaiveSeasonal
130;12;BEST_CATEGORY_EACH_SERIE;0.04678823921985672;90.9090909090909;0.0479514210867838;2003.4800055628575;0.04795135241743054;1701.6789311728332;[40199.015, 39247.586, 34989.5, 35175.5, 33086.272, 31709.0, 27789.91, 31911.0, 35056.0, 37412.813, 44631.015, 42617.883];[40790.192575748, 39000.440760888, 35494.669691717994, 37011.196900348004, 30972.368409262, 30513.474492837995, 28581.106649330002, 29441.662157212, 32472.819882408, 35190.36531114801, 40537.127991058005, 40846.403638256];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: CWT_catboost, rf: ONLY_CWT_rf, svr: ONLY_CWT_svr, naive: NaiveSeasonal
131;12;BEST_CATEGORY_EACH_SERIE;0.06594014177538253;90.9090909090909;0.06890148359942237;3507.64035573056;0.06890140308857616;2956.757781735167;[42433.19, 41821.61, 39332.79, 41220.83, 41737.73, 42663.705, 38019.16, 45440.39, 47111.29, 45809.39, 48747.54, 46769.68];[42461.444391682, 40787.36571552, 38914.339906908, 39758.799755282, 37602.035300414, 39720.85293141, 39649.255467414005, 40164.93365189, 42317.240363816, 42147.774393638, 43137.688588154, 42281.180871242];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: ONLY_FT_catboost, rf: ONLY_DWT_rf, svr: svr, naive: NaiveMovingAverage
132;12;BEST_CATEGORY_EACH_SERIE;0.2513307243786823;81.81818181818181;0.24254584427733805;11.242771834989108;0.2422252287683703;9.507534173166668;[60.594, 34.506, 32.997, 32.998, 21.702, 47.761, 40.759, 34.371, 47.391, 26.634, 58.0, 32.145];[38.990265884, 38.216258498, 38.84340906, 39.562267915999996, 37.003395364, 38.68002609, 36.668624449999996, 38.65724958, 38.84637008400001, 36.76248343, 37.758166853999995, 36.836799592000006];INICIO;2024-11-30;Models combined: statistical: THETA, catboost: catboost, rf: ONLY_CWT_rf, svr: ONLY_DWT_svr, naive: NaiveMovingAverage
133;12;BEST_CATEGORY_EACH_SERIE;0.16756749215362424;54.54545454545455;0.1572918977880843;48.265727852544764;0.15726013332677044;40.08485371366666;[229.455, 315.674, 150.897, 254.396, 242.499, 337.444, 290.654, 353.653, 237.838, 259.741, 287.871, 202.554];[257.464551416, 251.49967876600005, 242.675559948, 272.35277097200003, 266.722053962, 278.169729674, 284.67640745, 277.523398782, 266.52131232199997, 265.15800970199996, 261.791873436, 255.86907434999998];INICIO;2024-11-30;Models combined: statistical: ARIMA, catboost: ONLY_CWT_catboost, rf: ONLY_CWT_rf, svr: ONLY_CWT_svr, naive: NaiveMovingAverage
134;12;BEST_CATEGORY_EACH_SERIE;0.05217033696237828;54.54545454545455;0.05313193242299655;3646.5338417943667;0.05313188521952656;3015.0329800298355;[55182.9, 50419.7, 44735.8, 58410.6, 59021.5, 58219.138, 57235.9, 64997.2, 63054.223, 58882.9, 62341.4, 61522.124];[55194.836374426006, 50085.571097509994, 50055.728005274, 53885.908084704, 53568.211073784, 55135.625078698, 56858.87062675999, 59028.78183325999, 59030.724986723995, 57733.63293896001, 58849.640543372, 59079.18735556999];INICIO;2024-11-30;Models combined: statistical: ETS, catboost: ONLY_DWT_catboost, rf: ONLY_CWT_rf, svr: ONLY_CWT_svr, naive: NaiveMovingAverage
