DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;888011.2303215929;PR;etanolhidratado;xgb;{'learning_rate': 0.4, 'n_estimators': 50, 'subsample': 0.7};12;12;28099.082956881786;0.25573159226222275;27.272727272727273;17.869914903160765;0.8627499692952918;48413.64;54357.375;68889.69;80808.2;81047.9;76518.8;82826.59;74201.484;70869.695;68795.055;64652.664;66673.48
log;559608.4865668197;PR;etanolhidratado;xgb;{'learning_rate': 0.2, 'n_estimators': 50, 'subsample': 0.7};12;12;23607.800655683102;0.19703134406775624;45.45454545454545;18.50749599332714;0.6949537631885423;58592.0;53669.348;55821.773;64781.812;71977.695;74849.53;78185.836;80278.55;77344.32;75440.97;70986.984;69619.88
deseasonal;863093.7581815027;PR;etanolhidratado;xgb;{'learning_rate': 0.4, 'n_estimators': 150, 'subsample': 0.7};12;12;27308.165771454267;0.2622717503840802;27.272727272727273;18.262001875689798;0.8717298666687229;47233.11766251907;49173.626476946156;63581.893489185735;78460.44500736282;83803.16186562671;80157.87551267217;78249.62312205033;72216.02145637324;66460.59275324823;74911.14566319616;65226.47736715448;74579.7383736649
