PRODUCT;ESTADO;MODEL;PARAMETERS;HORIZON;WINDOW;RRMSE;POCID;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
oleocombustivel;TO;ARIMA_normal;auto_arima();12;12;0.9574522288069478;0.0;45.41087763853979;59.02184736921038;66.09680659661814;70.62711005093082;72.90958529023257;74.42360250564737;75.15550529496971;75.66410837422549;75.89683999582212;76.06880958504166;76.14194467092852;76.20056282022345
gasolinadeaviacao;RR;ARIMA_normal;auto_arima();12;12;0.4129896340134935;18.181818181818183;92.2567327241624;92.62100605625363;69.02358567975016;78.98223375504998;97.37085423279727;91.75844021009146;80.32721001849524;84.24877574784759;91.61801800866421;88.9867701568096;84.26874161592511;86.04156818473481
GLP;RS;ARIMA_normal;auto_arima();12;12;0.03742466128024639;72.72727272727273;54683.45780576671;65951.56172772856;63896.249193550124;70768.40668102867;75064.6377658327;77342.23363933004;76574.9000813678;69098.62399525262;69178.00967682803;63564.76402127304;62031.084784998406;55968.56552449043
gasolinadeaviacao;RN;ARIMA_normal;auto_arima();12;12;0.6292903956330166;45.45454545454545;20.728166523409413;22.78601169895844;21.692231471642508;21.11370051208141;20.807699303783828;20.645846704658247;20.560238337327124;20.514957677043046;20.491007469140687;20.47833953419964;20.471639109037373;20.468095066731813
oleocombustivel;PA;ARIMA_normal;auto_arima();12;12;0.16620389890125573;54.54545454545455;59314.34215696087;59360.97725479998;54818.86846705288;54974.04877665325;52550.6737340095;52702.859169710595;51407.91190016176;51526.11999195521;50833.09739666487;50915.937302374026;50544.487540858594;50599.26379710532
oleocombustivel;MA;ARIMA_normal;auto_arima();12;12;0.4659255895503946;54.54545454545455;17749.94677467931;21908.47578685724;22061.590647881;22669.24111466277;22830.79293087256;22951.760178618504;23001.957438920956;23030.208680446252;23043.647649862854;23050.642217180433;23054.10860719341;23055.87251385706
etanolhidratado;AP;ARIMA_normal;auto_arima();12;12;1.030069395890539;54.54545454545455;311.7278773032506;407.23966044519284;324.5547302543469;328.91948734575993;303.9395707499254;297.45168414052563;287.44266688577375;282.2175308488167;277.37893683595155;274.18717668904924;271.63807712281897;269.81663124087345
gasolinadeaviacao;PR;ARIMA_normal;auto_arima();12;12;0.341391966445734;36.36363636363637;316.3313045276285;355.8632673112093;295.88880398390677;371.5986346737775;333.66676161685126;291.7881991316912;313.051265332249;328.478194157182;343.68053726261104;281.08812851869595;338.5053099223539;326.4514600358641
queroseneiluminante;PE;ARIMA_normal;auto_arima();12;12;1.0302267580809523;0.0;216.49597035140974;216.49596145393986;216.49595471467796;216.49594961012002;216.49594574374527;216.49594281521476;216.495940597041;216.49593891691688;216.4959376443308;216.4959366804286;216.49593595033457;216.49593539733527
etanolhidratado;AC;ARIMA_normal;auto_arima();12;12;0.533978370358019;36.36363636363637;511.76598650580434;609.6953145444819;637.0977092519563;659.1309525166093;659.6140494594684;618.0500141111119;613.0068168579359;589.9611248318175;618.602019227382;655.4721433466115;595.7048512926009;570.5625812104206
