PRODUCT;ESTADO;MODEL;PARAMETERS;HORIZON;WINDOW;RRMSE;POCID;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
gasolinadeaviacao;RR;ETS_normal;auto_ets();12;12;0.584745152685126;0.0;54.29470804618776;54.29470804618776;54.29470804618776;54.29470804618776;54.29470804618776;54.29470804618776;54.29470804618776;54.29470804618776;54.29470804618776;54.29470804618776;54.29470804618776;54.29470804618776
oleocombustivel;PA;ETS_normal;auto_ets();12;12;0.1294941160249435;81.81818181818181;47603.93164180735;66853.85681260584;66686.55570798933;58583.32068641797;58093.30313969654;64686.39654831584;68663.74631968793;59533.36583380002;65652.35694160008;63645.89645341603;69335.24726819216;58590.337193875166
oleocombustivel;SP;ETS_normal;auto_ets();12;12;0.4934210223114112;63.63636363636363;-51489.766668696626;24586.427406345974;-37463.999011562875;8651.823473427125;65139.784715901726;92959.34591206338;126077.15821926924;95802.89017467294;115348.8358234895;66489.62473947975;49302.9493464268;37324.09909732308
oleocombustivel;TO;ETS_normal;auto_ets();12;12;0.34462295775992396;0.0;25.511102929873445;25.511102929873445;25.511102929873445;25.511102929873445;25.511102929873445;25.511102929873445;25.511102929873445;25.511102929873445;25.511102929873445;25.511102929873445;25.511102929873445;25.511102929873445
oleodiesel;DF;ETS_normal;auto_ets();12;12;0.2282818258745725;81.81818181818181;18105.01030452551;26867.804303727138;25174.856476750334;27911.502179886676;26568.536052135147;28536.50184008789;31197.52209925353;29547.4532615868;31628.81876221064;25502.573928452628;25724.475713369055;18670.479478089685
gasolinadeaviacao;PB;ETS_normal;auto_ets();12;12;0.7551737182215923;63.63636363636363;14.525607334872609;13.4328423727328;7.947081707139927;16.150940882921482;13.557566453328008;16.175639419517832;19.623099311389623;19.41774738788705;20.421014766712407;13.844376178644884;13.788933592534365;18.034045326932425
GLP;ES;ETS_normal;auto_ets();12;12;0.1296631868641655;63.63636363636363;15955.159516047574;19413.366768957218;18693.75250653043;21215.34358626069;21059.203363169036;22299.85585814926;22309.339851282024;20464.970545293687;20768.132617198415;19164.087405161757;21264.578612767666;18160.43391401558
GLP;RS;ETS_normal;auto_ets();12;12;0.03671308285621118;63.63636363636363;53766.90922478553;64850.1410666845;64190.44700560165;70748.98899984323;74278.30302301915;76382.16182113353;74501.84141782041;68768.73549805675;68717.99547744726;63542.62980404621;62652.46561088246;56775.21120949444
gasolinadeaviacao;MG;ETS_normal;auto_ets();12;12;0.2070242529464037;72.72727272727273;249.56436479316085;290.7254369061505;271.85134847622385;292.47576489313565;284.8886925163889;298.1446466708281;301.3920719233906;296.56735498241477;224.8119400644186;176.48518731413355;226.81176361464412;257.1787530369194
oleocombustivel;PR;ETS_normal;auto_ets();12;12;0.6250079654940152;63.63636363636363;12742.938165530662;30647.80882271779;31258.51509308469;27884.26387395558;29876.117229990257;33084.15533671563;29984.06472012252;25796.296935775983;29778.194368116237;22779.209938197524;17375.35884122249;17532.750891887306
etanolhidratado;SP;ETS_normal;auto_ets();12;12;0.7861365858871644;81.81818181818181;156595.79428315343;332672.7075132206;325994.9948033084;401383.8526560729;326462.6140422558;373702.615164773;431693.10598936;407508.5073270665;487547.8570754613;310050.78550550016;552056.5303089267;222121.89229166365
etanolhidratado;PA;ETS_normal;auto_ets();12;12;0.4925421636782009;63.63636363636363;1082.2703034103433;2963.8142924229574;1858.26464905387;2864.6904006372306;2512.7300014725192;3846.533259908014;3479.1407161982097;3776.664359794278;4481.9340631898385;2762.725077847529;5425.751953259546;2793.8234578279967
etanolhidratado;AP;ETS_normal;auto_ets();12;12;1.4354227905284336;0.0;412.095212088491;412.095212088491;412.095212088491;412.095212088491;412.095212088491;412.095212088491;412.095212088491;412.095212088491;412.095212088491;412.095212088491;412.095212088491;412.095212088491
gasolinadeaviacao;PR;ETS_normal;auto_ets();12;12;0.2643131928438906;81.81818181818181;315.38937400191605;395.0353344037586;290.1379946043606;275.41127856145727;219.2320448703733;219.36515691274408;254.04310633820103;236.60292237671098;229.7031788337291;272.90693127891745;340.4841702057062;334.58026822068246
gasolinadeaviacao;SE;ETS_normal;auto_ets();12;12;0.638078774014896;0.0;2.3308076255173393;2.3308076255173393;2.3308076255173393;2.3308076255173393;2.3308076255173393;2.3308076255173393;2.3308076255173393;2.3308076255173393;2.3308076255173393;2.3308076255173393;2.3308076255173393;2.3308076255173393
