dataset,method,rank
ANP_MONTHLY,melhor_individual,1
ANP_MONTHLY,FFORMA,2
ANP_MONTHLY,ADE,3
ANP_MONTHLY,melhor_estatica,4
ANP_MONTHLY,CREST,5
NN5_WEEKLY_DATASET,CREST,1
NN5_WEEKLY_DATASET,ADE,2
NN5_WEEKLY_DATASET,FFORMA,3
NN5_WEEKLY_DATASET,melhor_estatica,4
NN5_WEEKLY_DATASET,melhor_individual,5
M4_WEEKLY_DATASET,melhor_estatica,1
M4_WEEKLY_DATASET,CREST,2
M4_WEEKLY_DATASET,melhor_individual,3
M4_WEEKLY_DATASET,FFORMA,4
M4_WEEKLY_DATASET,ADE,5
ETTH1,melhor_individual,1
ETTH1,CREST,2
ETTH1,melhor_estatica,3
ETTH1,FFORMA,4
ETTH1,ADE,5
ETTH2,melhor_individual,1
ETTH2,CREST,2
ETTH2,melhor_estatica,3
ETTH2,FFORMA,4
ETTH2,ADE,5
ETTM1,melhor_individual,1
ETTM1,FFORMA,2
ETTM1,ADE,3
ETTM1,CREST,4
ETTM1,melhor_estatica,5
ETTM2,melhor_individual,1
ETTM2,CREST,2
ETTM2,FFORMA,3
ETTM2,ADE,4
ETTM2,melhor_estatica,5
