DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;559591.8533123919;SP;gasolinac;sarima;{'p': 3, 'd': 1, 'q': 5, 'P': 4, 'D': 0, 'Q': 5, 's': 12};12;12;70810.41426978064;0.0686156612014871;81.81818181818181;-3.9246920368357863;0.5537409440348435;941822.5887858571;910805.8528889423;905681.1277805287;866609.3690340199;843208.4487893417;882523.4838073388;839104.6256217277;873635.9428155224;861557.2308787891;989019.2240595468;841138.9195723219;821475.3761405944
log;313751.6273236918;SP;gasolinac;sarima;{'p': 4, 'd': 1, 'q': 1, 'P': 4, 'D': 0, 'Q': 4, 's': 12};12;12;79025.88594228763;0.0779553723127475;90.9090909090909;-5.341972987219503;0.6265394016257514;913554.8127548292;900908.1862693834;906313.7953332668;879482.2770687254;870866.0515396084;894902.2051786507;880722.0672579848;905009.8305895514;883637.6843338746;1010234.18265809;848612.0711293746;826577.9760596086
deseasonal;497304.81050418847;SP;gasolinac;sarima;{'p': 1, 'd': 1, 'q': 1, 'P': 2, 'D': 0, 'Q': 4, 's': 12};12;12;62953.99695096281;0.06126734932513134;81.81818181818181;-3.4707766056409217;0.4898409569519426;924847.5558724673;909646.9596043595;906019.7853201377;874860.8959681452;850376.8003358265;885613.0109409809;857996.586395731;873989.2140028008;849349.3271609887;927981.2372497005;850555.5467361185;819149.5708808048
