DATA;MCPM;UF;PRODUCT;MODEL;SIMILAR-STATES;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;200896.95258602776;BA;oleocombustivel;VARMA;['PE', 'MA', 'PB', 'BA'];(12, 3);12;12;5548.484780259224;0.28017718249767226;16.666666666666668;30.502495368575854;10045.642142653478;11537.457487895337;9634.48376122666;10653.89499298172;7329.196779210372;10074.583382158784;9945.331447351638;10131.908537452884;12041.77410394727;9121.685711900263;10261.434229444882;10797.276964130862
serie-desnormalizada;173454.16042364537;BA;oleocombustivel;VARMA;['ES', 'PR', 'RS', 'BA'];(3, 13);12;12;5321.649862024498;0.2689604172739148;25.0;27.17462456389479;12795.656212240749;13734.992703274844;10626.739723424957;11114.377616298885;12092.872583589851;11080.53712346064;10631.085710355062;9205.204353541276;8278.542972507674;8881.477049425586;9226.426828838787;9728.329617673628
