DATA;MCPM;UF;PRODUCT;MODEL;SIMILAR-STATES;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;1.0215709378483369e+20;MS;oleocombustivel;VARMA;['BA', 'PB', 'SP', 'MS'];(9, 3);12;12;905.643358029482;2.4687212065354608e+17;50.0;-182.3664591913588;1845.4886034423741;1230.4347794941395;1218.5217600929254;1045.1627688814929;1019.7744944666728;967.6485996497179;920.8442119280378;616.1218003497262;811.6723820002682;657.7994699702556;502.34760580737014;564.0855182411749
serie-desnormalizada;1.646923484378097e+20;MS;oleocombustivel;VARMA;['RN', 'MT', 'SE', 'MS'];(14, 7);12;12;819.5103118884301;4.332670047637941e+17;41.666666666666664;-136.40839664728514;1506.4805690847745;712.4921401004547;946.3245373475055;139.3469625767043;1106.4466782626903;980.2168238502329;938.8132308684796;680.6019177052628;361.9934752463563;1154.4552107979398;543.2373373876546;474.0411202617272
