DATA;transformation;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;MCPM
error_normal;normal;GO;etanolhidratado;ARIMA+SVR;sum;12;12;31721.890306485304;0.21977169184633508;36.36363636363637;8.985069013473383;0.9842023650534711;877132.7449938147;102384.1519246808;115045.4139441941;125829.93265998503;126493.61125399651;132370.35908988438;118020.86554696786;107835.41511991713;109556.5088548705;106740.67898472527;95860.0956830347;96401.05328755411;85862.39412155554
error_noresid_normal;normal;GO;etanolhidratado;ARIMA+SVR;sum;12;12;30247.463443498462;0.19872493904176625;18.181818181818183;11.025594891104372;0.908576610814619;1074226.4187748793;102751.00739707483;104153.33049426053;120200.05822586456;125206.44565262797;122726.65286247618;115477.84985955368;109656.71977579458;108859.73757670261;101777.1955539825;99666.20109182621;99972.19421190201;82305.28853740355
error_resid_normal;normal;GO;etanolhidratado;ARIMA+SVR;sum;12;12;32784.479620413054;0.23043052513529114;36.36363636363637;8.714757258350767;1.024459925764361;906665.4971463082;99470.26026232369;114198.02148358735;129413.4231877247;131859.02857617743;132955.2983535762;118272.3457343089;110739.32071927005;109346.93543677464;104860.9223870411;97283.80277610509;95179.78204700907;82748.83130443588
all_resid_normal;normal;GO;etanolhidratado;ARIMA+SVR;sum;12;12;34489.2214185665;0.25430427826628704;45.45454545454545;6.663112791457859;1.1069777060642716;818400.4527921346;95556.83283556606;124264.79400893698;134460.80442149012;137209.1472832372;141175.54564071578;117767.95970776936;112508.14274610081;107046.9134817665;109014.60907650656;97187.07727121514;94864.23248862887;85081.25996378853
error_log;log;GO;etanolhidratado;ARIMA+SVR;sum;12;12;32154.099797359035;0.22331963775564426;27.272727272727273;10.606747372237427;1.0061231658329095;1015707.8786428014;101563.6875502211;113593.15836783336;126761.33289602041;127078.15950412216;124186.19513049946;115501.18404726128;106820.52383162771;103684.23289103786;102111.24132300419;100995.2287573012;94540.81548076155;82002.56207050337
error_noresid_log;log;GO;etanolhidratado;ARIMA+SVR;sum;12;12;31293.258537487378;0.20519324214265747;36.36363636363637;12.580116160316173;0.9424343820612416;865082.9094575202;98640.20888089528;101097.6095811748;120512.6737991389;126636.37212829407;118400.62375124184;117544.05917329389;105865.60698641739;102836.7714387572;95691.84565380965;102546.51032053759;95867.20118369092;84526.79794585897
error_resid_log;log;GO;etanolhidratado;ARIMA+SVR;sum;12;12;33449.062880801335;0.24065442786556898;36.36363636363637;10.02793976709229;1.0695812963082287;925192.9990611152;93994.2468871031;109657.63190100284;130979.07167450896;133237.86247111866;132546.19812668746;116501.29124370131;107102.95362063413;104227.34674594695;101598.25811078887;102250.4583544212;91144.62254536986;84008.15916723444
all_resid_log;log;GO;etanolhidratado;ARIMA+SVR;sum;12;12;34475.77353580923;0.2595826371986114;45.45454545454545;8.22550498109987;1.133115097826366;818160.2704696739;92144.76875632996;121189.37411935179;135352.70732678293;136284.5865595827;137297.9900489357;113081.1776583881;111465.01145083514;102288.84795676985;105240.37915808434;104713.92744250635;90477.52344738536;83900.26414897975
error_deseasonal;deseasonal;GO;etanolhidratado;ARIMA+SVR;sum;12;12;36329.18863397423;0.256212570288918;36.36363636363637;9.026849755029744;1.1366327275436379;1005101.184509872;103092.53829273825;117811.94940902006;130561.37343142205;137429.5483967863;137914.93164870702;120421.20555535413;106445.97801426463;106055.6649884587;100402.41740303094;97723.21424013532;86935.82021072814;76998.78603664627
error_noresid_deseasonal;deseasonal;GO;etanolhidratado;ARIMA+SVR;sum;12;12;35014.12354429527;0.23947298265503214;36.36363636363637;10.8649499970963;1.0766048768336993;968463.9435617729;100328.18921822103;105776.5442130205;129177.62943436236;133831.4473476299;132727.3624511834;117240.52107652707;108570.0404814729;107421.09870433823;93010.20717925421;99815.53103468934;88333.18622170074;78855.01217136261
error_resid_deseasonal;deseasonal;GO;etanolhidratado;ARIMA+SVR;sum;12;12;38042.18044479229;0.27270000938582667;45.45454545454545;8.64234798043389;1.1995387971476066;903012.0505091421;97862.05473989756;115936.18528995739;137487.37980978301;141465.45193661115;142669.32972512394;119878.80769788132;108081.19950976146;108322.76994200173;97742.5024584908;95719.83036931993;86609.70210924518;75604.8285205601
all_resid_deseasonal;deseasonal;GO;etanolhidratado;ARIMA+SVR;sum;12;12;39597.78896580893;0.2964608351033065;27.272727272727273;6.669317975323066;1.2817128925912258;1252099.5079577556;93805.51934315727;128262.99053378355;139280.7383517812;148595.65156116147;148045.42378877942;121308.36320353679;108747.17854689121;106712.4628020954;100277.72066024941;97435.77554655785;85212.4275426542;78362.90889150722
