DATA;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;MT;gasolinac;knn_rf_deepar_svr_catboost_arima;{};12;12;4970.297904145054;0.07129601189877907;72.72727272727273;-0.7716423780472241;0.791196293900111;59180.95298104294;59082.414830873175;59370.71218651706;57010.164242141465;55333.283691226396;52126.31237929275;52090.03064884699;53125.84086188038;52822.46954136571;55972.44297065562;56410.59771315152;58344.46692711154
deseasonal;MT;gasolinac;knn_rf_deepar_svr_catboost_arima;{};12;12;3626.3803675936992;0.050827880401772114;72.72727272727273;0.047889788430217274;0.5709127253872711;58122.55219697977;58018.29502269357;58989.205097319646;56166.780007245274;56685.954992151936;54183.76238512235;52456.5386677256;52765.369635609655;52062.598097469025;57719.603360606125;53957.28295707125;54285.85363965024
log;MT;gasolinac;knn_rf_deepar_svr_catboost_arima;{};12;12;4406.192718336406;0.06320376801263897;27.272727272727273;-1.0589592611091108;0.699447169767104;59047.68082828971;59434.62806910957;59037.969116652894;57102.188767146894;57131.17829846332;56942.83708875748;53479.184556867476;51054.476282236006;52026.89241207269;54393.67567055127;56307.83305687532;56823.90702315414
