DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;86760.4945504439;RJ;querosenedeaviacao;ARIMA;{'p': 8, 'd': 3, 'q': 4};12;12;5994.7148235700415;0.0897391773390434;72.72727272727273;-5.843343050642786;0.675868149848588;56594.6738462219;57913.59469001506;60237.34593824246;60016.543390922816;61473.78479085661;62251.084179777936;61849.15255200611;62037.7037705516;64921.20800617639;65320.58497419136;66729.13874471757;66386.33049819722;-3.564084040043149;0.0064859743538529;12;384;-3.4474946672686824;-2.869096243698685;-2.570795299750434;True
log;93916.7996230383;RJ;querosenedeaviacao;ARIMA;{'p': 8, 'd': 3, 'q': 6};12;12;6486.498780874555;0.1035198658773096;72.72727272727273;-8.083858042471904;0.7873626237460082;59188.10914658548;56943.8334868247;59428.85707108572;59293.85817261584;63281.04257919978;63119.80298875884;62723.368665202215;63520.80603113714;67773.45755375398;68936.8204221148;68276.98501564725;69030.0039312474;-3.5946433644987845;0.0058642647621793;12;384;-3.4474946672686824;-2.869096243698685;-2.570795299750434;True
deseasonal;38286.407365293715;RJ;querosenedeaviacao;ARIMA;{'p': 13, 'd': 3, 'q': 3};12;12;4843.179422861832;0.07423079428459416;81.81818181818181;-3.8440771073263513;0.5729129624601459;57130.89018118127;53590.06303265008;55547.19860150163;54486.610441750134;61353.186575340784;63296.36752856393;60248.8112051818;62351.793839611484;64139.7311353669;68067.99669042618;68900.50639449748;62531.93730450486;-3.4619447126339695;0.009019943669993482;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
