DATA;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
rf;RN;glp;knn_rf_deepar_svr_catboost_arima;{};12;12;579.644740737581;0.0255063911654544;90.9090909090909;-2.305478964612124;0.5742421752785644;17299.068735376015;16965.254648387006;17951.266196939538;17744.45719691366;18736.810828396647;18663.121732161715;18057.854439805833;18664.06479163341;17520.319364804305;17868.43525339829;17402.046995614735;15706.449718760343
svr;RN;glp;knn_rf_deepar_svr_catboost_arima;{};12;12;617.6302320376415;0.0318317364636745;81.81818181818181;-2.32092699182125;0.7165917203734299;17396.93140902491;17839.043803993325;17176.819682928464;17601.415953805736;18919.35635385733;18527.078042789766;18059.963166998354;18746.81846483387;17057.521768829552;18294.551780519625;16951.70048239158;16040.048235827608
ridge;RN;glp;knn_rf_deepar_svr_catboost_arima;{};12;12;622.6956881235444;0.03154915030238948;81.81818181818181;-2.328345920921841;0.7101904995775306;17383.088859841348;17904.024597685013;17133.432624695895;17637.72504765463;18876.25500453397;18529.703792378;18081.115093227505;18729.202105614102;17034.47290675526;18287.230322626227;17031.956022667513;15998.458459023523
linear;RN;glp;knn_rf_deepar_svr_catboost_arima;{};12;12;623.1616238335052;0.031576557736284955;81.81818181818181;-2.3285724916107164;0.7108054009995196;17383.151886060212;17905.1629537929;17131.49403315416;17638.62673252959;18876.060574332667;18529.738915317623;18081.290261187885;18729.589504152147;17033.44863377946;18287.512740174425;17031.328836825865;15999.730553519246
