DATA;MCPM;UF;PRODUCT;MODEL;SAVED MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;10.487359128491175;AL;oleocombustivel;ARIMA;./pickle_arima/oleocombustivel/normal/AL_normal.pkl;{'p': 13, 'd': 0, 'q': 14};-;12;0.18955586184649634;0.2937209767694378;50.0;29.26953595512165;-0.5776628608097976;-0.5183986888071008;-0.4630850041352951;-0.46605677784990573;-0.4432306246345743;-0.42986849885548417;-0.38080297636502514;-0.3795784561347698;-0.37307398341038334;-0.3357445427630149;-0.37037711617705205;-0.35838856324479185
deseasonal;6.0488849593363305;AL;oleocombustivel;ARIMA;./pickle_arima/oleocombustivel/deseasonal/AL_deseasonal.pkl;{'p': 5, 'd': 0, 'q': 12};-;12;0.08952049218523021;0.11985808307013211;33.333333333333336;10.082586885811306;-0.54188998802845;-0.5629406801818932;-0.6000551556013693;-0.64279872588712;-0.5455922259717495;-0.4541842632631834;-0.48030857703672736;-0.500158725333776;-0.5615452915379009;-0.5944890913835214;-0.45065104342326345;-0.5441114841041969
deseasonal-log;5.519915546161267;AL;oleocombustivel;ARIMA;./pickle_arima/oleocombustivel/deseasonal_log/AL_deseasonal_log.pkl;{'p': 13, 'd': 0, 'q': 9};-;12;0.0739044754047851;0.09597027490321029;25.0;-2.5995119604208425;-0.5721762623402413;-0.5689465619660704;-0.6314571734344957;-0.7206812979607287;-0.5925599249309621;-0.5267792934912088;-0.5891763251064768;-0.5952058420455415;-0.6772909299063014;-0.7130325318005349;-0.5797494244621604;-0.6254396782913695
deseasonal-diff;5.644329267438993;AL;oleocombustivel;ARIMA;./pickle_arima/oleocombustivel/deseasonal_diff/AL_deseasonal_diff.pkl;{'p': 5, 'd': 0, 'q': 5};-;12;0.0846585647394335;0.11072612785166748;33.333333333333336;-5.646777320985375;-0.5145779159865882;-0.5700258277053318;-0.6770883583494933;-0.7276278880473641;-0.6201336665600651;-0.5788551783910725;-0.5917017319782815;-0.5920277161939588;-0.6826276841183407;-0.7539066410082957;-0.6222008957558002;-0.681283163134027
diff;3.853702810960292;AL;oleocombustivel;ARIMA;./pickle_arima/oleocombustivel/diff/AL_diff.pkl;{'p': 8, 'd': 0, 'q': 2};-;12;0.06136874707909161;0.09110247423130131;41.666666666666664;-7.865012384845057;-0.6323512724845364;-0.6253752803590684;-0.6278372492916832;-0.6418923909022374;-0.6655816509660633;-0.6564534524527562;-0.6418518143880528;-0.6521263866362793;-0.6582411624778377;-0.6500687579305644;-0.6523630823922029;-0.6677423362064039
log;7.3117429274449695;AL;oleocombustivel;ARIMA;./pickle_arima/oleocombustivel/log/AL_log.pkl;{'p': 9, 'd': 0, 'q': 4};-;12;0.12206308415073652;0.16705729517971943;41.666666666666664;15.297421557868851;-0.614122514686084;-0.5994584807380186;-0.5997560843214931;-0.6085833304347652;-0.6195039247879865;-0.3600190428708494;-0.3936898286701336;-0.43745375663984554;-0.42882588914551434;-0.4771674346725714;-0.5052194019141698;-0.4591865385442304
log-diff;2.7028298238165522;AL;oleocombustivel;ARIMA;./pickle_arima/oleocombustivel/log_diff/AL_log_diff.pkl;{'p': 12, 'd': 0, 'q': 10};-;12;0.06026664350338201;0.08941006835346287;58.333333333333336;-8.180728422282456;-0.6345487941948011;-0.6394712400563876;-0.6317547049136927;-0.6417666864455605;-0.6642777893373957;-0.6398188123152551;-0.6367995540794933;-0.6518635574508895;-0.6581073435232536;-0.655989967925656;-0.6680217027338955;-0.672212640701094
