DATA;MCPM;UF;PRODUCT;MODEL;SIMILAR-STATES;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;9458.790381932062;RN;querosenedeaviacao;VARMA;['BA', 'CE', 'PE', 'RN'];(14, 14);12;12;868.4681340987721;0.14822838704948343;75.0;-13.398376418899694;5422.002654871969;5305.848032556386;5708.731800801271;5493.86493879199;6137.38389735439;6448.986715029538;6102.578684780244;6034.94358652895;6366.978709003059;6469.053170543087;6651.8815834024335;5716.050941156563
serie-desnormalizada;23522.172585070715;RN;querosenedeaviacao;VARMA;['GO', 'SC', 'MT', 'RN'];(4, 2);12;12;928.5195291015276;0.16060296737802174;41.666666666666664;-13.162302186719032;5324.8753510637;5440.534884925247;5692.59239527941;5735.948601397119;5874.73342388059;5988.808482495482;6162.367027067394;6405.000245332342;6488.076317296199;6386.439631193835;6198.151347683765;6011.181442902449
