comparates,orchestrator_react_qwen,orchestrator_react_gpt-oss,FFORMA,ADE,median,mean,dba
orchestrator_react_qwen,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0011
1 / 5 / 1
0.0000 / 1.0000 / 0.0000
0.9136","-0.0055
3 / 0 / 4
0.5445 / 0.0759 / 0.3796
0.9375","-0.0274
2 / 0 / 5
0.0020 / 0.1399 / 0.8581
0.1562","-0.0399
2 / 0 / 5
0.0000 / 0.5563 / 0.4437
0.2969","-1.5806
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.5839
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
orchestrator_react_gpt-oss,"0.0011
1 / 5 / 1
0.0000 / 1.0000 / 0.0000
0.9136",-,"-0.0045
3 / 0 / 4
0.5384 / 0.0739 / 0.3876
0.9375","-0.0263
2 / 0 / 5
0.0017 / 0.2450 / 0.7533
0.1094","-0.0388
2 / 0 / 5
0.0013 / 0.5308 / 0.4679
0.2969","-1.5795
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.5828
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
FFORMA,"0.0055
4 / 0 / 3
0.3826 / 0.0750 / 0.5424
0.9375","0.0045
4 / 0 / 3
0.3819 / 0.0758 / 0.5423
0.9375",-,"-0.0218
1 / 0 / 6
0.0019 / 0.1906 / 0.8076
0.1094","-0.0343
3 / 0 / 4
0.1173 / 0.0188 / 0.8639
0.4688","-1.5751
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-1.5784
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
ADE,"0.0274
5 / 0 / 2
0.8558 / 0.1421 / 0.0021
0.1562","0.0263
5 / 0 / 2
0.7504 / 0.2482 / 0.0015
0.1094","0.0218
6 / 0 / 1
0.8068 / 0.1914 / 0.0018
0.1094",-,"-0.0125
4 / 0 / 3
0.2797 / 0.2959 / 0.4244
0.8125","-1.5532
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.5566
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
median,"0.0399
5 / 0 / 2
0.4399 / 0.5601 / 0.0000
0.2969","0.0388
5 / 0 / 2
0.4670 / 0.5314 / 0.0017
0.2969","0.0343
4 / 0 / 3
0.8585 / 0.0181 / 0.1234
0.4688","0.0125
3 / 0 / 4
0.4269 / 0.2968 / 0.2764
0.8125",-,"-1.5407
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.5441
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
mean,"1.5806
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5795
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5751
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.5532
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5407
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156",-,"-0.0033
2 / 1 / 4
0.0000 / 0.8946 / 0.1054
0.3508"
dba,"1.5839
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5828
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.5784
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5566
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.5441
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","0.0033
4 / 1 / 2
0.1030 / 0.8970 / 0.0000
0.3508","If in bold, then
p-value < 0.05"
