DATA;transformation;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;MCPM
error_normal;normal;AM;oleodiesel;ARIMA+SVR;sum;12;12;22416.6817741537;0.26561317123934264;72.72727272727273;-22.84847021103561;1.5558734728604438;267309.76465238736;89269.01100622096;80559.05959214541;86179.89640680289;97438.41860020567;98960.11575107358;99846.00782085865;107869.98395806906;100389.95103322934;101174.02066709724;97432.70080508222;87816.31955735385;87176.4913907084
error_noresid_normal;normal;AM;oleodiesel;ARIMA+SVR;sum;12;12;24250.161586068105;0.3095466466507797;54.54545454545455;-27.119236717563243;1.8771950179460883;480557.7990608539;86230.46315700305;87821.76271310169;103277.29155853852;109786.36782354538;105193.81335780933;104618.2834491795;104005.93661083363;97517.2107135624;98840.1729996826;96277.77994382444;90487.92016871297;89481.81787830428
error_resid_normal;normal;AM;oleodiesel;ARIMA+SVR;sum;12;12;23189.162610803;0.29275699671871563;54.54545454545455;-25.649545679433466;1.7619444905688868;459363.66504738625;87258.8743145938;87957.90767322519;97947.24634616025;107220.55160697308;101971.41324133541;101769.73230234414;105488.1872160963;100118.0239781637;98733.5450206745;94789.56020379349;89113.48559187248;87602.40550212424
all_resid_normal;normal;AM;oleodiesel;ARIMA+SVR;sum;12;12;23030.078484179703;0.26567314642589185;63.63636363636363;-21.810388591519327;1.5380862569733795;365283.25121585064;87410.52088173576;81935.05265161474;78938.30694324625;93658.87973144234;94744.0123398748;99446.52232561598;111764.30480942373;100382.91052222784;100055.49195253088;100703.92740478423;90044.66116933363;85444.02844647925
error_log;log;AM;oleodiesel;ARIMA+SVR;sum;12;12;16520.012201085126;0.1882098561278913;54.54545454545455;-12.634588607293976;1.0573254988486063;326503.4545992708;85723.46611407559;77845.9988531205;84887.16434870448;89420.78300175289;84049.25974550442;85437.71494019509;93339.83648335932;88421.49945546071;89239.38543473918;84533.6705742496;88897.8707752222;88022.85879700979
error_noresid_log;log;AM;oleodiesel;ARIMA+SVR;sum;12;12;19296.274405596698;0.23207272798301118;36.36363636363637;-17.711943369523954;1.3528654816320993;533661.1533658729;78349.4808863622;83175.05780816019;99756.93525951508;102296.1226799937;96754.1868956715;92975.58033370132;93212.88029536155;85420.87875171319;91217.41761892705;87771.47350223684;91214.8096725588;84547.78657897451
error_resid_log;log;AM;oleodiesel;ARIMA+SVR;sum;12;12;17794.714858501447;0.21254968742411307;54.54545454545455;-16.009563821521443;1.2322468732347849;351884.56695337925;80924.37550435022;82327.94215695644;92550.27982992909;99370.48788750984;91655.59329402866;88983.3520789375;95856.8852612457;92686.73102111754;92264.51507596065;87163.26900336485;85159.57994100194;82033.57907180356
all_resid_log;log;AM;oleodiesel;ARIMA+SVR;sum;12;12;16950.825733098947;0.1981513674892771;63.63636363636363;-11.312372383829343;1.1279734686455203;268363.8212791686;81991.53758542941;75392.24001433494;78278.19032538933;86049.32942078532;82073.34704222353;86065.66706280486;95535.26676693815;91733.62997284895;89312.09737373261;84371.27375815631;89766.77757984176;87043.72160110189
error_deseasonal;deseasonal;AM;oleodiesel;ARIMA+SVR;sum;12;12;18565.291435385505;0.2153905838247546;54.54545454545455;-17.71834103630095;1.2424132989729342;367145.17517197196;88487.15420233046;85553.02306392326;85269.14497552058;92210.28401826553;92663.02465515175;97638.34799070052;99209.54899471106;100357.99109994237;92703.67738299156;93964.48148877035;82080.08452530863;76614.90983807377
error_noresid_deseasonal;deseasonal;AM;oleodiesel;ARIMA+SVR;sum;12;12;20384.3396536333;0.2574334927103123;63.63636363636363;-21.950139360486887;1.5638585878877678;323246.4447868544;84009.99042331678;90188.49802448315;98590.0840589459;106316.4368237019;105093.29703217011;101213.74845920756;98114.11977915792;97614.95243182455;91250.51881138113;91059.93335343037;83720.06918338125;78647.12134254018
error_resid_deseasonal;deseasonal;AM;oleodiesel;ARIMA+SVR;sum;12;12;19059.32310706082;0.23637271473410873;36.36363636363637;-20.28547363047365;1.4254281218464335;527143.6711445741;87314.73538926317;89091.73315990454;96274.87886388623;100641.29850682973;99218.03947516263;98089.79674917417;99875.99561514665;101924.85013732774;91338.53698602584;91770.19944280421;77868.77540585451;77042.07609718115
all_resid_deseasonal;deseasonal;AM;oleodiesel;ARIMA+SVR;sum;12;12;18855.96496777228;0.2154696731565958;54.54545454545455;-16.476093779219767;1.23404117519743;372894.0841278067;87451.07362642308;85068.6239523668;79209.5677696782;89457.13674001268;90306.10769083045;96397.49026556454;100649.99251991749;101570.10883209528;92268.62206259965;94786.39040501937;83395.90698044724;74722.47852932118
