DATA;transformation;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;MCPM
error_normal;normal;MT;oleodiesel;ARIMA+SVR;sum;12;12;33537.900488888;0.08879417487579687;72.72727272727273;3.5244180067014503;1.0169780109468043;397354.28134537104;315997.4780516999;269744.64735463436;296263.5747503498;339718.9721612269;346550.6328240091;329058.4788115535;382051.6935236012;377066.8730090276;288262.50494630897;239864.05890696138;305949.4394396504;340713.4999574639
error_noresid_normal;normal;MT;oleodiesel;ARIMA+SVR;sum;12;12;26823.992493986476;0.06740914769724134;72.72727272727273;2.7140516631884126;0.7347677409704034;317560.0201878766;323199.4329708353;277515.3218824223;298098.93866723333;349955.17229159555;361562.4981936489;351634.42568377574;370975.3419460435;344709.4545327267;279016.1970290083;249668.95831003087;300033.5993545784;357053.8108567263
error_resid_normal;normal;MT;oleodiesel;ARIMA+SVR;sum;12;12;27615.823876434337;0.07113355846208243;63.63636363636363;3.197178568620572;0.8103192696829938;435688.19030526;322957.1308078973;267374.5358397987;303565.37690456095;351084.2362876767;346671.44399329467;330080.34498562524;371734.20014971145;357664.15391315415;283900.67659729643;251183.70572474666;318599.35813583125;339422.03497492115
all_resid_normal;normal;MT;oleodiesel;ARIMA+SVR;sum;12;12;32399.047559864222;0.08435955515564754;63.63636363636363;4.183001652622955;0.9886366296953522;511337.5206840927;321622.6925179401;259202.63493850935;292585.14692347555;336248.24047999876;339611.95976970124;323299.63805567555;375659.7832028444;374172.41604764975;288241.7767218036;250923.37773328653;322212.3117861389;321308.1776360229
error_log;log;MT;oleodiesel;ARIMA+SVR;sum;12;12;27071.070922891653;0.07133251017518845;63.63636363636363;4.86160501564473;0.8228853901165158;427096.11175473867;329618.15833009663;263960.35501700285;289738.2545356793;351127.9856512153;354751.79016050213;335036.66091364954;326497.5632603641;329343.163159854;289913.3245747252;268647.05587900383;320364.41728573176;319140.7053813717
error_noresid_log;log;MT;oleodiesel;ARIMA+SVR;sum;12;12;25685.18730634639;0.06555798242424944;72.72727272727273;3.902587307101498;0.7355014558902198;304057.52055137657;327056.36737440847;272102.87580144755;302671.23124330514;355533.2009736071;362454.8687788403;336616.71900058794;338001.25753534574;320575.30067082425;279029.4458745335;271782.1321729469;301656.9117794954;348743.66939106304
error_resid_log;log;MT;oleodiesel;ARIMA+SVR;sum;12;12;25253.140792893468;0.0633232033240653;63.63636363636363;4.48463393592718;0.726170685984124;398327.2765052164;323038.28674400155;262967.7555921042;293749.91277793515;359265.6036682712;355945.9945090435;330063.41740616196;334520.73614208476;328975.24620215874;287294.2083890049;265176.83609416324;321287.2905858394;330824.4353947794
all_resid_log;log;MT;oleodiesel;ARIMA+SVR;sum;12;12;27310.03431462068;0.06870169616126666;72.72727272727273;5.394827565259066;0.8126272311826577;323329.3881034314;329169.44960752147;247010.02809041116;279416.14982144936;351235.72067139845;356230.8057311758;329530.7964124195;327097.6714170709;325461.60466776614;294969.97692062525;272976.8021736504;332637.0081416207;311228.0670292029
error_deseasonal;deseasonal;MT;oleodiesel;ARIMA+SVR;sum;12;12;29311.18184653592;0.07193495803363731;72.72727272727273;6.185838111622955;0.859670402751981;347062.4211215096;336632.0823153905;231801.59133554893;258515.4894592142;334932.0517962503;362349.5499409743;333280.9173851905;328212.1549119674;343540.91013022413;290919.13575627754;261624.84746839368;316142.0976393811;327600.6126902996
error_noresid_deseasonal;deseasonal;MT;oleodiesel;ARIMA+SVR;sum;12;12;26912.26549423441;0.07159470086287786;72.72727272727273;5.070673103529052;0.8199092675370586;318653.876410568;328483.60229238466;255114.60491386798;275589.32665740664;337895.9453778699;367847.09610587097;336242.80771615007;332285.18797308044;346209.48609123664;280978.669255044;258194.51617192331;305413.1841050737;345582.4879083364
error_resid_deseasonal;deseasonal;MT;oleodiesel;ARIMA+SVR;sum;12;12;28497.360242523126;0.07356799853394703;72.72727272727273;5.8938656867578985;0.8705860660906116;337446.4669157119;337146.85094711074;241031.25859525322;267648.27708440536;334984.70615253487;358679.4228173362;333675.9338011523;324122.67121565435;343520.13760933286;288860.05801997427;260801.6192590902;316266.8788385337;330408.4461432829
all_resid_deseasonal;deseasonal;MT;oleodiesel;ARIMA+SVR;sum;12;12;31997.715023520468;0.08141659760204495;63.63636363636363;6.897398394779576;0.9499567407608788;504962.68968195067;340949.1952551867;214744.97863174317;254756.4628419936;339582.41355228104;361471.1104386457;329234.2143071177;324617.1997094045;338659.1331332439;292737.0480940061;259057.1166638465;328782.6450656327;312702.41504991683
