DATA;transformation;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;MCPM
error_normal;normal;PB;oleodiesel;ARIMA+SVR;sum;12;12;2093.033941611541;0.04211530432503466;90.9090909090909;3.575465143976593;0.5418569676208206;8277.519703084992;40240.98530950851;34232.706636609786;35093.96611868048;34018.33911997158;35391.14095102413;39648.77822372653;39386.994371185916;41971.14240758224;42106.26447814822;42081.369231958524;42070.98058845222;37496.1302598182
error_noresid_normal;normal;PB;oleodiesel;ARIMA+SVR;sum;12;12;2176.2250258404324;0.04034703404539993;63.63636363636363;3.3892688111773337;0.5244629668403423;34305.313040898734;36932.75885512579;33426.25987092836;34921.399415203945;35002.720122920684;35372.99755509583;40576.88206019152;40794.81773953171;42414.93720887428;42635.35169874302;42254.149167947835;42970.283229902;37331.72306451198
error_resid_normal;normal;PB;oleodiesel;ARIMA+SVR;sum;12;12;2378.3177823071233;0.04544053514066279;45.45454545454545;3.3130075546031703;0.5955190892831225;56221.059392215444;36846.4093120096;34434.28710916279;35594.64314110339;36094.63209228467;35074.98602246681;39455.40808960811;41520.92205829499;41305.63519802485;41357.539767763614;42810.35946396322;42705.637144786946;37800.587237512496
all_resid_normal;normal;PB;oleodiesel;ARIMA+SVR;sum;12;12;2589.3767765907883;0.04441177107192332;54.54545454545455;3.447077506677818;0.5824363712155598;51015.80799526853;37044.602650324494;34606.62363766946;35119.18866666622;36354.19523739747;34867.3491650995;38214.58900599553;41158.73473804083;41692.56495924512;41574.209914598265;42491.61377618457;42623.600127552585;38608.986183648274
error_log;log;PB;oleodiesel;ARIMA+SVR;sum;12;12;2579.4425769490235;0.05337433614227665;90.9090909090909;4.837774169813569;0.6928954359040971;10213.747393662396;39442.225271632975;34252.09057327304;35926.02096811024;33800.38525369915;33824.933445369184;38375.78625745515;39050.21664187385;42300.3614354325;41549.65022375587;41092.953833076186;40304.07616435912;37749.218771527485
error_noresid_log;log;PB;oleodiesel;ARIMA+SVR;sum;12;12;2651.5590528954563;0.04604960142188036;72.72727272727273;4.56303317101098;0.6017165163609183;31366.836519612825;34978.408873570326;33219.15656844229;35451.11895930502;34315.73465100159;35063.380676881956;39871.91972315499;40555.189181158705;42493.16575976451;42530.73712238799;41358.80233527638;41701.01917867284;37450.60989673718
error_resid_log;log;PB;oleodiesel;ARIMA+SVR;sum;12;12;2744.86010331474;0.04772319643679637;72.72727272727273;4.3975709776765886;0.6268209491158263;32472.53878671242;34939.46505267257;34083.33932165764;36494.32174669623;35430.33224499208;34482.87706428576;38999.73497877697;40679.6936058437;41792.383174548275;41981.40803992727;41547.26404509504;41395.587850228425;37958.600476208914
all_resid_log;log;PB;oleodiesel;ARIMA+SVR;sum;12;12;3195.7235315890716;0.05218480138702602;72.72727272727273;4.7334642007844145;0.6884627455901104;37812.525773251386;34882.70996281921;34356.47407436894;36064.165556447966;35672.481080592705;33941.897034267386;36952.49920945898;40620.92549677796;42143.05142660184;41574.42954965602;41102.26652901201;41885.7231061312;38972.95837988814
error_deseasonal;deseasonal;PB;oleodiesel;ARIMA+SVR;sum;12;12;2932.92502311247;0.05737953034617831;63.63636363636363;4.869695156614666;0.7413610478627257;46255.36745698207;39632.20391757377;35063.55198065587;36502.66260653253;33757.961213174545;32862.808433693885;37480.54262604122;39055.97859587289;40506.65432234917;42615.54998153785;41153.61879275468;41450.055514745065;37432.81183519972
error_noresid_deseasonal;deseasonal;PB;oleodiesel;ARIMA+SVR;sum;12;12;2973.136472911585;0.05561804521958946;72.72727272727273;5.138091829546186;0.7241239344220954;35183.32864854108;35847.06964766281;33071.18561863369;35084.28728899329;33462.64431255225;33224.018861534954;38824.54255322032;40809.625477891;41570.53756940189;43575.584215641036;42499.946629168066;41067.90193304348;37186.243673762605
error_resid_deseasonal;deseasonal;PB;oleodiesel;ARIMA+SVR;sum;12;12;3093.549048784281;0.05703203563192003;63.63636363636363;5.050661302222813;0.7414592396112113;48788.05986052249;36917.083705038014;34016.82189132588;35347.45331895213;34586.59558390044;32186.097743360442;37871.403029972964;41141.80256382633;40346.79053665197;43193.598101968586;42280.93142553416;41434.075111761435;37321.41828705906
all_resid_deseasonal;deseasonal;PB;oleodiesel;ARIMA+SVR;sum;12;12;3226.9033400908434;0.05558228073848647;63.63636363636363;4.785702705271019;0.7280842996078671;50889.09009509678;36513.418600927806;35030.91830402748;36812.54116291307;35163.00663392467;33153.68659811415;36396.90346716932;40286.705095690086;40383.5007238387;42176.10694859636;41760.04029801191;41814.66140451136;38426.85920875805
