DATA;transformation;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;MCPM
error_normal;normal;MG;oleodiesel;ARIMA+SVR;sum;12;12;32031.43245483464;0.035393606592790415;72.72727272727273;-0.2699587050514931;0.5802947091797681;378764.52189168625;688509.6835158643;694961.7604940779;721588.1210808691;704859.3939009882;726366.5867717556;747841.7002872005;723140.5342167611;715267.3115841945;654855.7246055653;613503.9228564022;596373.1134381342;620200.9456256685
error_noresid_normal;normal;MG;oleodiesel;ARIMA+SVR;sum;12;12;32090.38953276379;0.0395175988159216;72.72727272727273;-0.19165450426392033;0.6597168479475397;379519.02920429735;641903.547191053;670509.0063163699;736041.6126946369;698877.5739862154;738809.6044903552;764824.3682479357;736461.4471995448;716593.650997916;656544.1877509645;617252.0041627174;597869.4947590025;625372.8107091691
error_resid_normal;normal;MG;oleodiesel;ARIMA+SVR;sum;12;12;35087.875040969884;0.04244562627734608;72.72727272727273;-0.139635129110531;0.7089398931473712;415013.4598343633;640950.4731643978;685933.5688745688;726800.4176036323;724469.5686099855;726038.822451674;753763.9618026871;736741.0626550532;711594.2960989088;663566.0603467552;617271.7765112224;593294.1582037583;616377.1629839195
all_resid_normal;normal;MG;oleodiesel;ARIMA+SVR;sum;12;12;35845.06004067124;0.04464476178991775;72.72727272727273;-0.1416584442364671;0.7471446157176471;424003.4648678005;640439.2368006315;683385.6792205842;745677.2670305022;720309.8863784093;724370.4429470502;749148.2589419357;729534.8312724727;705102.8110026631;665444.7924029083;625753.3102087436;585554.4455909206;622245.9833729557
error_log;log;MG;oleodiesel;ARIMA+SVR;sum;12;12;40965.206101832446;0.040826462836162425;72.72727272727273;-0.984699286775107;0.6659449111695389;484500.71443212696;686092.9528123364;725958.9361841506;730586.963515183;716599.5694337974;720648.7800491386;752077.2756132394;734248.2331114082;733856.8184650926;674776.1852429581;614185.7602595103;573511.4189164756;603430.0779003263
error_noresid_log;log;MG;oleodiesel;ARIMA+SVR;sum;12;12;33880.09513702474;0.044288938927833116;72.72727272727273;-0.9515456086389951;0.7489656662070334;400755.12448003236;644837.0823210813;668186.936347825;734883.9015520972;714401.9822351194;730930.3308970793;772572.1677326078;767925.5195483011;740399.8197554487;659603.4669855443;618957.5646648163;592049.440362439;618511.007321883
error_resid_log;log;MG;oleodiesel;ARIMA+SVR;sum;12;12;35641.4447776242;0.042845715270491934;54.54545454545455;-0.8699618017499408;0.7165026344605638;702171.1034765602;646379.2121375961;682962.904428215;730160.1923614163;736017.7981443881;726786.9283750467;758299.8106823557;751828.8637204039;731345.9871390988;674807.2942440571;615449.911819437;588994.7204271398;613547.6584246046
all_resid_log;log;MG;oleodiesel;ARIMA+SVR;sum;12;12;43907.969680634866;0.05037708446932701;63.63636363636363;-1.0455344946490779;0.834131899194393;692329.8193693669;640840.6295825315;708668.3455360541;755191.0790496396;736430.29381311;707552.7570288255;759077.4258845625;744688.5405275702;717636.5351038028;684400.579737562;629336.6808029843;565653.4737927646;621476.2185179527
error_deseasonal;deseasonal;MG;oleodiesel;ARIMA+SVR;sum;12;12;42841.491326427174;0.04612620027565362;54.54545454545455;0.6422805315466492;0.73924634188527;844079.7686940454;694915.8073745857;709547.2784042978;709530.5036966575;721460.6449897035;716081.9164148455;759139.0940734709;725435.1421648393;699974.4354055746;689460.7820436454;596453.59965859;564655.5049173979;546143.9171531328
error_noresid_deseasonal;deseasonal;MG;oleodiesel;ARIMA+SVR;sum;12;12;33075.57321632955;0.04195338077397771;81.81818181818181;0.8456475541263565;0.6911073575159071;261003.79853938834;663432.5870242359;658077.7941504994;725520.149139167;721093.7837898491;721344.251019845;772846.5711594613;733757.7126938043;711528.5049424432;675670.6370585115;604358.3793018551;556736.1286861452;571785.7806683937
error_resid_deseasonal;deseasonal;MG;oleodiesel;ARIMA+SVR;sum;12;12;42724.748400884644;0.053982691598658095;54.54545454545455;0.8766194063634521;0.8899137720260701;841925.1590660863;648748.8437827319;687288.2871140523;714994.1009586997;746066.644995424;718567.7246501679;750073.8356381125;732984.6509951213;694815.2074247893;697835.4522859484;606961.3128572733;566785.5494838599;548495.5082277921
all_resid_deseasonal;deseasonal;MG;oleodiesel;ARIMA+SVR;sum;12;12;48245.956524447865;0.061217144507963395;54.54545454545455;0.6605658193125161;1.0074089848515257;950876.0986683011;650803.7225243938;697948.828537751;724031.8328195283;756602.7485871528;701787.1025992868;765678.3577767087;723973.969024726;687005.3772833952;714822.0165726595;602964.1065775361;570335.0516232998;535348.7936048235
