DATA;transformation;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;MCPM
error_normal;normal;PI;oleodiesel;ARIMA+SVR;sum;12;12;2901.1779529518685;0.0450055184382468;81.81818181818181;-1.889943546926889;0.7594494105160591;22897.745171185667;51053.2631357477;50662.90173917915;52004.41615119273;54388.952415410626;58044.98576939013;60659.232215498865;62094.16142913774;63176.02291657214;60796.731441357435;54664.21188744091;51373.80173164305;48946.649870216745
error_noresid_normal;normal;PI;oleodiesel;ARIMA+SVR;sum;12;12;3268.173874960502;0.04789648891637812;63.63636363636363;-1.8142823378455588;0.796359760570642;51528.928129502674;47048.98651222493;48961.53795642477;52927.5675802114;54743.53741623343;58591.780210693694;61396.402460191624;62427.75166995795;61303.362471975706;61013.70794299348;55908.22815742558;52467.71286939822;50578.813493903
error_resid_normal;normal;PI;oleodiesel;ARIMA+SVR;sum;12;12;3359.9103118298817;0.04728066898922498;63.63636363636363;-2.1597082243005534;0.7880661162110687;52974.39934940686;46128.33558908173;50130.96365796271;54517.44016370954;56297.253888826395;59365.361919891046;60515.37623922794;62532.881689088856;61608.85377437665;60870.66825339198;56387.27075948404;51519.73089185254;49759.43978117408
all_resid_normal;normal;PI;oleodiesel;ARIMA+SVR;sum;12;12;3658.8269958389524;0.05120679854435894;72.72727272727273;-2.3548605520943204;0.8704022877025804;43290.42069291374;46427.10391318527;49620.64791158527;52661.05750983833;56277.81333188678;59203.911911372925;60636.37958577054;63585.05737707199;64210.89633606295;61519.25718148506;56574.62601921736;51266.78637053885;48929.21813888218
error_log;log;PI;oleodiesel;ARIMA+SVR;sum;12;12;2650.690135722274;0.03509448123912615;81.81818181818181;-2.1617537275694434;0.5923152392452752;20909.32981140496;52238.793916335824;52564.750540777466;53449.6736418795;56069.75291432181;58826.75435966486;61943.50283712092;61687.069406306015;60619.31948243851;63046.443889430615;55313.02247605366;48126.98357226827;45760.9173786547
error_noresid_log;log;PI;oleodiesel;ARIMA+SVR;sum;12;12;2591.9462193335303;0.039785535457288725;81.81818181818181;-2.087276836863486;0.6657666590500569;20451.250635446395;49995.05051585867;51175.90260012968;54551.493736370394;55711.43892435977;60059.29859753466;63004.572803450275;61804.99920529294;59919.100305415326;61362.95448084885;55448.24494745592;48235.89422002015;47889.85505407489
error_resid_log;log;PI;oleodiesel;ARIMA+SVR;sum;12;12;3061.2595263963603;0.04764892036505696;81.81818181818181;-2.5353877812297783;0.8022472690834441;24164.70518409213;48936.81388313522;52786.86692947757;56082.646379334234;56999.35888477371;60454.31161301831;62248.92975720695;62222.713420496875;60823.64966182795;61439.493242620185;55869.86498483717;47713.45330274017;46517.96832170893
all_resid_log;log;PI;oleodiesel;ARIMA+SVR;sum;12;12;3110.5807199485544;0.046779064719554564;81.81818181818181;-2.7168287291974775;0.7973367290338004;24552.84802881665;49346.074100103666;52119.97012588451;53819.548440399754;57981.071807616536;59516.852938338445;61777.29460452502;62416.30315332027;62439.42123050567;62912.688703856256;56527.384207792515;48163.148415555865;46265.616666011534
error_deseasonal;deseasonal;PI;oleodiesel;ARIMA+SVR;sum;12;12;2780.964281311792;0.041124820301005775;72.72727272727273;-1.1654800368556786;0.7110212219011744;32891.63125721379;51841.93690634575;52561.304699447275;52167.96822662649;55508.75498230214;57409.20843873238;59503.66635771167;61030.73708147745;61176.61586327876;63628.534808908924;54865.7218066406;48474.92598464926;44947.26254623347
error_noresid_deseasonal;deseasonal;PI;oleodiesel;ARIMA+SVR;sum;12;12;2310.2406597755;0.036419983249136124;72.72727272727273;-0.738064712918282;0.622451989459397;27319.505598992673;49932.92313857753;50300.36918392317;52431.13747946929;54805.522025428996;58634.558497078564;60607.466699009994;61059.54288215256;61035.451800279545;61846.10849130938;54895.738232957;48731.54312024733;46034.666231139796
error_resid_deseasonal;deseasonal;PI;oleodiesel;ARIMA+SVR;sum;12;12;2752.141408322019;0.03901262349434858;72.72727272727273;-1.2214088387916502;0.6692519986370555;32548.19400528628;49406.391805975305;51843.596406037424;53467.26503000916;56264.89183485056;58759.92098468099;59680.89860486268;61925.536711150344;61194.73459021026;62496.73260651893;54643.67875874645;48592.52568232306;45207.06522184526
all_resid_deseasonal;deseasonal;PI;oleodiesel;ARIMA+SVR;sum;12;12;3018.0088289128103;0.0440077830008388;81.81818181818181;-1.6976802958295258;0.7641006027516597;23818.514839686883;49120.49739906072;52130.24522916438;53224.915154531875;56981.26551984322;58280.82412078;59247.526874266114;61633.2806309647;62598.532355071424;63393.24875266264;55683.22338564459;49269.20818756613;45042.32135291685
