Datasets,ST,BOSS,TSF,EE,Flat-COTE,HIVE-COTE,ResNet
UWaveGestureLibraryAll,0.942211055,0.938860972,0.957286432,0.968453378,0.964265773,0.968453378,0.857342267
UWaveGestureLibraryX,0.802903406,0.762144054,0.804020101,0.805415969,0.821887214,0.839754327,0.788944724
UWaveGestureLibraryY,0.730318258,0.685092127,0.727247348,0.725572306,0.758514796,0.765494137,0.666108319
UWaveGestureLibraryZ,0.748464545,0.694863205,0.742881072,0.72361809,0.75041876,0.783082077,0.744556114
Wafer,1,0.994808566,0.996106424,0.997404283,0.999837768,0.999351071,0.998377677
Wine,0.796296296,0.740740741,0.62962963,0.574074074,0.648148148,0.777777778,0.833333333
WordSynonyms,0.570532915,0.637931034,0.647335423,0.778996865,0.757053292,0.738244514,0.603448276
Worms,0.74025974,0.558441558,0.61038961,0.662337662,0.623376623,0.558441558,0.753246753
WormsTwoClass,0.831168831,0.831168831,0.623376623,0.688311688,0.805194805,0.779220779,0.753246753
Yoga,0.817666667,0.918333333,0.859333333,0.879,0.876666667,0.917666667,0.871333333
