representacao,RMSE,MAPE,POCID,PBE,derivado
ETS_normal,1873.5482871405068,0.037697230587972336,77.52667922159446,1.2329305214067257,glp
ETS_deseasonal,1852.3184961784218,0.03711830392531439,78.15442561205272,1.0765976487382052,glp
arima_normal,2006.8988560131784,0.04099006203832265,71.68863779033269,1.6712933041390388,glp
catboost_normal,2096.699261678877,0.04225178431190704,71.56308851224104,0.4364793376568862,glp
catboost_deseasonal,1988.5008185583367,0.03936873476453873,74.1996233521657,0.1564515934889039,glp
ridge_normal,2170.458223961753,0.04337628280524325,69.24042686754552,-0.20707312097985348,glp
ridge_deseasonal,1875.990917845161,0.03803792011870196,77.71500313873194,0.04448720034782671,glp
SWT_ridge_normal,2165.678807111891,0.0429187987264918,68.86377903327055,-0.19840599485076743,glp
SWT_ridge_deseasonal,1847.2729987354332,0.036500182303384976,77.46390458254864,0.5584661537520171,glp
CWT_ridge_normal,2167.5707179138362,0.04281958112830799,69.17765222849968,-0.21882470848143978,glp
CWT_ridge_deseasonal,1854.134607187369,0.036584952790765034,77.40112994350282,0.6063488553562278,glp
DWT_ridge_normal,2164.040154928485,0.04284008993810367,69.30320150659132,-0.21034192204478167,glp
DWT_ridge_deseasonal,1842.4488581987223,0.03643048185288034,77.8405524168236,0.5420384433069314,glp
FIRTS_ridge_normal,2102.321141073964,0.04207162997866425,69.67984934086628,-0.048023242946892614,glp
FIRTS_ridge_deseasonal,1842.0160164043305,0.036435112583473504,77.96610169491524,0.4009315446303954,glp
STFT_ridge_normal,2688.7343982521543,0.0503742947735421,62.523540489642194,0.47088290196044147,glp
STFT_ridge_deseasonal,1835.5638169831439,0.03672352934587121,77.8405524168236,0.02268214739298188,glp
RP_ridge_normal,2768.8049426698813,0.050019015266911326,59.69868173258004,0.8200922089673358,glp
RP_ridge_deseasonal,1855.7886416429128,0.03687796576267613,77.65222849968613,-0.03579866889076461,glp
MTF_ridge_normal,2642.7676564123863,0.04884444941009806,61.268047708725675,0.5796186177868633,glp
MTF_ridge_deseasonal,1844.7573360748656,0.036765174668080734,77.15003138731952,-0.025301891935328,glp
WPT_ridge_normal,2160.150490752147,0.04287438018901715,69.17765222849968,-0.19791446209156885,glp
WPT_ridge_deseasonal,1845.5539096615282,0.036511812403980506,77.90332705586941,0.5036080197620353,glp
GASF_ridge_normal,2583.939911454007,0.04751130365274898,64.46955430006277,0.7504030046824197,glp
GASF_ridge_deseasonal,1855.5108503926085,0.037013547614936394,77.21280602636536,-0.06267917190376544,glp
GADF_ridge_normal,2080.7389810981467,0.04115183430259624,69.93094789704958,-0.1277070497551429,glp
GADF_ridge_deseasonal,1834.2568582080862,0.036322001368920144,78.09165097300689,0.4641474130784205,glp
arima_deseasonal,1811.394148935807,0.037043522189201816,77.71500313873196,1.404026377794109,glp
combination_median,1811.1501003211986,0.036117158738600164,78.5938480853735,0.39857542082743375,glp
combination_mean,1805.9763113634801,0.03614901551373241,78.40552416823601,0.41516703839905106,glp
dtw,1808.5289272528319,0.036097907152013914,78.65662272441932,0.40993331328434796,glp
softdtw,1810.1314455332042,0.0361035511517506,78.65662272441932,0.4111319936997427,glp
dtw_subgradient,1805.2036198400456,0.03609975652137462,78.40552416823603,0.4136513466675885,glp
twe,1813.8057350145605,0.03622991051830761,78.21720025109855,0.4108928392267742,glp
