DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationarynormal;150.54379699126727;MA;gasolinac;SARIMA;{'p': 2, 'd': 1, 'q': 2, 'P': 2, 'D': 0, 'Q': 1, 's': 12};12;12;6162.341427640475;0.05641784230122825;100.0;5.727294302886688;0.8773500597334575;82845.48457976994;79214.51055370996;82283.34905097815;80545.16056630643;87550.8045604034;88126.48652588468;87893.29731299324;89417.11461842367;86183.4967164659;94290.09533121248;84850.70213687161;78172.245584413;-3.9738267052577854;0.0015539367089069734;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;True
deseasonal;94.76980772376162;MA;gasolinac;SARIMA;{'p': 2, 'd': 1, 'q': 3, 'P': 5, 'D': 0, 'Q': 4, 's': 12};12;12;4945.0676181897;0.044258544654961186;100.0;4.521987265635306;0.6927120535117998;85268.23073880022;80208.00873080299;86530.5552443112;82515.2207922964;87431.39398040043;90773.90848982627;85113.24130193156;88610.34727988111;88539.8703846503;94449.6608174082;84714.64781294833;80276.24293053613;-3.3687272853524335;0.01207229049282217;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
log;105.72165479346357;MA;gasolinac;SARIMA;{'p': 2, 'd': 1, 'q': 6, 'P': 2, 'D': 0, 'Q': 6, 's': 12};12;12;5208.984278056449;0.046871652971817564;100.0;4.7553613979335125;0.7284620600740391;84143.36182191351;80972.54027418321;84809.2788146816;81739.46533352323;88036.0879693088;89310.79586259698;88153.98976896894;89622.84479704678;84509.75997174732;96627.60342004486;85704.7407983205;78272.42923184097;-3.6611752427608883;0.004693611984690387;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
normal;21434.569571674743;MA;gasolinac;SARIMA;{'p': 2, 'd': 1, 'q': 2, 'P': 2, 'D': 0, 'Q': 5, 's': 12};12;12;5416.450548483141;0.04802442651175814;90.9090909090909;4.920293125682718;0.7537275438330586;84008.71978720912;81241.85399343606;85019.64827923194;82656.04163490038;89956.58597339739;88944.06872502482;87636.41731034666;88408.83288826316;84155.81517420805;93395.21918413365;84813.27887496409;79879.50696684285;-3.9738267052577854;0.0015539367089069734;13;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;True
