comparates,orchestrator_v3,median,FFORMA,ADE,dba,mean
orchestrator_v3,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0010
2 / 0 / 5
0.3351 / 0.2825 / 0.3825
0.8125","-0.0409
1 / 0 / 6
0.0287 / 0.0199 / 0.9514
0.0781","-0.1359
1 / 0 / 6
0.0008 / 0.0001 / 0.9991
0.0312","-1.7408
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.7408
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
median,"0.0010
5 / 0 / 2
0.3873 / 0.2829 / 0.3298
0.8125",-,"-0.0399
1 / 0 / 6
0.0000 / 0.0580 / 0.9420
0.0469","-0.1349
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-1.7398
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-1.7398
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
FFORMA,"0.0409
6 / 0 / 1
0.9521 / 0.0182 / 0.0297
0.0781","0.0399
6 / 0 / 1
0.9418 / 0.0582 / 0.0000
0.0469",-,"-0.0950
0 / 0 / 7
0.0000 / 0.0003 / 0.9997
0.0156","-1.6999
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-1.6999
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
ADE,"0.1359
6 / 0 / 1
0.9987 / 0.0001 / 0.0012
0.0312","0.1349
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","0.0950
7 / 0 / 0
0.9997 / 0.0003 / 0.0000
0.0156",-,"-1.6049
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.6049
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
dba,"1.7408
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.7398
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.6999
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.6049
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156",-,"-0.0000
1 / 1 / 5
0.0000 / 1.0000 / 0.0000
0.0511"
mean,"1.7408
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.7398
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.6999
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.6049
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","0.0000
5 / 1 / 1
0.0000 / 1.0000 / 0.0000
0.0511","If in bold, then
p-value < 0.05"
