comparates,orchestrator_v3,FFORMA,ADE,median,dba,mean
orchestrator_v3,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0094
4 / 0 / 3
0.6454 / 0.0551 / 0.2996
0.9375","-0.0271
3 / 0 / 4
0.3064 / 0.0273 / 0.6663
0.6875","-0.1141
2 / 0 / 5
0.1447 / 0.0299 / 0.8254
0.3750","-1.5699
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-1.5699
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
FFORMA,"0.0094
3 / 0 / 4
0.2976 / 0.0546 / 0.6479
0.9375",-,"-0.0177
3 / 0 / 4
0.0951 / 0.1405 / 0.7644
0.3750","-0.1047
2 / 0 / 5
0.1018 / 0.0146 / 0.8836
0.2969","-1.5604
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-1.5604
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
ADE,"0.0271
4 / 0 / 3
0.6596 / 0.0286 / 0.3118
0.6875","0.0177
4 / 0 / 3
0.7635 / 0.1437 / 0.0927
0.3750",-,"-0.0870
2 / 0 / 5
0.0823 / 0.0083 / 0.9094
0.2188","-1.5428
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-1.5428
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
median,"0.1141
5 / 0 / 2
0.8208 / 0.0302 / 0.1490
0.3750","0.1047
5 / 0 / 2
0.8849 / 0.0146 / 0.1005
0.2969","0.0870
5 / 0 / 2
0.9065 / 0.0087 / 0.0848
0.2188",-,"-1.4557
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.4557
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
dba,"1.5699
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5604
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5428
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.4557
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156",-,"-0.0000
2 / 0 / 5
0.0000 / 1.0000 / 0.0000
0.0781"
mean,"1.5699
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5604
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5428
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.4557
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","0.0000
5 / 0 / 2
0.0000 / 1.0000 / 0.0000
0.0781","If in bold, then
p-value < 0.05"
