dataset,regressor,mape,smape,rmse,pocid,n_series,n_series_mape
ANP_MONTHLY,mean,0.4187439488643597,0.22064914747676395,6315.373578109443,61.88811188811189,182,177
ANP_MONTHLY,median,0.3958296972478471,0.21941153938165134,6388.061054340824,61.93806193806194,182,177
ANP_MONTHLY,dba,0.4651342364453368,0.22520469372941548,6398.396636423298,60.53946053946055,182,177
NN5_WEEKLY_DATASET,mean,0.12409783605825227,0.11993858696559874,18.883663383689207,44.53024453024453,111,111
NN5_WEEKLY_DATASET,median,0.12376881251691081,0.12013407558022636,18.66259500587027,46.2033462033462,111,111
NN5_WEEKLY_DATASET,dba,0.12646239362964895,0.12256334050588247,19.33522039306343,46.460746460746456,111,111
M4_WEEKLY_DATASET,mean,3.9777294267569866e+127,0.15596807889498226,5.6567064359935255e+131,53.203342618384404,359,359
M4_WEEKLY_DATASET,median,11214489.317738865,0.08965554120138451,98091549866.94307,58.44939647168059,359,359
M4_WEEKLY_DATASET,dba,3.9777294267569846e+127,0.15938952151317573,5.6567064359935255e+131,51.740947075208915,359,359
ETTH1,mean,273162683680.09665,1.9999999812450453,1245113253499.4958,52.17391304347826,7,7
ETTH1,median,0.23528520697254568,0.2601997557902588,1.5957362852538104,62.11180124223602,7,7
ETTH1,dba,272603577994.66302,1.9999993179226663,2059519043323.2112,54.658385093167695,7,7
ETTH2,mean,3828025983.3257275,1.7196994624415805,99996379087.46915,49.689440993788814,7,6
ETTH2,median,0.10003501532817437,0.1815215102287487,2.5568144761125886,56.52173913043479,7,6
ETTH2,dba,3289936834.3745666,1.7257119961972553,151967111938.0612,52.795031055900616,7,6
ETTM1,mean,25096749955.588505,1.9999995899476704,136084107294.94052,44.720496894409926,7,6
ETTM1,median,0.30831739107206824,0.5442692988897755,2.5656524322747813,58.38509316770187,7,6
ETTM1,dba,19316615296.25099,1.99999881107396,195921298116.27737,47.20496894409938,7,6
ETTM2,mean,3253528624.513748,1.7404841897111407,63484511305.57064,43.47826086956521,7,7
ETTM2,median,0.1738712106122684,0.19973535956198712,3.6501217843357883,39.130434782608695,7,7
ETTM2,dba,2228290941.45474,1.743806554980434,106383343565.71396,37.267080745341616,7,7
