method,horizon_step,smape_medio,n_series
melhor_individual,1,0.09462568912899101,680
melhor_individual,2,0.10845378947050696,680
melhor_individual,3,0.12475641072852607,680
melhor_individual,4,0.12352186949250214,680
melhor_individual,5,0.1552149876437642,680
melhor_individual,6,0.15348020646522412,680
melhor_individual,7,0.13347608721788867,680
melhor_individual,8,0.1497284721324707,680
melhor_individual,9,0.1651313709427484,569
melhor_individual,10,0.1644782417158441,569
melhor_individual,11,0.17527490222412523,569
melhor_individual,12,0.1750913999915057,569
melhor_individual,13,0.14027354299824127,387
melhor_individual,14,0.2807617088607005,28
melhor_individual,15,0.21203767863164816,28
melhor_individual,16,0.21423016592448688,28
melhor_individual,17,0.23844100259507453,28
melhor_individual,18,0.21279222300761333,28
melhor_individual,19,0.23822449875703586,28
melhor_individual,20,0.20693329333541138,28
melhor_individual,21,0.26983084052487116,28
melhor_individual,22,0.26052962748433733,28
melhor_individual,23,0.18385556390424398,28
melhor_individual,24,0.17959724023992105,28
melhor_estatica,1,0.09174759124371641,680
melhor_estatica,2,0.10611874687253349,680
melhor_estatica,3,0.1202637143082236,680
melhor_estatica,4,0.12211646656086537,680
melhor_estatica,5,0.1510202933953387,680
melhor_estatica,6,0.15246191488252372,680
melhor_estatica,7,0.1296653651367625,680
melhor_estatica,8,0.15115265265028943,680
melhor_estatica,9,0.1575640102838363,569
melhor_estatica,10,0.16072486252916937,569
melhor_estatica,11,0.16460542445161164,569
melhor_estatica,12,0.16766087747085584,569
melhor_estatica,13,0.1210900420777438,387
melhor_estatica,14,0.3522008394734309,28
melhor_estatica,15,0.31775021566230766,28
melhor_estatica,16,0.31218340523533084,28
melhor_estatica,17,0.32802254352967164,28
melhor_estatica,18,0.2978307079246846,28
melhor_estatica,19,0.1622359924565838,28
melhor_estatica,20,0.21423753266111317,28
melhor_estatica,21,0.3604767077256424,28
melhor_estatica,22,0.3556898593341619,28
melhor_estatica,23,0.2585559866417047,28
melhor_estatica,24,0.2471983479259223,28
FFORMA,1,0.09676754577304784,680
FFORMA,2,0.10635632091208506,680
FFORMA,3,0.1212234021908298,680
FFORMA,4,0.1205381380183935,680
FFORMA,5,0.1544858146147368,680
FFORMA,6,0.15504238150978514,680
FFORMA,7,0.13229689583689014,680
FFORMA,8,0.15490849030297593,680
FFORMA,9,0.16352566696955897,569
FFORMA,10,0.1631421648724206,569
FFORMA,11,0.16782319290311332,569
FFORMA,12,0.17432866230287364,569
FFORMA,13,0.13475265705100234,387
FFORMA,14,0.31824357173853635,28
FFORMA,15,0.22929462141878823,28
FFORMA,16,0.22249641771145498,28
FFORMA,17,0.2889863529432826,28
FFORMA,18,0.20265063352234608,28
FFORMA,19,0.27749610774762057,28
FFORMA,20,0.30403992067719,28
FFORMA,21,0.3968146597093119,28
FFORMA,22,0.3673548298680447,28
FFORMA,23,0.2952407421604825,28
FFORMA,24,0.28065045785480064,28
ADE,1,0.1043022898858031,680
ADE,2,0.11143995434942251,680
ADE,3,0.1308391817363215,680
ADE,4,0.12723430088040738,680
ADE,5,0.16072305854674854,680
ADE,6,0.1641026772656962,680
ADE,7,0.13588153299279512,680
ADE,8,0.15716415286141738,680
ADE,9,0.1670410736346669,569
ADE,10,0.1723121627459883,569
ADE,11,0.18218926552840595,569
ADE,12,0.17395291086455494,569
ADE,13,0.1395926773933622,387
ADE,14,0.3337781221736922,28
ADE,15,0.29579969742331896,28
ADE,16,0.2798569828272225,28
ADE,17,0.3256318338167385,28
ADE,18,0.22255098161038053,28
ADE,19,0.2786713013003967,28
ADE,20,0.34793195981336783,28
ADE,21,0.4259641142607387,28
ADE,22,0.39062048476217204,28
ADE,23,0.33164930699246603,28
ADE,24,0.3217838542381046,28
CREST,1,0.09258077121714961,680
CREST,2,0.10275352457240074,680
CREST,3,0.11717880085734585,680
CREST,4,0.11673474337005849,680
CREST,5,0.152026098157807,680
CREST,6,0.1531735309023801,680
CREST,7,0.12671811456715168,680
CREST,8,0.146916478449368,680
CREST,9,0.15703527109219897,569
CREST,10,0.15897534230266566,569
CREST,11,0.1690182920207279,569
CREST,12,0.167364828909871,569
CREST,13,0.12520852254056503,387
CREST,14,0.2904423163551881,28
CREST,15,0.2384449058991551,28
CREST,16,0.24425525080030056,28
CREST,17,0.2635720807503476,28
CREST,18,0.24366598568256223,28
CREST,19,0.2958828485242098,28
CREST,20,0.2715790548417452,28
CREST,21,0.34392348393597416,28
CREST,22,0.3338291878877668,28
CREST,23,0.27520829703424404,28
CREST,24,0.24256870305968933,28
