method,horizon_step,smape_medio,smape_desvio_padrao,pocid_medio,pocid_desvio_padrao,n_series
melhor_individual,1,0.09462568912899101,0.18031446404126364,0.6426470588235295,0.4795727653359958,680
melhor_individual,2,0.10845378947050696,0.2111297027303329,0.5764705882352941,0.49448137007241905,680
melhor_individual,3,0.12475641072852607,0.24833401919067505,0.5838235294117647,0.4932863836493539,680
melhor_individual,4,0.12352186949250214,0.22009569118335826,0.6073529411764705,0.4886988454584848,680
melhor_individual,5,0.1552149876437642,0.2637838804531352,0.5058823529411764,0.5003334243042794,680
melhor_individual,6,0.15348020646522412,0.24983804429821757,0.6,0.49025856542442753,680
melhor_individual,7,0.13347608721788867,0.24542840945754418,0.5397058823529411,0.4987878402068843,680
melhor_individual,8,0.1497284721324707,0.2553874024022111,0.5691176470588235,0.49556422758766466,680
melhor_individual,9,0.1651313709427484,0.29389246061218355,0.5536028119507909,0.49755584695303223,569
melhor_individual,10,0.1644782417158441,0.30285906125577483,0.5764499121265377,0.49455562074597437,569
melhor_individual,11,0.17527490222412523,0.31041869182569426,0.539543057996485,0.49887246315905104,569
melhor_individual,12,0.1750913999915057,0.3032317135774624,0.5922671353251318,0.491845431526086,569
melhor_individual,13,0.14027354299824127,0.2796924778539957,0.537467700258398,0.4992396247991219,387
melhor_individual,14,0.2807617088607005,0.5018749197484568,0.5714285714285714,0.5039526306789697,28
melhor_individual,15,0.21203767863164816,0.375867124781748,0.5357142857142857,0.5078745001833701,28
melhor_individual,16,0.21423016592448688,0.37557016239552754,0.5,0.5091750772173156,28
melhor_individual,17,0.23844100259507453,0.3865450146803854,0.7142857142857143,0.4600437062282361,28
melhor_individual,18,0.21279222300761333,0.37567362742029625,0.42857142857142855,0.5039526306789696,28
melhor_individual,19,0.23822449875703586,0.45309291422855436,0.4642857142857143,0.5078745001833701,28
melhor_individual,20,0.20693329333541138,0.3966668291254277,0.4642857142857143,0.5078745001833701,28
melhor_individual,21,0.26983084052487116,0.4984087693843321,0.39285714285714285,0.49734746139343805,28
melhor_individual,22,0.26052962748433733,0.5125522246898414,0.6071428571428571,0.49734746139343805,28
melhor_individual,23,0.18385556390424398,0.3723158266578545,0.42857142857142855,0.5039526306789697,28
melhor_individual,24,0.17959724023992105,0.3779308192768478,0.5,0.5091750772173156,28
melhor_estatica,1,0.09174759124371641,0.1731467357902795,0.6617647058823529,0.47345731558433607,680
melhor_estatica,2,0.10611874687253349,0.18856137065052483,0.5720588235294117,0.49514449126178367,680
melhor_estatica,3,0.1202637143082236,0.21899566054865036,0.6,0.49025856542442764,680
melhor_estatica,4,0.12211646656086537,0.21631533970787614,0.6485294117647059,0.47778102928709354,680
melhor_estatica,5,0.1510202933953387,0.23908421685071793,0.5279411764705882,0.4995861581120035,680
melhor_estatica,6,0.15246191488252372,0.23623100409113285,0.6058823529411764,0.489020045290054,680
melhor_estatica,7,0.1296653651367625,0.2285593332957157,0.5220588235294118,0.49988086599421505,680
melhor_estatica,8,0.15115265265028943,0.24383734494278325,0.6058823529411764,0.4890200452900539,680
melhor_estatica,9,0.1575640102838363,0.27513682131310385,0.5641476274165202,0.49630432011798575,569
melhor_estatica,10,0.16072486252916937,0.2903141079914484,0.6098418277680141,0.48821478072729096,569
melhor_estatica,11,0.16460542445161164,0.28413453724407356,0.5430579964850615,0.4985808717901166,569
melhor_estatica,12,0.16766087747085584,0.2837545842183311,0.5975395430579965,0.49082525245875375,569
melhor_estatica,13,0.1210900420777438,0.22950944220567582,0.5710594315245479,0.4955654791519853,387
melhor_estatica,14,0.3522008394734309,0.5104041821649268,0.5357142857142857,0.5078745001833701,28
melhor_estatica,15,0.31775021566230766,0.4769032115914513,0.4642857142857143,0.5078745001833701,28
melhor_estatica,16,0.31218340523533084,0.49451763418645595,0.6428571428571429,0.4879500364742666,28
melhor_estatica,17,0.32802254352967164,0.5012977523538951,0.6071428571428571,0.497347461393438,28
melhor_estatica,18,0.2978307079246846,0.49690226642009383,0.5357142857142857,0.5078745001833701,28
melhor_estatica,19,0.1622359924565838,0.18159323030475075,0.35714285714285715,0.4879500364742666,28
melhor_estatica,20,0.21423753266111317,0.243014434914131,0.35714285714285715,0.4879500364742666,28
melhor_estatica,21,0.3604767077256424,0.5603117949075636,0.39285714285714285,0.49734746139343805,28
melhor_estatica,22,0.3556898593341619,0.5603047219973532,0.39285714285714285,0.4973474613934381,28
melhor_estatica,23,0.2585559866417047,0.4465913234755915,0.5,0.5091750772173155,28
melhor_estatica,24,0.2471983479259223,0.4498887724919262,0.6071428571428571,0.49734746139343805,28
FFORMA,1,0.09676754577304784,0.19114332113956592,0.6426470588235295,0.47957276533599624,680
FFORMA,2,0.10635632091208506,0.18901255437817022,0.5808823529411765,0.4937778840779226,680
FFORMA,3,0.1212234021908298,0.22178151396903695,0.6191176470588236,0.48596118954509865,680
FFORMA,4,0.1205381380183935,0.20876349405100741,0.6441176470588236,0.47913223996096094,680
FFORMA,5,0.1544858146147368,0.2495169820926059,0.5279411764705882,0.4995861581120033,680
