method,horizon_step,smape_medio,smape_desvio_padrao,pocid_medio,pocid_desvio_padrao,n_series
FFORMA,6,0.15504238150978514,0.24256893505481766,0.5985294117647059,0.4905566694758649,680
FFORMA,7,0.13229689583689014,0.23594126720008596,0.5176470588235295,0.5000563080136754,680
FFORMA,8,0.15490849030297593,0.25492902811104984,0.6338235294117647,0.4821131364351244,680
FFORMA,9,0.16352566696955897,0.2888642497554282,0.5782073813708261,0.49428026264864255,569
FFORMA,10,0.1631421648724206,0.29643139551082404,0.6010544815465729,0.4901123888626731,569
FFORMA,11,0.16782319290311332,0.2918179278498862,0.5869947275922671,0.4928069948033232,569
FFORMA,12,0.17432866230287364,0.29533266999208063,0.6766256590509666,0.4681758150279374,569
FFORMA,13,0.13475265705100234,0.2566311025890346,0.5219638242894057,0.500163982160473,387
FFORMA,14,0.31824357173853635,0.49869587890045586,0.5357142857142857,0.5078745001833701,28
FFORMA,15,0.22929462141878823,0.2114409466771118,0.39285714285714285,0.49734746139343805,28
FFORMA,16,0.22249641771145498,0.27359284474856943,0.5,0.5091750772173156,28
FFORMA,17,0.2889863529432826,0.3707321842613376,0.6071428571428571,0.49734746139343805,28
FFORMA,18,0.20265063352234608,0.36039720629220834,0.6071428571428571,0.497347461393438,28
FFORMA,19,0.27749610774762057,0.42035185457556423,0.6071428571428571,0.497347461393438,28
FFORMA,20,0.30403992067719,0.44601907978619504,0.35714285714285715,0.48795003647426655,28
FFORMA,21,0.3968146597093119,0.5966410540100262,0.32142857142857145,0.47559486560567094,28
FFORMA,22,0.3673548298680447,0.5558923422969573,0.42857142857142855,0.5039526306789697,28
FFORMA,23,0.2952407421604825,0.472363689794668,0.32142857142857145,0.4755948656056709,28
FFORMA,24,0.28065045785480064,0.4897340945133323,0.5357142857142857,0.5078745001833701,28
ADE,1,0.1043022898858031,0.18263518369401358,0.5985294117647059,0.49055666947586446,680
ADE,2,0.11143995434942251,0.1883634265172678,0.538235294117647,0.49890289408016353,680
ADE,3,0.1308391817363215,0.23141925656066925,0.5838235294117647,0.49328638364935384,680
ADE,4,0.12723430088040738,0.21479278036762467,0.6205882352941177,0.48559782735822205,680
ADE,5,0.16072305854674854,0.24859186393483587,0.5102941176470588,0.5002619949469697,680
ADE,6,0.1641026772656962,0.2446922216722806,0.5794117647058824,0.49401687482862183,680
ADE,7,0.13588153299279512,0.23340821475225837,0.5676470588235294,0.49576740961770965,680
ADE,8,0.15716415286141738,0.24975871835428035,0.5529411764705883,0.4975553160787861,680
ADE,9,0.1670410736346669,0.28156817661578876,0.5342706502636204,0.49926305254199943,569
ADE,10,0.1723121627459883,0.2970042644285927,0.6467486818980668,0.4784005133406867,569
ADE,11,0.18218926552840595,0.2901623288661651,0.5254833040421792,0.49978955446512147,569
ADE,12,0.17395291086455494,0.29409779304519096,0.6256590509666081,0.48437810036424855,569
ADE,13,0.1395926773933622,0.2504888325064799,0.5943152454780362,0.4916596972254096,387
ADE,14,0.3337781221736922,0.5035770548910339,0.5714285714285714,0.5039526306789696,28
ADE,15,0.29579969742331896,0.35758149852214177,0.35714285714285715,0.4879500364742666,28
ADE,16,0.2798569828272225,0.4013201329434814,0.42857142857142855,0.5039526306789697,28
ADE,17,0.3256318338167385,0.4104116689118127,0.5714285714285714,0.5039526306789697,28
ADE,18,0.22255098161038053,0.3632452926335162,0.6071428571428571,0.49734746139343805,28
ADE,19,0.2786713013003967,0.38448229403790757,0.6785714285714286,0.4755948656056708,28
ADE,20,0.34793195981336783,0.4667758695917918,0.35714285714285715,0.48795003647426655,28
ADE,21,0.4259641142607387,0.5882248291797323,0.32142857142857145,0.47559486560567094,28
ADE,22,0.39062048476217204,0.5325668646269563,0.42857142857142855,0.5039526306789696,28
ADE,23,0.33164930699246603,0.4490598146855694,0.32142857142857145,0.4755948656056709,28
ADE,24,0.3217838542381046,0.46856450119936754,0.5714285714285714,0.5039526306789697,28
CREST,1,0.09258077121714961,0.17305301029464784,0.6588235294117647,0.47445350132989456,680
CREST,2,0.10275352457240074,0.17518541781411254,0.5691176470588235,0.49556422758766466,680
CREST,3,0.11717880085734585,0.20426806322217322,0.6147058823529412,0.48702296803530565,680
CREST,4,0.11673474337005849,0.19056461926441304,0.6367647058823529,0.4812858365716259,680
CREST,5,0.152026098157807,0.23059690211365583,0.5191176470588236,0.5000021658100886,680
CREST,6,0.1531735309023801,0.22910134298597737,0.5955882352941176,0.49113910561982976,680
CREST,7,0.12671811456715168,0.21264277215389726,0.5558823529411765,0.49723309621433226,680
CREST,8,0.146916478449368,0.23037079465248061,0.5985294117647059,0.4905566694758652,680
CREST,9,0.15703527109219897,0.2620850639848306,0.5571177504393673,0.49716391633139717,569
CREST,10,0.15897534230266566,0.27245046629746633,0.6449912126537786,0.47893702899185814,569
CREST,11,0.1690182920207279,0.26471441831909226,0.5483304042179262,0.49809657748273295,569
CREST,12,0.167364828909871,0.28155209721901875,0.6625659050966608,0.47325039857456436,569
CREST,13,0.12520852254056503,0.22582426111075585,0.5529715762273901,0.49782970090895,387
CREST,14,0.2904423163551881,0.40415930258261507,0.6428571428571429,0.48795003647426655,28
CREST,15,0.2384449058991551,0.26847819441810367,0.39285714285714285,0.49734746139343805,28
CREST,16,0.24425525080030056,0.35530788755579823,0.5714285714285714,0.5039526306789697,28
CREST,17,0.2635720807503476,0.3805857749681347,0.6785714285714286,0.47559486560567094,28
CREST,18,0.24366598568256223,0.37087411930775843,0.5714285714285714,0.5039526306789697,28
CREST,19,0.2958828485242098,0.4483442196906754,0.5,0.5091750772173156,28
CREST,20,0.2715790548417452,0.40882428530696974,0.4642857142857143,0.5078745001833701,28
CREST,21,0.34392348393597416,0.5206487823433542,0.39285714285714285,0.49734746139343805,28
CREST,22,0.3338291878877668,0.5289664207310066,0.42857142857142855,0.5039526306789696,28
CREST,23,0.27520829703424404,0.4204263323295411,0.5,0.5091750772173156,28
CREST,24,0.24256870305968933,0.4316884268295855,0.6071428571428571,0.4973474613934381,28
