method,horizon_step,smape_medio
melhor_individual,1,0.09462568912899101
melhor_individual,2,0.10845378947050696
melhor_individual,3,0.12475641072852607
melhor_individual,4,0.12352186949250214
melhor_individual,5,0.1552149876437642
melhor_individual,6,0.15348020646522412
melhor_individual,7,0.13347608721788867
melhor_individual,8,0.1497284721324707
melhor_individual,9,0.1651313709427484
melhor_individual,10,0.1644782417158441
melhor_individual,11,0.17527490222412523
melhor_individual,12,0.1750913999915057
melhor_individual,13,0.14027354299824127
melhor_individual,14,0.2807617088607005
melhor_individual,15,0.21203767863164816
melhor_individual,16,0.21423016592448688
melhor_individual,17,0.23844100259507453
melhor_individual,18,0.21279222300761333
melhor_individual,19,0.23822449875703586
melhor_individual,20,0.20693329333541138
melhor_individual,21,0.26983084052487116
melhor_individual,22,0.26052962748433733
melhor_individual,23,0.18385556390424398
melhor_individual,24,0.17959724023992105
melhor_estatica,1,0.09174759124371641
melhor_estatica,2,0.10611874687253349
melhor_estatica,3,0.1202637143082236
melhor_estatica,4,0.12211646656086537
melhor_estatica,5,0.1510202933953387
melhor_estatica,6,0.15246191488252372
melhor_estatica,7,0.1296653651367625
melhor_estatica,8,0.15115265265028943
melhor_estatica,9,0.1575640102838363
melhor_estatica,10,0.16072486252916937
melhor_estatica,11,0.16460542445161164
melhor_estatica,12,0.16766087747085584
melhor_estatica,13,0.1210900420777438
melhor_estatica,14,0.3522008394734309
melhor_estatica,15,0.31775021566230766
melhor_estatica,16,0.31218340523533084
melhor_estatica,17,0.32802254352967164
melhor_estatica,18,0.2978307079246846
melhor_estatica,19,0.1622359924565838
melhor_estatica,20,0.21423753266111317
melhor_estatica,21,0.3604767077256424
melhor_estatica,22,0.3556898593341619
melhor_estatica,23,0.2585559866417047
melhor_estatica,24,0.2471983479259223
FFORMA,1,0.09676754577304784
FFORMA,2,0.10635632091208506
FFORMA,3,0.1212234021908298
FFORMA,4,0.1205381380183935
FFORMA,5,0.1544858146147368
FFORMA,6,0.15504238150978514
FFORMA,7,0.13229689583689014
FFORMA,8,0.15490849030297593
FFORMA,9,0.16352566696955897
FFORMA,10,0.1631421648724206
FFORMA,11,0.16782319290311332
FFORMA,12,0.17432866230287364
FFORMA,13,0.13475265705100234
FFORMA,14,0.31824357173853635
FFORMA,15,0.22929462141878823
FFORMA,16,0.22249641771145498
FFORMA,17,0.2889863529432826
FFORMA,18,0.20265063352234608
FFORMA,19,0.27749610774762057
FFORMA,20,0.30403992067719
FFORMA,21,0.3968146597093119
FFORMA,22,0.3673548298680447
FFORMA,23,0.2952407421604825
FFORMA,24,0.28065045785480064
ADE,1,0.1043022898858031
ADE,2,0.11143995434942251
ADE,3,0.1308391817363215
ADE,4,0.12723430088040738
ADE,5,0.16072305854674854
ADE,6,0.1641026772656962
ADE,7,0.13588153299279512
ADE,8,0.15716415286141738
ADE,9,0.1670410736346669
ADE,10,0.1723121627459883
ADE,11,0.18218926552840595
ADE,12,0.17395291086455494
ADE,13,0.1395926773933622
ADE,14,0.3337781221736922
ADE,15,0.29579969742331896
ADE,16,0.2798569828272225
ADE,17,0.3256318338167385
ADE,18,0.22255098161038053
ADE,19,0.2786713013003967
ADE,20,0.34793195981336783
ADE,21,0.4259641142607387
ADE,22,0.39062048476217204
ADE,23,0.33164930699246603
ADE,24,0.3217838542381046
CREST,1,0.09258077121714961
CREST,2,0.10275352457240074
CREST,3,0.11717880085734585
CREST,4,0.11673474337005849
CREST,5,0.152026098157807
CREST,6,0.1531735309023801
CREST,7,0.12671811456715168
CREST,8,0.146916478449368
CREST,9,0.15703527109219897
CREST,10,0.15897534230266566
CREST,11,0.1690182920207279
CREST,12,0.167364828909871
CREST,13,0.12520852254056503
CREST,14,0.2904423163551881
CREST,15,0.2384449058991551
CREST,16,0.24425525080030056
CREST,17,0.2635720807503476
CREST,18,0.24366598568256223
CREST,19,0.2958828485242098
CREST,20,0.2715790548417452
CREST,21,0.34392348393597416
CREST,22,0.3338291878877668
CREST,23,0.27520829703424404
CREST,24,0.24256870305968933
