dataset_index;horizon;regressor;mape;pocid;smape;rmse;msmape;mae;test;predictions;start_test;final_test;description;debate_ran;debate_trigger;approach_pre_debate;approach_post_debate;debate_explanation;selection_explanation;when_good;decision_report;llm_artifacts_path
0;12;orchestrator_deterministic_v1;0.3204029733580585;54.54545454545455;0.3910185338443637;2259.5614166069745;0.3910147019191035;2015.9308428229483;[5142.53, 5476.0, 5628.5, 8451.5, 7282.5, 6116.53, 5401.0, 6605.03, 5789.5, 4763.5, 5809.9, 5354.2];[3994.0504905646158, 3892.978210724231, 3809.2745864726926, 3917.986586947309, 3882.2548755803846, 3832.719232801154, 3874.2543346111543, 4010.3840654323076, 4099.0335271588465, 4091.7469867334617, 4104.721795108077, 4120.115193990386];INICIO;2024-11-30;"{""best"": {""name"": ""baseline_mean"", ""type"": ""baseline"", ""description"": ""Mean across all models for each horizon."", ""formula"": ""y_hat(h)=mean_m pred_m(h)"", ""learns_weights"": false, ""constraints"": ""none"", ""risks"": [""sensitive to outliers""], ""validation_plan"": ""rolling"", ""params"": {""method"": ""mean""}}, ""score"": 0.9484848484848485, ""aggregate"": {""MAPE"": 0.3400892840940333, ""SMAPE"": 0.34022177835089984, ""RMSE"": 1728.0639543083646, ""POCID"": 51.51515151515152}, ""stability"": {""MAPE_std"": 0.07857856892958648, ""SMAPE_std"": 0.08103107105297445, ""RMSE_std"": 755.2591421600855, ""POCID_std"": 4.285495643554834}, ""predict_debug"": {""method"": ""mean""}}";;;;;;;;;
1;12;orchestrator_deterministic_v1;0.1034903392311196;45.45454545454545;0.1118892046704689;2375.1014475339903;0.1118888816931086;1942.0136867122064;[17321.534, 18859.125, 15978.749, 17282.099, 17626.749, 17679.862, 16958.552, 20797.155, 19341.835, 18305.755, 19278.976, 17704.012];[16378.563184007478, 17107.28437032, 16174.690474468238, 17025.39583612, 15223.067983954845, 14877.506126869317, 16364.307389985102, 16424.77970608378, 15955.085089573695, 17072.79726115, 15341.6490154, 16276.99527045754];INICIO;2024-11-30;"{""best"": {""name"": ""ridge_stacking_per_horizon_l2_10"", ""type"": ""stacking"", ""description"": ""Ridge stacking per horizon with simplex projection."", ""formula"": ""argmin ||Xw-y||^2+λ||w||^2 then project to simplex"", ""learns_weights"": true, ""constraints"": ""w>=0,sum(w)=1; fit uses past windows only"", ""risks"": [""needs enough windows""], ""validation_plan"": ""rolling"", ""params"": {""method"": ""ridge_stacking_per_horizon"", ""l2"": 10.0, ""top_k"": 5}}, ""score"": 0.9023340671104956, ""aggregate"": {""MAPE"": 0.2522818867335669, ""SMAPE"": 0.25881480702454157, ""RMSE"": 3507.5485191233397, ""POCID"": 60.6060606060606}, ""stability"": {""MAPE_std"": 0.14811932437031416, ""SMAPE_std"": 0.14435301413172033, ""RMSE_std"": 1412.7391918805833, ""POCID_std"": 11.338355717496794}, ""predict_debug"": {""method"": ""ridge_stacking_per_horizon"", ""l2"": 10.0, ""top_k"": 5, ""weights_by_horizon"": {""0"": {""ARIMA"": 0.0, ""ETS"": 0.0, ""THETA"": 0.0, ""svr"": 0.0, ""rf"": 0.0, ""catboost"": 0.0, ""CWT_svr"": 0.0, ""DWT_svr"": 0.0, ""FT_svr"": 0.0, ""CWT_rf"": 0.4927767181581491, ""DWT_rf"": 0.0, ""FT_rf"": 0.0, ""CWT_catboost"": 0.0, ""DWT_catboost"": 0.0, ""FT_catboost"": 0.0, ""ONLY_CWT_catboost"": 0.0, ""ONLY_CWT_rf"": 0.38162009556005344, ""ONLY_CWT_svr"": 0.0, ""ONLY_DWT_catboost"": 0.0, ""ONLY_DWT_rf"": 0.12560318628179748, ""ONLY_DWT_svr"": 0.0, ""ONLY_FT_catboost"": 0.0, ""ONLY_FT_rf"": 0.0, ""ONLY_FT_svr"": 0.0, ""NaiveSeasonal"": 0.0, ""NaiveMovingAverage"": 0.0}, ""1"": {""ARIMA"": 0.0, ""ETS"": 0.0, ""THETA"": 0.0, ""svr"": 0.0, ""rf"": 0.0, ""catboost"": 0.0, ""CWT_svr"": 0.0, ""DWT_svr"": 0.0, ""FT_svr"": 0.0, ""CWT_rf"": 0.0, ""DWT_rf"": 0.0, ""FT_rf"": 1.0, ""CWT_catboost"": 0.0, ""DWT_catboost"": 0.0, ""FT_catboost"": 0.0, ""ONLY_CWT_catboost"": 0.0, ""ONLY_CWT_rf"": 0.0, ""ONLY_CWT_svr"": 0.0, ""ONLY_DWT_catboost"": 0.0, ""ONLY_DWT_rf"": 0.0, ""ONLY_DWT_svr"": 0.0, ""ONLY_FT_catboost"": 0.0, ""ONLY_FT_rf"": 0.0, ""ONLY_FT_svr"": 0.0, ""NaiveSeasonal"": 0.0, ""NaiveMovingAverage"": 0.0}, ""2"": {""ARIMA"": 0.0, ""ETS"": 0.0, ""THETA"": 0.0, ""svr"": 0.0, ""rf"": 0.0, ""catboost"": 0.0, ""CWT_svr"": 0.0, ""DWT_svr"": 0.0, ""FT_svr"": 0.0, ""CWT_rf"": 0.0, ""DWT_rf"": 0.7879820594376019, ""FT_rf"": 0.0, ""CWT_catboost"": 0.0, ""DWT_catboost"": 0.0, ""FT_catboost"": 0.0, ""ONLY_CWT_catboost"": 0.0, ""ONLY_CWT_rf"": 0.0, ""ONLY_CWT_svr"": 0.0, ""ONLY_DWT_catboost"": 0.0, ""ONLY_DWT_rf"": 0.0, ""ONLY_DWT_svr"": 0.21201794056239814, ""ONLY_FT_catboost"": 0.0, ""ONLY_FT_rf"": 0.0, ""ONLY_FT_svr"": 0.0, ""NaiveSeasonal"": 0.0, ""NaiveMovingAverage"": 0.0}, ""3"": {""ARIMA"": 0.0, ""ETS"": 0.0, ""THETA"": 0.0, ""svr"": 0.0, ""rf"": 0.0, ""catboost"": 0.0, ""CWT_svr"": 0.0, ""DWT_svr"": 0.0, ""FT_svr"": 0.0, ""CWT_rf"": 0.0, ""DWT_rf"": 0.0, ""FT_rf"": 0.0, ""CWT_catboost"": 0.0, ""DWT_catboost"": 0.0, ""FT_catboost"": 0.0, ""ONLY_CWT_catboost"": 0.0, ""ONLY_CWT_rf"": 0.0, ""ONLY_CWT_svr"": 0.0, ""ONLY_DWT_catboost"": 0.0, ""ONLY_DWT_rf"": 0.0, ""ONLY_DWT_svr"": 0.0, ""ONLY_FT_catboost"": 0.0, ""ONLY_FT_rf"": 1.0, ""ONLY_FT_svr"": 0.0, ""NaiveSeasonal"": 0.0, ""NaiveMovingAverage"": 0.0}, ""4"": {""ARIMA"": 0.0, ""ETS"": 0.0, ""THETA"": 0.45225948216761813, ""svr"": 0.0, ""rf"": 0.0, ""catboost"": 0.0, ""CWT_svr"": 0.0, ""DWT_svr"": 0.0, ""FT_svr"": 0.0, ""CWT_rf"": 0.0, ""DWT_rf"": 0.0, ""FT_rf"": 0.0, ""CWT_catboost"": 0.0, ""DWT_catboost"": 0.0, ""FT_catboost"": 0.0, ""ONLY_CWT_catboost"": 0.0, ""ONLY_CWT_rf"": 0.0, ""ONLY_CWT_svr"": 0.0, ""ONLY_DWT_catboost"": 0.0, ""ONLY_DWT_rf"": 0.0, ""ONLY_DWT_svr"": 0.5477405178323819, ""ONLY_FT_catboost"": 0.0, ""ONLY_FT_rf"": 0.0, ""ONLY_FT_svr"": 0.0, ""NaiveSeasonal"": 0.0, ""NaiveMovingAverage"": 0.0}, ""5"": {""ARIMA"": 0.0, ""ETS"": 0.24423354810430745, ""THETA"": 0.3807091173079101, ""svr"": 0.0, ""rf"": 0.0, ""catboost"": 0.0, ""CWT_svr"": 0.0, ""DWT_svr"": 0.0, ""FT_svr"": 0.0, ""CWT_rf"": 0.0, ""DWT_rf"": 0.0, ""FT_rf"": 0.0, ""CWT_catboost"": 0.0, ""DWT_catboost"": 0.0, ""FT_catboost"": 0.0, ""ONLY_CWT_catboost"": 0.0, ""ONLY_CWT_rf"": 0.0, ""ONLY_CWT_svr"": 0.0, ""ONLY_DWT_catboost"": 0.37505733458778256, ""ONLY_DWT_rf"": 0.0, ""ONLY_DWT_svr"": 0.0, ""ONLY_FT_catboost"": 0.0, ""ONLY_FT_rf"": 0.0, ""ONLY_FT_svr"": 0.0, ""NaiveSeasonal"": 0.0, ""NaiveMovingAverage"": 0.0}, ""6"": {""ARIMA"": 0.0, ""ETS"": 0.11738343761209594, ""THETA"": 0.12837076229826425, ""svr"": 0.0, ""rf"": 0.3795449902600783, ""catboost"": 0.0, ""CWT_svr"": 0.0, ""DWT_svr"": 0.0, ""FT_svr"": 0.0, ""CWT_rf"": 0.0, ""DWT_rf"": 0.0, ""FT_rf"": 0.0, ""CWT_catboost"": 0.0, ""DWT_catboost"": 0.0, ""FT_catboost"": 0.0, ""ONLY_CWT_catboost"": 0.0, ""ONLY_CWT_rf"": 0.0, ""ONLY_CWT_svr"": 0.0, ""ONLY_DWT_catboost"": 0.37470080982956144, ""ONLY_DWT_rf"": 0.0, ""ONLY_DWT_svr"": 0.0, ""ONLY_FT_catboost"": 0.0, ""ONLY_FT_rf"": 0.0, ""ONLY_FT_svr"": 0.0, ""NaiveSeasonal"": 0.0, ""NaiveMovingAverage"": 0.0}, ""7"": {""ARIMA"": 0.0, ""ETS"": 0.46134985259827077, ""THETA"": 0.4620053478805646, ""svr"": 0.0, ""rf"": 0.0, ""catboost"": 0.0, ""CWT_svr"": 0.0, ""DWT_svr"": 0.0, ""FT_svr"": 0.0, ""CWT_rf"": 0.0, ""DWT_rf"": 0.0, ""FT_rf"": 0.0, ""CWT_catboost"": 0.0, ""DWT_catboost"": 0.0, ""FT_catboost"": 0.07664479952116468, ""ONLY_CWT_catboost"": 0.0, ""ONLY_CWT_rf"": 0.0, ""ONLY_CWT_svr"": 0.0, ""ONLY_DWT_catboost"": 0.0, ""ONLY_DWT_rf"": 0.0, ""ONLY_DWT_svr"": 0.0, ""ONLY_FT_catboost"": 0.0, ""ONLY_FT_rf"": 0.0, ""ONLY_FT_svr"": 0.0, ""NaiveSeasonal"": 0.0, ""NaiveMovingAverage"": 0.0}, ""8"": {""ARIMA"": 0.0, ""ETS"": 0.03494378192750702, ""THETA"": 0.5958150165993193, ""svr"": 0.0, ""rf"": 0.0, ""catboost"": 0.0, ""CWT_svr"": 0.0, ""DWT_svr"": 0.0, ""FT_svr"": 0.0, ""CWT_rf"": 0.0, ""DWT_rf"": 0.0, ""FT_rf"": 0.36924120147317374, ""CWT_catboost"": 0.0, ""DWT_catboost"": 0.0, ""FT_catboost"": 0.0, ""ONLY_CWT_catboost"": 0.0, ""ONLY_CWT_rf"": 0.0, ""ONLY_CWT_svr"": 0.0, ""ONLY_DWT_catboost"": 0.0, ""ONLY_DWT_rf"": 0.0, ""ONLY_DWT_svr"": 0.0, ""ONLY_FT_catboost"": 0.0, ""ONLY_FT_rf"": 0.0, ""ONLY_FT_svr"": 0.0, ""NaiveSeasonal"": 0.0, ""NaiveMovingAverage"": 0.0}, ""9"": {""ARIMA"": 0.0, ""ETS"": 0.0, ""THETA"": 0.0, ""svr"": 0.0, ""rf"": 0.0, ""catboost"": 0.0, ""CWT_svr"": 0.0, ""DWT_svr"": 0.0, ""FT_svr"": 0.0, ""CWT_rf"": 0.0, ""DWT_rf"": 0.0, ""FT_rf"": 1.0, ""CWT_catboost"": 0.0, ""DWT_catboost"": 0.0, ""FT_catboost"": 0.0, ""ONLY_CWT_catboost"": 0.0, ""ONLY_CWT_rf"": 0.0, ""ONLY_CWT_svr"": 0.0, ""ONLY_DWT_catboost"": 0.0, ""ONLY_DWT_rf"": 0.0, ""ONLY_DWT_svr"": 0.0, ""ONLY_FT_catboost"": 0.0, ""ONLY_FT_rf"": 0.0, ""ONLY_FT_svr"": 0.0, ""NaiveSeasonal"": 0.0, ""NaiveMovingAverage"": 0.0}, ""10"": {""ARIMA"": 0.0, ""ETS"": 0.0, ""THETA"": 1.0, ""svr"": 0.0, ""rf"": 0.0, ""catboost"": 0.0, ""CWT_svr"": 0.0, ""DWT_svr"": 0.0, ""FT_svr"": 0.0, ""CWT_rf"": 0.0, ""DWT_rf"": 0.0, ""FT_rf"": 0.0, ""CWT_catboost"": 0.0, ""DWT_catboost"": 0.0, ""FT_catboost"": 0.0, ""ONLY_CWT_catboost"": 0.0, ""ONLY_CWT_rf"": 0.0, ""ONLY_CWT_svr"": 0.0, ""ONLY_DWT_catboost"": 0.0, ""ONLY_DWT_rf"": 0.0, ""ONLY_DWT_svr"": 0.0, ""ONLY_FT_catboost"": 0.0, ""ONLY_FT_rf"": 0.0, ""ONLY_FT_svr"": 0.0, ""NaiveSeasonal"": 0.0, ""NaiveMovingAverage"": 0.0}, ""11"": {""ARIMA"": 0.0, ""ETS"": 0.0, ""THETA"": 0.0, ""svr"": 0.0, ""rf"": 0.0, ""catboost"": 0.0, ""CWT_svr"": 0.0, ""DWT_svr"": 0.0, ""FT_svr"": 0.0, ""CWT_rf"": 0.0, ""DWT_rf"": 0.0, ""FT_rf"": 0.6379530620061646, ""CWT_catboost"": 0.0, ""DWT_catboost"": 0.0, ""FT_catboost"": 0.0, ""ONLY_CWT_catboost"": 0.0, ""ONLY_CWT_rf"": 0.0, ""ONLY_CWT_svr"": 0.0, ""ONLY_DWT_catboost"": 0.0, ""ONLY_DWT_rf"": 0.0, ""ONLY_DWT_svr"": 0.0, ""ONLY_FT_catboost"": 0.0, ""ONLY_FT_rf"": 0.0, ""ONLY_FT_svr"": 0.0, ""NaiveSeasonal"": 0.36204693799383536, ""NaiveMovingAverage"": 0.0}}}}";;;;;;;;;
2;12;orchestrator_deterministic_v1;0.0467357109986499;81.81818181818181;0.0450716594129822;5039.785660284555;0.04507163201162;3713.8773166487154;[93130.2, 85161.9, 72440.6, 82384.8, 81450.828, 83151.625, 76231.5, 83911.1, 83812.025, 81287.9, 85070.866, 81789.2];[87099.67170578231, 83813.22647310539, 84902.0120938896, 85216.50657758806, 84080.04351100308, 86956.38513391578, 84296.5630336023, 84361.10442887884, 84658.91032532768, 84351.42213235771, 84542.86931995385, 84295.96006206308];INICIO;2024-11-30;"{""best"": {""name"": ""baseline_mean"", ""type"": ""baseline"", ""description"": ""Mean across all models for each horizon."", ""formula"": ""y_hat(h)=mean_m pred_m(h)"", ""learns_weights"": false, ""constraints"": ""none"", ""risks"": [""sensitive to outliers""], ""validation_plan"": ""rolling"", ""params"": {""method"": ""mean""}}, ""score"": 0.9303030303030303, ""aggregate"": {""MAPE"": 0.06885128834470293, ""SMAPE"": 0.06776888055987171, ""RMSE"": 6555.730510831636, ""POCID"": 69.6969696969697}, ""stability"": {""MAPE_std"": 0.021585172060351394, ""SMAPE_std"": 0.02051109367664254, ""RMSE_std"": 2045.2556459347802, ""POCID_std"": 11.338355717496789}, ""predict_debug"": {""method"": ""mean""}}";;;;;;;;;
3;12;orchestrator_deterministic_v1;0.2562660814356368;81.81818181818181;0.3080340410500464;3021.563694641227;0.3080322094243633;2598.060713580573;[7603.876, 6976.942, 6700.957, 9677.861, 8741.862, 9460.969, 10039.951, 10081.468, 10205.921, 10409.549, 11826.809, 10400.819];[7249.377028283125, 6917.94946270375, 6631.954836686875, 6778.306274115625, 6546.2111323624995, 6593.789292734375, 6587.452878275625, 6668.60517084, 6721.7635599475, 6654.0415834675005, 6822.880673231875, 6777.923544384375];INICIO;2024-11-30;"{""best"": {""name"": ""trimmed_mean_20"", ""type"": ""baseline"", ""description"": ""Trimmed mean per horizon (robust)."", ""formula"": ""trim top/bottom then mean"", ""learns_weights"": false, ""constraints"": ""trim_ratio in [0,0.4]"", ""risks"": [""too aggressive trim if few models""], ""validation_plan"": ""rolling"", ""params"": {""method"": ""trimmed_mean"", ""trim_ratio"": 0.2}}, ""score"": 0.9152136097618792, ""aggregate"": {""MAPE"": 0.2939146349760538, ""SMAPE"": 0.2545988838534232, ""RMSE"": 2769.955209725031, ""POCID"": 72.72727272727273}, ""stability"": {""MAPE_std"": 0.21989736802693083, ""SMAPE_std"": 0.15366625657548297, ""RMSE_std"": 1281.6272815769469, ""POCID_std"": 7.422696190252053}, ""predict_debug"": {""method"": ""trimmed_mean"", ""trim_ratio"": 0.2}}";;;;;;;;;
