DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
hybrid1;304003.3789982315;MS;oleodiesel;HYBRID;{'p': 2, 'd': 1, 'q': 3};12;12;27908.560120711554;0.15578851246116396;75.0;15.435655311854255;177684.5096111658;127994.69318550768;133876.73309292542;126068.76321402061;158844.94309520003;174588.32726505704;163449.30666141765;166616.4823916877;127110.57636340738;113626.3182800901;110093.86336227297;133699.85105589125
half-sarima-hybrid1;391297.3219233918;MS;oleodiesel;HYBRID;{'p': 2, 'd': 1, 'q': 3};12;12;26998.541669892955;0.13728487519733232;66.66666666666667;13.193828020460415;163085.00328416406;143970.67284282483;144261.56146656637;149357.38993007515;171181.42680342135;172631.42970849725;163449.30666141765;166616.4823916877;127110.57636340738;113626.3182800901;110093.86336227297;133699.85105589125
half-sarima_mean-hybrid1;393702.46979487856;MS;oleodiesel;HYBRID;{'p': 2, 'd': 1, 'q': 3};12;12;27164.41835763977;0.13737516938538327;66.66666666666667;13.561396446547471;159971.8341239863;140539.42640428577;141830.65288188207;147485.12236650602;171860.57825923315;175351.27873969902;163449.30666141765;166616.4823916877;127110.57636340738;113626.3182800901;110093.86336227297;133699.85105589125
hybrid-deseasonal;288472.48444562807;MS;oleodiesel;HYBRID;{'p': 11, 'd': 1, 'q': 11};12;12;19922.47683617477;0.10603954287667705;66.66666666666667;10.29218937127489;176672.43619257348;136244.75348888533;134666.39103258363;135309.53894097422;164359.24244053155;184997.43952219703;174015.99816870256;178197.87795230263;139167.78088412207;122162.34745512714;122758.48377498497;149331.85572571712
half-deseasonal-hybrid;231641.32406496032;MS;oleodiesel;HYBRID;{'p': 11, 'd': 1, 'q': 11};12;12;21310.779485249048;0.1023274583273529;75.0;9.958354015876505;160321.7617090032;139290.1540005107;140276.21568980013;147434.74583778845;173494.02253532148;178197.90921267343;174015.99816870256;178197.87795230263;139167.78088412207;122162.34745512714;122758.48377498497;149331.85572571712
