dataset,dataset_index,accept_confidence,selection_verdict,selection_margin,selection_dm_pvalue,bootstrap_reliable
ANP_MONTHLY,137,0.9,separated,0.00704,0.0175,False
ANP_MONTHLY,138,0.9,indistinguishable,0.0076,0.3631,False
ANP_MONTHLY,139,0.9,indistinguishable,0.00098,0.7422,False
ANP_MONTHLY,141,0.9,indistinguishable,0.00016,0.1281,False
ANP_MONTHLY,142,0.9,indistinguishable,0.00318,0.4963,False
ANP_MONTHLY,143,0.9,separated,0.01072,0.0892,False
ANP_MONTHLY,146,0.9,indistinguishable,0.01044,0.4983,False
ANP_MONTHLY,149,0.9,separated,0.05001,0.0046,False
ANP_MONTHLY,150,0.9,indistinguishable,0.00257,0.6897,False
ANP_MONTHLY,155,0.9,indistinguishable,0.03415,0.3237,False
ANP_MONTHLY,156,0.9,indistinguishable,0.02663,0.4933,False
ANP_MONTHLY,157,0.9,indistinguishable,0.00075,0.75,False
ANP_MONTHLY,158,0.9,indistinguishable,3e-05,0.3391,False
ANP_MONTHLY,159,0.9,indistinguishable,0.00624,0.6006,False
ANP_MONTHLY,160,0.9,separated,0.09565,0.0126,False
ANP_MONTHLY,164,0.9,indistinguishable,0.01451,0.3037,False
ANP_MONTHLY,166,0.9,indistinguishable,0.00064,0.9527,False
ANP_MONTHLY,172,0.9,indistinguishable,0.08226,0.9906,False
ANP_MONTHLY,175,0.9,separated,0.03576,0.0982,False
ANP_MONTHLY,178,0.9,indistinguishable,0.00251,0.2579,False
ANP_MONTHLY,180,0.9,indistinguishable,0.02509,0.9497,False
ANP_MONTHLY,181,0.9,indistinguishable,0.01264,0.2519,False
NN5_WEEKLY_DATASET,0,0.9,indistinguishable,0.03392,0.3468,False
NN5_WEEKLY_DATASET,3,0.9,indistinguishable,0.0215,0.731,False
NN5_WEEKLY_DATASET,6,0.9,separated,0.01104,0.0043,False
NN5_WEEKLY_DATASET,9,0.9,indistinguishable,0.00016,0.8765,False
NN5_WEEKLY_DATASET,12,0.9,indistinguishable,3e-05,0.2863,False
NN5_WEEKLY_DATASET,14,0.9,indistinguishable,0.00088,0.6362,False
NN5_WEEKLY_DATASET,17,0.9,separated,0.00465,0.0313,False
NN5_WEEKLY_DATASET,18,0.9,separated,0.00054,0.0855,False
NN5_WEEKLY_DATASET,19,0.9,indistinguishable,0.00025,0.422,False
NN5_WEEKLY_DATASET,21,0.9,indistinguishable,0.00366,0.501,False
NN5_WEEKLY_DATASET,22,0.9,indistinguishable,0.00246,0.2478,False
NN5_WEEKLY_DATASET,24,0.9,indistinguishable,0.01447,0.9426,False
NN5_WEEKLY_DATASET,25,0.9,indistinguishable,0.0006,0.8224,False
NN5_WEEKLY_DATASET,26,0.9,indistinguishable,0.06019,0.262,False
NN5_WEEKLY_DATASET,27,0.9,indistinguishable,0.00097,0.6168,False
NN5_WEEKLY_DATASET,30,0.9,indistinguishable,7e-05,0.9556,False
NN5_WEEKLY_DATASET,35,0.9,indistinguishable,0.0609,0.2068,False
NN5_WEEKLY_DATASET,37,0.9,indistinguishable,0.00114,0.403,False
NN5_WEEKLY_DATASET,39,0.9,indistinguishable,0.00182,0.9087,False
NN5_WEEKLY_DATASET,40,0.9,indistinguishable,0.07705,0.1826,False
NN5_WEEKLY_DATASET,41,0.9,indistinguishable,0.00077,0.2299,False
NN5_WEEKLY_DATASET,42,0.9,indistinguishable,0.01702,0.4148,False
NN5_WEEKLY_DATASET,44,0.9,indistinguishable,0.00028,0.5646,False
NN5_WEEKLY_DATASET,46,0.9,indistinguishable,0.00073,0.5646,False
NN5_WEEKLY_DATASET,48,0.9,indistinguishable,1e-05,0.7066,False
NN5_WEEKLY_DATASET,56,0.9,indistinguishable,0.00694,0.6164,False
NN5_WEEKLY_DATASET,58,0.9,indistinguishable,0.02583,0.6032,False
NN5_WEEKLY_DATASET,60,0.9,indistinguishable,0.02932,0.8879,False
NN5_WEEKLY_DATASET,62,0.9,indistinguishable,0.0001,0.7275,False
NN5_WEEKLY_DATASET,63,0.9,indistinguishable,2e-05,0.735,False
NN5_WEEKLY_DATASET,66,0.9,indistinguishable,0.0088,0.4278,False
NN5_WEEKLY_DATASET,67,0.9,separated,0.02838,0.0759,False
NN5_WEEKLY_DATASET,68,0.9,indistinguishable,0.00221,0.4441,False
NN5_WEEKLY_DATASET,71,0.9,indistinguishable,0.01299,0.6936,False
NN5_WEEKLY_DATASET,73,0.9,indistinguishable,0.00855,0.882,False
NN5_WEEKLY_DATASET,76,0.9,indistinguishable,0.02194,0.2178,False
NN5_WEEKLY_DATASET,77,0.9,indistinguishable,0.00014,0.4688,False
NN5_WEEKLY_DATASET,82,0.9,indistinguishable,0.02313,0.632,False
NN5_WEEKLY_DATASET,84,0.9,indistinguishable,0.04309,0.4589,False
NN5_WEEKLY_DATASET,85,1.0,indistinguishable,5e-05,0.2901,False
NN5_WEEKLY_DATASET,86,0.9,indistinguishable,0.00144,0.7153,False
NN5_WEEKLY_DATASET,90,0.9,indistinguishable,0.00045,0.7292,False
NN5_WEEKLY_DATASET,91,0.9,indistinguishable,7e-05,0.7612,False
NN5_WEEKLY_DATASET,92,0.9,indistinguishable,0.00398,0.7677,False
NN5_WEEKLY_DATASET,93,0.9,indistinguishable,0.02133,0.6407,False
NN5_WEEKLY_DATASET,95,0.9,indistinguishable,0.00122,0.7623,False
NN5_WEEKLY_DATASET,96,0.9,separated,0.00432,0.0413,False
NN5_WEEKLY_DATASET,98,0.9,indistinguishable,0.02147,0.8341,False
NN5_WEEKLY_DATASET,100,0.9,separated,0.06756,0.0209,False
NN5_WEEKLY_DATASET,107,0.9,indistinguishable,0.0065,0.4786,False
NN5_WEEKLY_DATASET,108,0.9,separated,0.00406,0.0353,False
NN5_WEEKLY_DATASET,109,0.9,separated,0.01447,0.0913,False
M4_WEEKLY_DATASET,0,0.9,separated,0.00487,0.0109,False
M4_WEEKLY_DATASET,1,0.9,indistinguishable,0.00605,0.2155,False
M4_WEEKLY_DATASET,2,0.9,indistinguishable,0.06114,0.8884,False
M4_WEEKLY_DATASET,3,0.9,indistinguishable,0.02564,0.3168,False
M4_WEEKLY_DATASET,4,0.9,indistinguishable,0.00145,0.8372,False
M4_WEEKLY_DATASET,5,0.9,indistinguishable,0.02741,0.6372,False
M4_WEEKLY_DATASET,8,0.9,indistinguishable,0.00028,0.6203,False
M4_WEEKLY_DATASET,9,0.9,indistinguishable,0.09863,0.4273,False
M4_WEEKLY_DATASET,10,0.9,separated,0.47744,0.0,False
M4_WEEKLY_DATASET,11,0.9,indistinguishable,0.01977,0.7172,False
M4_WEEKLY_DATASET,16,0.9,indistinguishable,0.01464,0.482,False
M4_WEEKLY_DATASET,19,0.9,indistinguishable,0.05648,0.2344,False
M4_WEEKLY_DATASET,21,0.9,indistinguishable,0.0004,0.1902,False
M4_WEEKLY_DATASET,23,0.9,separated,0.15094,0.0018,False
M4_WEEKLY_DATASET,24,0.9,separated,0.04525,0.0023,False
M4_WEEKLY_DATASET,29,0.9,indistinguishable,0.00213,0.7155,False
M4_WEEKLY_DATASET,32,0.9,indistinguishable,0.015,0.6038,False
M4_WEEKLY_DATASET,33,0.9,separated,0.03628,0.0719,False
M4_WEEKLY_DATASET,34,0.9,separated,0.11452,0.081,False
M4_WEEKLY_DATASET,35,0.9,indistinguishable,3e-05,0.9798,False
M4_WEEKLY_DATASET,36,0.9,separated,0.47887,0.0001,False
M4_WEEKLY_DATASET,40,0.9,separated,0.36736,0.0,False
M4_WEEKLY_DATASET,43,0.9,separated,0.54116,0.0051,False
M4_WEEKLY_DATASET,44,0.9,indistinguishable,0.00571,0.9639,False
M4_WEEKLY_DATASET,46,0.9,indistinguishable,0.09047,0.5614,False
M4_WEEKLY_DATASET,47,0.9,separated,0.0057,0.0002,False
M4_WEEKLY_DATASET,48,0.9,indistinguishable,0.00423,0.9982,False
M4_WEEKLY_DATASET,49,0.9,separated,0.09195,0.0018,False
M4_WEEKLY_DATASET,50,0.9,separated,0.06223,0.0627,False
M4_WEEKLY_DATASET,53,0.9,separated,0.12526,0.0004,False
M4_WEEKLY_DATASET,54,0.9,separated,0.50191,0.0,False
M4_WEEKLY_DATASET,58,0.9,separated,0.00877,0.0408,False
M4_WEEKLY_DATASET,59,0.9,indistinguishable,0.00026,0.467,False
M4_WEEKLY_DATASET,63,0.9,indistinguishable,0.05728,0.8933,False
M4_WEEKLY_DATASET,66,0.9,indistinguishable,0.02799,0.1518,False
M4_WEEKLY_DATASET,67,1.0,separated,0.2058,0.0067,False
M4_WEEKLY_DATASET,70,0.9,separated,0.0018,0.0005,False
M4_WEEKLY_DATASET,73,0.9,separated,0.17543,0.0279,False
M4_WEEKLY_DATASET,74,0.9,indistinguishable,0.12435,0.7469,False
M4_WEEKLY_DATASET,83,0.9,indistinguishable,0.04313,0.2371,False
M4_WEEKLY_DATASET,84,1.0,separated,0.73413,0.0013,False
M4_WEEKLY_DATASET,86,0.9,separated,0.00786,0.0105,False
M4_WEEKLY_DATASET,87,0.9,separated,0.05638,0.0199,False
M4_WEEKLY_DATASET,90,0.9,separated,0.00033,0.0592,False
M4_WEEKLY_DATASET,91,0.9,separated,0.00354,0.0458,False
M4_WEEKLY_DATASET,92,0.9,separated,0.2501,0.0,False
M4_WEEKLY_DATASET,93,0.9,separated,0.00068,0.0218,False
M4_WEEKLY_DATASET,96,0.9,separated,0.00441,0.0123,False
M4_WEEKLY_DATASET,99,0.9,separated,0.21138,0.0002,False
M4_WEEKLY_DATASET,101,0.9,separated,0.05748,0.0648,False
M4_WEEKLY_DATASET,105,0.9,separated,0.04058,0.0058,False
M4_WEEKLY_DATASET,106,1.0,separated,0.09473,0.0093,False
M4_WEEKLY_DATASET,108,0.9,separated,0.00115,0.0023,False
M4_WEEKLY_DATASET,109,1.0,separated,0.05648,0.0001,False
M4_WEEKLY_DATASET,112,0.9,indistinguishable,2e-05,0.492,False
M4_WEEKLY_DATASET,114,0.9,indistinguishable,0.00962,0.1369,False
M4_WEEKLY_DATASET,116,0.9,indistinguishable,0.0699,0.2682,False
M4_WEEKLY_DATASET,118,0.9,indistinguishable,0.00327,0.6741,False
M4_WEEKLY_DATASET,120,0.9,indistinguishable,0.01337,0.1175,False
M4_WEEKLY_DATASET,121,0.9,indistinguishable,0.00164,0.3131,False
M4_WEEKLY_DATASET,125,0.9,separated,29.83598,0.0373,False
M4_WEEKLY_DATASET,129,0.9,indistinguishable,0.0001,0.1022,False
M4_WEEKLY_DATASET,130,0.9,indistinguishable,0.0006,0.3903,False
M4_WEEKLY_DATASET,132,0.9,separated,0.00013,0.0582,False
M4_WEEKLY_DATASET,134,0.9,indistinguishable,0.03692,0.5,False
M4_WEEKLY_DATASET,135,0.8,separated,0.02171,0.0013,False
M4_WEEKLY_DATASET,137,0.9,indistinguishable,0.05322,0.7127,False
M4_WEEKLY_DATASET,138,0.9,indistinguishable,0.00998,0.5352,False
M4_WEEKLY_DATASET,141,0.9,indistinguishable,0.79136,0.1094,False
M4_WEEKLY_DATASET,142,,indistinguishable,0.00011,0.6272,False
M4_WEEKLY_DATASET,145,0.9,separated,0.02181,0.0484,False
M4_WEEKLY_DATASET,149,0.9,indistinguishable,0.00212,0.4164,False
M4_WEEKLY_DATASET,150,0.9,separated,0.04125,0.0621,False
M4_WEEKLY_DATASET,151,0.9,separated,0.4324,0.0004,False
M4_WEEKLY_DATASET,155,0.9,separated,0.02196,0.0011,False
M4_WEEKLY_DATASET,156,0.9,indistinguishable,0.00341,0.4105,False
M4_WEEKLY_DATASET,157,0.9,indistinguishable,0.001,0.6269,False
M4_WEEKLY_DATASET,158,0.9,separated,0.00015,0.0354,False
M4_WEEKLY_DATASET,159,0.9,indistinguishable,0.05686,0.6884,False
M4_WEEKLY_DATASET,161,0.8,separated,0.00398,0.0,False
M4_WEEKLY_DATASET,162,0.9,indistinguishable,0.13427,0.2986,False
M4_WEEKLY_DATASET,165,0.9,separated,0.04269,0.0301,False
M4_WEEKLY_DATASET,166,0.9,separated,0.03217,0.0005,False
M4_WEEKLY_DATASET,167,0.9,indistinguishable,0.12944,0.1351,False
M4_WEEKLY_DATASET,171,0.9,separated,0.07341,0.0048,False
M4_WEEKLY_DATASET,173,0.9,indistinguishable,0.00729,0.1108,False
M4_WEEKLY_DATASET,175,0.9,separated,0.55133,0.0589,False
