dataset,n_series_sem_confianca,n_series_total
ANP_MONTHLY,94,182
NN5_WEEKLY_DATASET,59,111
M4_WEEKLY_DATASET,178,359
ETTH1,3,7
ETTH2,5,7
ETTM1,1,7
ETTM2,4,7
