DATA;MCPM;UF;PRODUCT;MODEL;SAVED MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;145854.84155475223;MA;oleocombustivel;ARIMA;./pickle_arima_rolling/oleocombustivel/normal/MA_normal.pkl;{'p': 6, 'd': 1, 'q': 14};12;12;5758.429645460093;0.15969915831197576;41.666666666666664;-3.107802024760721;30574.800404902995;33620.462327899695;30808.14726480353;34639.27580961248;31791.00883234641;34590.902642069785;32888.75967871301;33713.15935051439;33261.39993310036;32617.342660757953;33288.64535711579;32462.596744259983;-10.328260598800021;2.887404274752106e-18;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
deseasonal;119062.3223017029;MA;oleocombustivel;ARIMA;./pickle_arima_rolling/oleocombustivel/deseasonal/MA_deseasonal.pkl;{'p': 2, 'd': 1, 'q': 7};12;12;5482.398358860807;0.15232767548823242;50.0;-2.91974752200931;31418.90846422684;32881.295932948946;31581.814483000853;33452.438274620545;32767.923029448433;32997.550630213635;33285.28536455351;32864.87420472475;33197.99047398921;33011.13867056899;33072.01136246994;33006.2002797095;-10.328260598800021;2.887404274752106e-18;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
deseasonal-log;158992.26726170405;MA;oleocombustivel;ARIMA;./pickle_arima_rolling/oleocombustivel/deseasonal_log/MA_deseasonal_log.pkl;{'p': 4, 'd': 1, 'q': 9};12;12;5495.276487363485;0.14835595463157386;33.333333333333336;-2.036870002420762;30813.93857393424;32855.92324429718;30657.06346307976;33665.29752579722;31785.136190102494;33352.571819612334;32565.70498721022;32987.83440030999;32777.59138423267;32884.960668957334;33104.49064687616;32711.032107554143;-10.404575170020813;1.8712528088791603e-18;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
deseasonal-diff;145477.22892037904;MA;oleocombustivel;ARIMA;./pickle_arima_rolling/oleocombustivel/deseasonal_diff/MA_deseasonal_diff.pkl;{'p': 2, 'd': 1, 'q': 12};12;12;5743.213875291375;0.1627944557902758;41.666666666666664;-4.605130376187933;31057.993385616952;33800.43365653817;31338.143278524076;35059.79361925853;32107.88291218284;35045.321331972526;32967.28792119799;33992.917031236;33755.430161047836;33412.414472996395;34159.76796995199;33284.49613005078;-10.282014126721089;3.758148565232989e-18;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;True
diff;147285.48191412666;MA;oleocombustivel;ARIMA;./pickle_arima_rolling/oleocombustivel/diff/MA_diff.pkl;{'p': 3, 'd': 1, 'q': 2};12;12;5818.5265997179395;0.12373935765871401;41.666666666666664;6.257872180724994;29685.362474308702;30202.411411524223;29865.885935683447;29712.28566768361;30067.069578568517;29692.9254637818;29948.501530652193;29897.799619305377;29939.75513908258;29759.844984794177;29922.163336659756;29750.67688132242;-10.282014126721089;3.758148565232989e-18;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;True
log;98079.86501352281;MA;oleocombustivel;ARIMA;./pickle_arima_rolling/oleocombustivel/log/MA_log.pkl;{'p': 6, 'd': 1, 'q': 5};12;12;5416.717561790591;0.14824548109522287;58.333333333333336;-2.6574839402643056;31706.157983694975;32761.090060015955;31430.86735991714;33440.505007698855;32361.263713744072;33011.29457002491;33002.45478868991;32721.783389253094;33287.810882481775;32759.68678156962;33153.42672338883;32898.26451706132;-10.404575170020813;1.8712528088791603e-18;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
log-diff;125814.3697123661;MA;oleocombustivel;ARIMA;./pickle_arima_rolling/oleocombustivel/log_diff/MA_log_diff.pkl;{'p': 5, 'd': 1, 'q': 12};12;12;5792.000545564599;0.16361066722706105;50.0;-4.239626151982382;30113.232051503863;33616.36042781947;30728.972112683292;35842.04710248392;32006.244535937738;34581.772030084336;33297.82528145338;32846.869590626324;34614.83858993319;32759.391316708887;33993.93603580627;34182.80295549761;-10.343971106223135;2.640430808548637e-18;10;386;-3.447405233596701;-2.8690569369014605;-2.5707743450830893;True
