DATA;MCPM;UF;PRODUCT;MODEL;SIMILAR-STATES;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12
normal;11741478.849032564;PE;gasolinac;VARMA;['PB', 'AL', 'SE', 'PE'];(8, 2);12;12;505640.62563736836;3.6262341476338924;50.0;11.446625389166643;-112600.54703897514;150259.71705195608;810695.4386596556;722028.2098758606;-387459.2458664123;-541476.7872051039;791699.8591892147;549851.4726475504;83838.30397945226;272639.04868049466;-605849.6960195426;-442376.28344794107
serie-desnormalizada;224342.89797212507;PE;gasolinac;VARMA;['CE', 'GO', 'DF', 'PE'];(11, 2);12;12;8872.282062928016;0.06135558542177022;41.666666666666664;4.884737191063252;117932.33891220827;120510.25131765469;116856.73658480456;113536.178156026;115419.69187892733;112402.31112783292;117735.55722679255;116193.07050115617;109245.4961750569;122077.68708517533;114528.8484246106;110494.12266816938
