dataset,regressor,mape,smape,rmse,pocid,n_series,n_series_mape
ANP_MONTHLY,ARIMA,0.4278571733629276,0.23190673358189623,7015.657840452714,62.38761238761239,182,177
ANP_MONTHLY,ETS,0.3951132952639677,0.216603863334551,5813.591986413797,64.68531468531468,182,177
ANP_MONTHLY,THETA,0.4010920457053107,0.2153553309198896,5832.4869695346,63.13686313686314,182,177
ANP_MONTHLY,rf,0.4780278671734538,0.23817080828208628,7272.655071543408,57.44255744255745,182,177
ANP_MONTHLY,catboost,0.5023333237029733,0.26178284132024,8474.589654692147,57.34265734265734,182,177
ANP_MONTHLY,CWT_rf,0.4790096852679408,0.21759732996867154,6553.212254742777,58.39160839160839,182,177
ANP_MONTHLY,DWT_rf,0.4540848832699538,0.2228632629809977,6303.265651428443,58.79120879120879,182,177
ANP_MONTHLY,FT_rf,0.4433346641415738,0.22077557025543598,6083.457718695263,59.84015984015985,182,177
ANP_MONTHLY,CWT_catboost,0.4125515589523085,0.23331177685360655,7016.533606616891,56.64335664335665,182,177
ANP_MONTHLY,DWT_catboost,0.45052380999828734,0.22412522761370288,6614.23973208892,58.14185814185815,182,177
ANP_MONTHLY,FT_catboost,0.2680335013845384,0.2249082022236124,6352.115362319853,58.04195804195803,182,177
ANP_MONTHLY,ONLY_CWT_catboost,0.26155784573900537,0.23407750716766196,6819.890761237699,56.8931068931069,182,177
ANP_MONTHLY,ONLY_CWT_rf,0.459286048424808,0.22872466400691188,6631.124863680099,58.14185814185815,182,177
ANP_MONTHLY,ONLY_DWT_catboost,0.31105514095203207,0.23087620182517216,6906.045249349092,57.992007992008,182,177
ANP_MONTHLY,ONLY_DWT_rf,0.5012126214859158,0.21883445727110623,6337.642310209236,58.391608391608386,182,177
ANP_MONTHLY,ONLY_FT_catboost,0.48998840208106953,0.25274024496438907,8585.081479721925,50.44955044955046,182,177
ANP_MONTHLY,ONLY_FT_rf,0.41546595565458644,0.24977814138256788,8376.797817266935,52.09790209790211,182,177
ANP_MONTHLY,NaiveSeasonal,0.6532215526506028,0.28150821787392705,8875.195832287154,61.2887112887113,182,177
ANP_MONTHLY,NaiveMovingAverage,0.43282129039465517,0.24608402714140548,8090.038613496313,58.09190809190811,182,177
NN5_WEEKLY_DATASET,ARIMA,0.14367347653625095,0.14350275419525332,22.373871291682615,37.58043758043758,111,111
