DATA;MCPM;UF;PRODUCT;MODEL;SAVED MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;14338.373995027734;PI;etanolhidratado;ARIMA;./pickle_arima_rolling/etanolhidratado/normal/PI_normal.pkl;{'p': 3, 'd': 1, 'q': 3};12;12;792.127685745337;0.12921184148401435;58.333333333333336;4.008044570758075;4718.2048920228635;4783.831370308207;4977.384159803123;5077.685030703824;5155.327773073062;5221.245443199089;5257.833723340712;5288.469916078271;5289.642511133317;5310.078120415751;5313.3980235270365;5342.301323558531;-3.5880706446103883;0.005993229862264306;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
deseasonal;12945.92681808038;PI;etanolhidratado;ARIMA;./pickle_arima_rolling/etanolhidratado/deseasonal/PI_deseasonal.pkl;{'p': 9, 'd': 1, 'q': 10};12;12;893.1972001216221;0.13393765750470413;66.66666666666667;-1.8823185402971467;4057.570969320665;3535.9587988480816;4186.484859973754;4313.390999520618;5492.252075232972;5978.671592571868;5809.65718703383;7304.286601286858;6343.411158224288;7214.192656573344;6622.720865987701;4665.079640565865;-6.642785909562058;5.357576071799611e-09;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
deseasonal-log;13489.636587560914;PI;etanolhidratado;ARIMA;./pickle_arima_rolling/etanolhidratado/deseasonal_log/PI_deseasonal_log.pkl;{'p': 10, 'd': 1, 'q': 11};12;12;930.4968772718681;0.1415380874806562;66.66666666666667;0.02493405322773571;3925.247363551378;3682.080258379415;4231.914119612162;4937.655297045067;5701.848809138664;5933.817644903296;5634.889247980291;6566.747358795827;5778.728611095283;7056.0455170123305;6493.625858665183;4354.464051234697;-6.648432084635405;5.194050909070339e-09;1;395;-3.447014064067954;-2.8688850015516016;-2.5706826870693797;True
deseasonal-diff;15146.57115529208;PI;etanolhidratado;ARIMA;./pickle_arima_rolling/etanolhidratado/deseasonal_diff/PI_deseasonal_diff.pkl;{'p': 12, 'd': 0, 'q': 6};12;12;1044.7455279881444;0.14345592687264005;66.66666666666667;3.260473619910953;3870.7990252725886;3631.307534002422;4432.836695010708;4686.630550273062;5916.80949591575;6066.515966472022;5682.961326581395;6389.4062379976685;5484.558461985408;6221.427071288344;6012.043875663312;3820.8920998903673;-8.487390080332615;1.3417999381733304e-13;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
diff;26185.047928243574;PI;etanolhidratado;ARIMA;./pickle_arima_rolling/etanolhidratado/diff/PI_diff.pkl;{'p': 4, 'd': 1, 'q': 3};12;12;1444.5688906564396;0.1893424195470397;58.333333333333336;20.268387917844912;4426.728819862977;4316.590511032221;4312.33402800371;4309.995094022256;4276.944698674288;4280.291607149813;4246.818198384508;4247.001748644283;4220.911679918532;4214.608854889776;4229.539528642184;4196.106640783935;-8.624987781046602;5.963728775635028e-14;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;True
log;15502.420247729044;PI;etanolhidratado;ARIMA;./pickle_arima_rolling/etanolhidratado/log/PI_log.pkl;{'p': 7, 'd': 1, 'q': 3};12;12;1069.0864677590973;0.14975277143495602;66.66666666666667;13.83558502855541;4366.111691574111;4349.275003173679;4451.798548009582;4537.751286418144;4564.807252127754;4613.005299670827;4671.650590970371;4695.38981018197;4745.338112073892;4777.0934211787135;4804.560216466353;4838.225133154732;-3.593186281908541;0.005892635499688793;12;384;-3.4474946672686824;-2.8690962436986855;-2.570795299750434;True
log-diff;31960.48060348655;PI;etanolhidratado;ARIMA;./pickle_arima_rolling/etanolhidratado/log_diff/PI_log_diff.pkl;{'p': 3, 'd': 1, 'q': 2};12;12;1470.3500864159653;0.19210312231528362;50.0;20.689398244436237;4409.247823490368;4322.041977964468;4313.326081957498;4265.648905129286;4293.635698015983;4253.93059412569;4241.161592942723;4224.8017158905295;4181.819957263482;4167.842555063469;4184.625809458254;4149.023906355731;-8.669448120547507;4.5885614286132385e-14;11;385;-3.4474498334928687;-2.8690765390453703;-2.570784795075055;True
