comparates,orchestrator,FFORMA,ADE,median,mean,dba
orchestrator,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0029
5 / 0 / 2
0.4094 / 0.3631 / 0.2275
0.6875","-0.0247
1 / 0 / 6
0.0170 / 0.0277 / 0.9553
0.1562","-0.0372
1 / 3 / 3
0.0000 / 0.2878 / 0.7122
0.2500","-1.5780
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-1.5813
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
FFORMA,"0.0029
2 / 0 / 5
0.2276 / 0.3647 / 0.4077
0.6875",-,"-0.0218
1 / 0 / 6
0.0015 / 0.1898 / 0.8087
0.1094","-0.0343
3 / 0 / 4
0.1201 / 0.0184 / 0.8615
0.4688","-1.5751
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.5784
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
ADE,"0.0247
6 / 0 / 1
0.9513 / 0.0307 / 0.0180
0.1562","0.0218
6 / 0 / 1
0.8085 / 0.1896 / 0.0019
0.1094",-,"-0.0125
4 / 0 / 3
0.2737 / 0.2952 / 0.4311
0.8125","-1.5532
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.5566
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
median,"0.0372
3 / 3 / 1
0.7065 / 0.2935 / 0.0000
0.2500","0.0343
4 / 0 / 3
0.8604 / 0.0185 / 0.1211
0.4688","0.0125
3 / 0 / 4
0.4290 / 0.2896 / 0.2814
0.8125",-,"-1.5407
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156","-1.5441
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
mean,"1.5780
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5751
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5532
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.5407
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156",-,"-0.0033
2 / 1 / 4
0.0000 / 0.8947 / 0.1053
0.4062"
dba,"1.5813
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.5784
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.5566
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.5441
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","0.0033
4 / 1 / 2
0.1050 / 0.8950 / 0.0000
0.4062","If in bold, then
p-value < 0.05"
