train_range;test_range;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;MCPM;MASE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
1990-01_2023-02;2023-03_2024-02;PI;etanolhidratado;ARIMA;(9, 2, 7);12;12;1824.6450437609844;0.2593243000009378;72.72727272727273;28.29992912672638;21755.984455580758;0.6400375106389998;4323.029584174181;3795.7249735980517;3889.825697722147;3647.066582058884;3935.163604797839;3919.6919542755986;3900.714068730004;3905.668694254587;3665.2642805984265;4131.111547313564;3808.9633249124036;3190.313968363652;-5.400638198087451;3.376765121532337e-06;5;391;-3.4471856790801514;-2.868960436182993;-2.5707229006220524;True
1990-01_2022-02;2022-03_2023-02;PI;etanolhidratado;ARIMA;(9, 2, 7);12;12;1888.3378750450845;0.19462542681119135;45.45454545454545;13.361727376132041;44764.152605358904;inf;4977.8792615837265;6644.814019114903;4928.703716546458;5433.5915605541;5435.964834353776;4457.281081131629;5661.688075293622;5162.01910522535;5580.787340423165;5748.644882823;4721.346041023872;4877.536944499495;-6.578628671560986;7.612865955243208e-09;1;383;-3.44753973676872;-2.8691160516676844;-2.57080585953957;True
1990-01_2021-02;2021-03_2022-02;PI;etanolhidratado;ARIMA;(9, 2, 7);12;12;1505.5160173796805;0.203997814004473;36.36363636363637;-12.614668070600443;41623.635394174744;0.6522009197119283;7129.821040976214;7141.35214718232;7259.456478250927;7396.472488350628;7598.505871838069;7795.639856393451;7818.949882158411;8078.84310561104;7973.369564165874;8335.548710472394;8239.560447509824;7768.943043635571;-6.584613231920507;7.3679426388399274e-09;1;371;-3.4480996560263386;-2.8693621113224137;-2.570937038891028;True
1990-01_2020-02;2020-03_2021-02;PI;etanolhidratado;ARIMA;(9, 2, 7);12;12;3089.71839951532;0.6047867316901125;63.63636363636363;-50.67383656976826;49469.10713484209;1.052533511680351;8270.358462018861;7999.331530144971;8353.770648081449;8543.195941550819;7721.129795168828;8572.657739013142;9173.649054161991;8841.634979592263;8334.672441209372;9161.348586182703;9477.334594494107;8937.59083741212;-5.540246881480684;1.7081225255417977e-06;2;358;-3.448748905151901;-2.8696473721448728;-2.5710891239349585;True
1990-01_2019-02;2019-03_2020-02;PI;etanolhidratado;ARIMA;(9, 2, 7);12;12;953.2628565167732;0.08846605482803051;90.9090909090909;5.9720237940398535;3789.364133149937;0.2696739730164183;6963.454008816916;7161.838116274163;7081.858535543763;7035.908622590865;7537.0317780257565;7576.291370852886;7217.820481176429;7546.179229128741;7406.608318313824;7654.927557302335;7627.600107851228;7227.112030929952;-5.243495137724381;7.161574619439663e-06;2;346;-3.4493918438232525;-2.8699298018856574;-2.5712397066390458;True
1990-01_2018-02;2018-03_2019-02;PI;etanolhidratado;ARIMA;(9, 2, 7);12;12;2223.085751198417;0.26141666059485985;54.54545454545455;25.300239861923302;44012.44442937684;0.5745670797868422;4340.649390947274;4469.553781116629;4382.868729751144;4362.827865790019;4881.5272313589485;5047.25958823641;4772.822838983861;5150.810399403001;5084.762208716658;5264.254053265218;5314.430516826462;5183.821400136496;-5.084067465991569;1.509086585449534e-05;2;334;-3.450081345901191;-2.870232621465807;-2.571401168202517;True
1990-01_2017-02;2017-03_2018-02;PI;etanolhidratado;ARIMA;(9, 2, 7);12;12;1044.8047044889781;0.2026230231648942;36.36363636363637;19.354177168881765;28887.216021266242;0.2820930491151024;2722.474671076142;2596.4350543090936;2444.874253504552;2681.9099548304744;2851.8330438187986;2801.8707023345073;2762.943320643498;2943.1244419301033;2647.4098175170666;3047.3864154064645;2893.3153128871763;2478.9587954534977;-5.0128592043817495;2.092872827501518e-05;2;322;-3.4508226600665037;-2.870558121868621;-2.571574731684734;True
1990-01_2016-02;2016-03_2017-02;PI;etanolhidratado;ARIMA;(9, 2, 7);12;12;252.63160320541397;0.07987740396198235;63.63636363636363;-0.41502248522422336;3987.911859530739;0.07358710290974471;2786.2193929992486;2750.8150853846814;2725.436171237906;2875.3184404655217;3010.2697116961567;3022.058209658518;3029.584818429844;3131.5995959725633;2844.9575975384514;3338.7389809804154;3208.566690264573;2744.25133117876;-4.910303864601422;3.329908723638472e-05;2;310;-3.451621854687657;-2.870908950689806;-2.571761810613944;True
1990-01_2015-02;2015-03_2016-02;PI;etanolhidratado;ARIMA;(9, 2, 7);12;12;619.0743445992367;0.1544821166475442;63.63636363636363;-5.795065230390265;9791.736924031135;0.1743229864620197;2462.869709555247;2798.6620552903687;3097.623423587656;3006.4074916340246;3344.971387745753;3463.3152878052338;3712.8221365456657;3573.8967627842503;3588.711166680782;4318.481598740255;3847.3993002951697;3799.3721784426275;-4.584905384460434;0.00013770239760142305;2;298;-3.4524859843440754;-2.871288184343229;-2.571964047565425;True
1990-01_2014-02;2014-03_2015-02;PI;etanolhidratado;ARIMA;(9, 2, 7);12;12;507.7893784883585;0.2442603684574772;54.54545454545455;-16.47953492101592;10053.026814697121;0.10563599176288044;1542.5628803141524;1924.1737929086298;2014.4407041414909;1921.8202774556985;2226.409429001321;2505.293124587789;2451.382986626823;2376.4410256988144;2446.744261014269;3006.188899357648;2604.6575244945243;2385.708404545864;-4.5974749934746715;0.0001305609545429287;2;286;-3.4534232986669546;-2.8716994185534745;-2.5721833625116144;True
