DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;52783.66607316629;TO;oleodiesel;ARIMA;{'p': 11, 'd': 1, 'q': 11};12;12;4869.432523248013;0.03327090171489463;75.0;0.7187997716394117;107636.5249201641;101198.90833400309;101480.31717455089;107650.8000629166;113383.82141902187;111787.07862469842;108613.8326334465;112740.15934288749;103343.13886689917;94747.87047894075;91146.41746861182;99571.10783403981;-4.9531498585236;2.7452743495986122e-05;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
deseasonal;39534.64444564962;TO;oleodiesel;ARIMA;{'p': 10, 'd': 1, 'q': 4};12;12;5466.333691784214;0.035708354826038353;83.33333333333333;1.0436811067614233;104126.70920716625;99343.81400296405;101009.40265254251;104942.08863886207;110741.25649578695;111739.87704255818;109396.66711270245;110792.55209980853;104982.43083317547;98428.72020335663;95349.76831678023;98345.47331544675;-4.168508315294505;0.0007446142251015881;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;True
deseasonal-log;40368.89167812833;TO;oleodiesel;ARIMA;{'p': 10, 'd': 1, 'q': 3};12;12;5581.901644716039;0.035056789432616454;83.33333333333333;1.35259485456652;103506.1754560881;99182.34413119734;101094.66873826909;105014.58113783762;111172.34364836314;111445.5760068597;108789.40259804192;110637.20522256642;104473.49635570381;97299.5175072007;94265.42254448445;98418.37999312993;-4.143519772184854;0.0008199654496929638;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;True
deseasonal-diff;88271.21875696602;TO;oleodiesel;ARIMA;{'p': 10, 'd': 1, 'q': 6};12;12;12158.15953827337;0.10001418657396309;83.33333333333333;-7.10251842151529;107156.51935596166;101608.85550636912;103859.26307278583;108176.47790123259;114795.02935860334;117558.35113297724;116876.23099966421;121258.63882351664;118269.01994354281;112587.45493085451;112121.01643154219;117767.4006173042;-7.31916579710743;1.2068505978142124e-10;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
diff;123386.52533408673;TO;oleodiesel;ARIMA;{'p': 9, 'd': 0, 'q': 8};12;12;11355.1557070861;0.09403050489119529;75.0;-6.98624269933431;106688.3494981307;102376.61548856366;107257.31544811279;111741.52168627529;117399.07715027266;119502.175928647;116573.2896380151;120159.80208467113;112196.83872436149;109868.52435885569;110656.14693889552;116146.76673977448;-6.725809054515515;3.3921202297354644e-09;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
log;39505.151086984304;TO;oleodiesel;ARIMA;{'p': 11, 'd': 1, 'q': 10};12;12;5461.212725283056;0.03888847389575253;83.33333333333333;2.2257526489850044;105951.11852641797;99188.62930139859;101719.27919605104;105301.27091830703;110237.94859419785;111874.5963640953;103932.6170484151;109722.36514202793;102091.17494603057;92708.3033254501;92488.59440271056;99060.69931491719;-5.000227471037153;2.2170160871912257e-05;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
log-diff;267929.655542921;TO;oleodiesel;ARIMA;{'p': 8, 'd': 0, 'q': 5};12;12;14803.97353941818;0.12965450937419296;58.333333333333336;-9.84491388594404;102617.87037633911;105206.05784735353;110788.82049200113;115994.98085070515;121357.25416236316;122669.5408627824;120598.39274700818;118864.18615478375;118780.76764687193;114933.59499051461;115718.64706001073;119123.42995498415;-6.648307846676005;5.197595538049912e-09;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
