DATA;MCPM;UF;PRODUCT;MODEL;PARAMS;WINDOW;HORIZON;RMSE;MAPE;POCID;PBE;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;Test Statistic;p-value;Lags Used;Observations Used;Critical Value (1%);Critical Value (5%);Critical Value (10%);Stationary
normal;898850.4366778025;SP;oleodiesel;ARIMA;{'p': 13, 'd': 1, 'q': 4};12;12;82810.66086393392;0.0668751193923465;75.0;6.088264844978539;1038804.0945878064;1062313.2890456084;1147247.309923124;1108990.4459241803;1167445.9082528553;1186511.69370666;1130391.1535700366;1145324.3604935268;1060732.5210144012;995326.4710328636;898272.2592337895;915004.34390828;-4.820575875509397;4.966539518614435e-05;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
deseasonal;925227.1059743819;SP;oleodiesel;ARIMA;{'p': 10, 'd': 1, 'q': 6};12;12;85250.8931837424;0.06388845647259121;75.0;6.56581652616268;1027925.6161720436;1009678.059477956;1076308.4570072393;1091968.1210583076;1126835.6151691906;1190341.257478055;1142440.1492688395;1157155.3275291026;1091790.9335954369;995874.1571705183;931153.6230302933;949516.4850380946;-5.350889220852362;4.291856542604756e-06;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;True
deseasonal-log;1293472.3431240255;SP;oleodiesel;ARIMA;{'p': 10, 'd': 1, 'q': 2};12;12;89422.66219951915;0.0714431188123419;66.66666666666667;6.959294257381904;1033682.6968039323;1037475.0498761632;1092231.4989791575;1098690.2549814265;1136808.1040527893;1180790.93647706;1134864.078060473;1148255.8399181385;1078878.5267679533;986051.6238763911;903489.0457389677;905903.6848180911;-5.357885911152472;4.149935427987422e-06;15;381;-3.4476305904172904;-2.869155980820355;-2.570827146203181;True
deseasonal-diff;1055225.0029095346;SP;oleodiesel;ARIMA;{'p': 13, 'd': 1, 'q': 2};12;12;72987.7473927;0.05495460779099854;66.66666666666667;5.348055875672445;1031624.1011986383;1035493.9850958621;1106208.7228301903;1112631.3021651255;1156227.5958623814;1207301.1541123078;1157238.439703338;1175224.43805344;1106746.8280801284;1008808.6563165707;929304.2428385855;930887.788821403;-7.679735726890228;1.5151283603099977e-11;16;380;-3.4476763783532585;-2.869176103659426;-2.570837873961219;True
diff;875564.9314032343;SP;oleodiesel;ARIMA;{'p': 14, 'd': 0, 'q': 4};12;12;80678.02630980934;0.06294606090580701;75.0;6.0873535492250825;1022588.0321247415;1032665.6558178036;1112602.071681936;1088110.2013296746;1179340.373440559;1225586.0258981686;1167799.4687137043;1173225.7363339725;1061832.149333673;990569.5427847761;898711.0951001688;903458.2530409177;-6.710645491310914;3.688176565840182e-09;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
log;939208.9827467736;SP;oleodiesel;ARIMA;{'p': 12, 'd': 1, 'q': 4};12;12;86514.92878071796;0.07091543320145935;75.0;6.5961126313181655;1033336.1550347443;1055733.7325085863;1126037.126149353;1096336.7194267819;1154429.3878802313;1186488.775376404;1138502.8450624507;1139661.6314150766;1064478.6174628085;982478.6070106501;894681.8052162819;914674.9119146632;-4.819617567532763;4.9876231407244585e-05;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
log-diff;884816.5595159017;SP;oleodiesel;ARIMA;{'p': 13, 'd': 0, 'q': 4};12;12;81519.02111876136;0.06647682118654118;75.0;6.069051283306361;1040129.6042141506;1060047.4395583586;1143615.650123477;1100666.974546268;1157442.2327398525;1187128.2570090226;1137010.5915853956;1159695.4282359115;1072549.3562870983;993848.5731056086;894400.791524529;912459.2571168593;-6.467812012366241;1.3910880264464757e-08;17;379;-3.4477224095888497;-2.869196333125208;-2.5708486586002604;True
