comparates,median,FFORMA,ADE,orchestrator_v3,mean,dba
median,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0220
2 / 0 / 5
0.1013 / 0.0150 / 0.8837
0.1562","-0.0446
3 / 0 / 4
0.0550 / 0.0050 / 0.9400
0.2188","-0.5382
4 / 0 / 3
0.0000 / 0.2884 / 0.7116
0.5781","-1.5382
0 / 0 / 7
0.0000 / 0.0017 / 0.9983
0.0156","-1.5442
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
FFORMA,"0.0220
5 / 0 / 2
0.8831 / 0.0161 / 0.1008
0.1562",-,"-0.0226
3 / 0 / 4
0.0000 / 0.4356 / 0.5644
0.2188","-0.5162
3 / 0 / 4
0.2278 / 0.0225 / 0.7498
0.5781","-1.5162
0 / 0 / 7
0.0000 / 0.0014 / 0.9986
0.0156","-1.5222
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
ADE,"0.0446
4 / 0 / 3
0.9414 / 0.0048 / 0.0538
0.2188","0.0226
4 / 0 / 3
0.5689 / 0.4311 / 0.0000
0.2188",-,"-0.4935
3 / 0 / 4
0.4134 / 0.0117 / 0.5749
0.8125","-1.4936
0 / 0 / 7
0.0000 / 0.0015 / 0.9985
0.0156","-1.4996
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
orchestrator_v3,"0.5382
3 / 0 / 4
0.7079 / 0.2921 / 0.0000
0.5781","0.5162
4 / 0 / 3
0.7505 / 0.0211 / 0.2284
0.5781","0.4935
4 / 0 / 3
0.5717 / 0.0111 / 0.4172
0.8125",-,"-1.0000
1 / 1 / 5
0.0000 / 0.0878 / 0.9122
0.0511","-1.0060
1 / 1 / 5
0.0000 / 0.0164 / 0.9836
0.0511"
mean,"1.5382
7 / 0 / 0
0.9984 / 0.0016 / 0.0000
0.0156","1.5162
7 / 0 / 0
0.9985 / 0.0015 / 0.0000
0.0156","1.4936
7 / 0 / 0
0.9981 / 0.0019 / 0.0000
0.0156","1.0000
5 / 1 / 1
0.9102 / 0.0898 / 0.0000
0.0511",-,"-0.0060
4 / 2 / 1
0.0000 / 0.8958 / 0.1042
0.3438"
dba,"1.5442
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","1.5222
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.4996
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","1.0060
5 / 1 / 1
0.9827 / 0.0173 / 0.0000
0.0511","0.0060
1 / 2 / 4
0.1050 / 0.8950 / 0.0000
0.3438","If in bold, then
p-value < 0.05"
