serie,CatBoost (Original + CWT),Mediana,FFORMA,ADE,CREST
ETTH2_0,0.1247167755337374,0.1285787789793804,0.1013705201502554,0.1004755577678702,0.1310358756917942
ETTH2_1,0.1203312581774913,0.1394895409591782,0.1739332379814883,0.1892302642038156,0.1394895409591782
ETTH2_2,0.1044826524002682,0.1063627010916494,0.0819029171312481,0.0809723966533517,0.1031472838433123
ETTH2_3,0.1172934331994327,0.1285005994053049,0.183382280573121,0.1959184702466909,0.114359807790957
ETTH2_4,0.0722977080146479,0.0792792039205275,0.1647982998564129,0.242507368650721,0.0792792039205275
ETTH2_5,0.6488746293283096,0.6525144029848976,0.6816308934655062,0.7451120518692352,0.6525144029848976
ETTH2_6,0.0677044482116426,0.035925344260303,0.0376754303682247,0.0288211589257539,0.035925344260303
