comparates,Random Forest (CWT),CREST,Mediana,FFORMA,ADE
Random Forest (CWT),"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0180
1 / 0 / 6
0.0000 / 0.3691 / 0.6309
0.0312","-0.0506
0 / 0 / 7
0.0000 / 0.0071 / 0.9929
0.0156","-0.0904
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-0.1855
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
CREST,"0.0180
6 / 0 / 1
0.6312 / 0.3688 / 0.0000
0.0312",-,"-0.0326
0 / 0 / 7
0.0000 / 0.0997 / 0.9003
0.0156","-0.0725
0 / 0 / 7
0.0000 / 0.0049 / 0.9951
0.0156","-0.1675
0 / 0 / 7
0.0000 / 0.0001 / 0.9999
0.0156"
Mediana,"0.0506
7 / 0 / 0
0.9923 / 0.0077 / 0.0000
0.0156","0.0326
7 / 0 / 0
0.9033 / 0.0967 / 0.0000
0.0156",-,"-0.0399
1 / 0 / 6
0.0000 / 0.0590 / 0.9410
0.0469","-0.1349
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156"
FFORMA,"0.0904
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","0.0725
7 / 0 / 0
0.9946 / 0.0054 / 0.0000
0.0156","0.0399
6 / 0 / 1
0.9426 / 0.0574 / 0.0000
0.0469",-,"-0.0950
0 / 0 / 7
0.0000 / 0.0003 / 0.9997
0.0156"
ADE,"0.1855
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","0.1675
7 / 0 / 0
1.0000 / 0.0000 / 0.0000
0.0156","0.1349
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","0.0950
7 / 0 / 0
0.9997 / 0.0003 / 0.0000
0.0156","If in bold, then
p-value < 0.05"
