comparates,Random Forest (DWT),CREST,FFORMA,ADE,Mediana
Random Forest (DWT),"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0862
1 / 0 / 6
0.0029 / 0.0003 / 0.9968
0.0312","-0.0906
0 / 0 / 7
0.0000 / 0.0016 / 0.9984
0.0156","-0.1125
0 / 0 / 7
0.0000 / 0.0000 / 1.0000
0.0156","-0.1249
1 / 0 / 6
0.0000 / 0.0070 / 0.9930
0.0312"
CREST,"0.0862
6 / 0 / 1
0.9968 / 0.0003 / 0.0028
0.0312",-,"-0.0045
3 / 0 / 4
0.5396 / 0.0791 / 0.3813
0.9375","-0.0263
2 / 0 / 5
0.0019 / 0.2455 / 0.7526
0.1094","-0.0388
2 / 0 / 5
0.0012 / 0.5296 / 0.4691
0.2969"
FFORMA,"0.0906
7 / 0 / 0
0.9984 / 0.0016 / 0.0000
0.0156","0.0045
4 / 0 / 3
0.3847 / 0.0750 / 0.5402
0.9375",-,"-0.0218
1 / 0 / 6
0.0017 / 0.1902 / 0.8081
0.1094","-0.0343
3 / 0 / 4
0.1197 / 0.0193 / 0.8610
0.4688"
ADE,"0.1125
7 / 0 / 0
0.9999 / 0.0001 / 0.0000
0.0156","0.0263
5 / 0 / 2
0.7499 / 0.2482 / 0.0019
0.1094","0.0218
6 / 0 / 1
0.8063 / 0.1920 / 0.0017
0.1094",-,"-0.0125
4 / 0 / 3
0.2754 / 0.2970 / 0.4276
0.8125"
Mediana,"0.1249
6 / 0 / 1
0.9926 / 0.0074 / 0.0000
0.0312","0.0388
5 / 0 / 2
0.4718 / 0.5264 / 0.0018
0.2969","0.0343
4 / 0 / 3
0.8586 / 0.0190 / 0.1224
0.4688","0.0125
3 / 0 / 4
0.4303 / 0.2933 / 0.2764
0.8125","If in bold, then
p-value < 0.05"
