serie,Theta,Mediana,FFORMA,ADE,CREST
ANP_MONTHLY_0,0.3333415499134822,0.3757924839550714,0.3144814218316754,0.3101950051135582,0.3377401935342505
ANP_MONTHLY_1,0.1662699337414584,0.0936574744102735,0.1096459374540972,0.1037873424195655,0.1566219068398975
ANP_MONTHLY_2,0.0292831534871438,0.0487253056436421,0.0434709529262004,0.0443742261927294,0.0298165239566226
ANP_MONTHLY_3,0.3937002167926589,0.3023369308714932,0.3206682101668563,0.3047751540131569,0.326974042513407
ANP_MONTHLY_4,0.056448287380675,0.0472509152449401,0.0505276765122073,0.0503608519261009,0.0554574084768099
ANP_MONTHLY_5,0.2084896222256757,0.2077029886866983,0.1923997197692864,0.193119764510762,0.2077029886866983
ANP_MONTHLY_6,0.5737215119639311,0.4601415519057947,0.482432119245433,0.459718382065428,0.5165176940007322
ANP_MONTHLY_7,0.1756741812871594,0.174381710467311,0.1755839589323636,0.1747108466692892,0.179748381609737
ANP_MONTHLY_8,0.472505401463227,0.5178248187637454,0.4951220676284548,0.4476384870399312,0.5178248187637454
ANP_MONTHLY_9,0.0280966423607414,0.0522515901237967,0.0457546967574588,0.0498496040556193,0.0310589985168487
ANP_MONTHLY_10,0.2563800285959129,0.280497680566679,0.2717480959100071,0.2777659585324059,0.2671263303046235
ANP_MONTHLY_11,0.633460665258348,0.6710819544405582,0.6519287046170542,0.6329132895936584,0.6751496520874638
ANP_MONTHLY_12,0.9741606750707148,1.1712945889793904,1.2006045703932045,1.2422053426458022,1.1712945889793904
ANP_MONTHLY_13,0.2157999619390173,0.2197569727162139,0.2117128172759915,0.2226574457578302,0.2183511315785136
ANP_MONTHLY_14,0.0492085718441813,0.0457016158367836,0.045777614032634,0.0464380804863084,0.0465690166555747
ANP_MONTHLY_15,0.0470269457963893,0.0489383755634974,0.049023042658958,0.0504127903223937,0.0469149284201095
ANP_MONTHLY_16,0.1625161232759934,0.1977817243241898,0.1810186172737074,0.1870496370296615,0.1765543922163827
ANP_MONTHLY_17,0.0832722419013572,0.1423669449235145,0.1270092717284631,0.1387148597860504,0.1498310309282669
ANP_MONTHLY_18,1.360302521086818,1.431235658678295,1.402927422203006,1.3802702683463204,1.431235658678295
ANP_MONTHLY_19,0.2458450546922722,0.2120664451713738,0.2174280536478333,0.2111579155538016,0.2210951377376384
ANP_MONTHLY_20,0.1035837718355136,0.1007808893884281,0.0871775609719118,0.0801793976157324,0.121520810155854
ANP_MONTHLY_21,0.0356963216393008,0.0361142169133127,0.0307180607292147,0.0350281946028068,0.032215943187125
ANP_MONTHLY_22,0.3027229472992559,0.2916927503203309,0.29115347614207,0.2896601264465647,0.2921382896545347
ANP_MONTHLY_23,0.3136487536304482,0.2826587837397311,0.2911537119995364,0.2894869801473825,0.2673788974563772
ANP_MONTHLY_24,0.0460413460718264,0.0450462122139628,0.0433759591527602,0.0431799405604367,0.0428679450718548
ANP_MONTHLY_25,0.1786370348584609,0.1657169676184906,0.1648049274924119,0.1633850846803974,0.1674094247189606
ANP_MONTHLY_26,0.4116051674583058,0.4222683999702745,0.4269563098853808,0.4688207466110376,0.4794282275828871
ANP_MONTHLY_27,0.3689779339392161,0.3543383567819758,0.3673781610014373,0.3712709364966144,0.3691443221050546
ANP_MONTHLY_28,0.0516707260315287,0.0416895292876361,0.0453545811087907,0.0447011722311936,0.0456831834026362
ANP_MONTHLY_29,0.3824331664285781,0.3400567512302257,0.3509213584307519,0.3621918416317477,0.3678648645571453
ANP_MONTHLY_30,0.1401942374654743,0.1502866395880127,0.1434407095154775,0.1467827178878419,0.1437559899662447
