comparates,Random Forest (DWT),FFORMA,ADE,CREST,Mediana
Random Forest (DWT),"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0344
1 / 0 / 6
0.1093 / 0.0002 / 0.8905
0.2969","-0.0520
1 / 0 / 6
0.1070 / 0.0001 / 0.8928
0.2969","-0.0542
1 / 0 / 6
0.1197 / 0.0031 / 0.8771
0.2969","-0.1391
0 / 0 / 7
0.0000 / 0.0016 / 0.9984
0.0156"
FFORMA,"0.0344
6 / 0 / 1
0.8925 / 0.0002 / 0.1074
0.2969",-,"-0.0177
3 / 0 / 4
0.0951 / 0.1462 / 0.7587
0.3750","-0.0198
3 / 0 / 4
0.1788 / 0.0073 / 0.8139
0.5781","-0.1047
2 / 0 / 5
0.1006 / 0.0160 / 0.8834
0.2969"
ADE,"0.0520
6 / 0 / 1
0.8915 / 0.0002 / 0.1083
0.2969","0.0177
4 / 0 / 3
0.7609 / 0.1434 / 0.0957
0.3750",-,"-0.0022
3 / 0 / 4
0.4494 / 0.0020 / 0.5486
1.0000","-0.0870
2 / 0 / 5
0.0828 / 0.0086 / 0.9086
0.2188"
CREST,"0.0542
6 / 0 / 1
0.8761 / 0.0036 / 0.1202
0.2969","0.0198
4 / 0 / 3
0.8138 / 0.0061 / 0.1802
0.5781","0.0022
4 / 0 / 3
0.5466 / 0.0020 / 0.4514
1.0000",-,"-0.0849
4 / 0 / 3
0.4609 / 0.0464 / 0.4927
1.0000"
Mediana,"0.1391
7 / 0 / 0
0.9984 / 0.0016 / 0.0000
0.0156","0.1047
5 / 0 / 2
0.8842 / 0.0154 / 0.1003
0.2969","0.0870
5 / 0 / 2
0.9083 / 0.0088 / 0.0829
0.2188","0.0849
3 / 0 / 4
0.4897 / 0.0481 / 0.4623
1.0000","If in bold, then
p-value < 0.05"
