serie,Random Forest (CWT),Mediana,FFORMA,ADE,CREST
M4_WEEKLY_DATASET_0,0.0339174416180302,0.0312768427818129,0.0188472532162965,0.0223845111348977,0.037882607609312
M4_WEEKLY_DATASET_1,0.0397437257144468,0.0324324838755837,0.0274835293985677,0.0258974183524499,0.0384851687122413
M4_WEEKLY_DATASET_2,0.0049664683330294,0.0071565328285741,0.0089380432797218,0.0126074452582371,0.0071565328285741
M4_WEEKLY_DATASET_3,0.0700971846120211,0.0737505357915898,0.1321552749148429,0.1126168999065727,0.2032094318551216
M4_WEEKLY_DATASET_4,0.1217915256846098,0.1173562522639739,0.1197850274099197,0.1138627337403575,0.1231633670672423
M4_WEEKLY_DATASET_5,0.1567279655561767,0.2755610500307926,0.276678194919989,0.2700924507716784,0.27862897690682
M4_WEEKLY_DATASET_6,0.3406142004947707,0.2822545167856865,0.2533820578245845,0.2717037498210689,0.2822545167856865
M4_WEEKLY_DATASET_7,0.555449479766671,0.3456097138821353,0.3420757935518279,0.3401559255520973,0.3456097138821353
M4_WEEKLY_DATASET_8,0.1023511300833847,0.1037545315242239,0.0828448451680325,0.0936680264353178,0.1109386086246414
M4_WEEKLY_DATASET_9,0.1397071867887866,1.065373986280934,1.808018268083799,1.8798455208363123,0.6877859289325118
M4_WEEKLY_DATASET_10,0.0716993624004343,0.0900412565401922,0.0828404634067409,0.1721823587223394,0.0658631684633424
M4_WEEKLY_DATASET_11,0.0193745822374156,0.0346800584688404,0.0385659708442008,0.023518170403399,0.021375604243437
M4_WEEKLY_DATASET_12,0.0837433353150069,0.0211774425351777,0.0226362094811841,0.0318290575888617,0.0242181995951676
M4_WEEKLY_DATASET_13,0.089356012689101,0.0245275849523975,0.0372058059967947,0.0403850758137976,0.0603849997609571
M4_WEEKLY_DATASET_14,0.3673570867629472,0.1276853778088563,0.1955332752718429,0.2198073977041233,0.2203429821486752
M4_WEEKLY_DATASET_15,0.3800801527343548,0.1563569003144539,0.2170561989588865,0.2217600408516309,0.2313761594653278
M4_WEEKLY_DATASET_16,0.022352870986556,0.0188424641292175,0.0189904355070383,0.0447622056382333,0.0179290826875125
M4_WEEKLY_DATASET_17,0.0608960977630032,0.0538516442387733,0.0771969536690319,0.0567904012642728,0.0538516442387733
M4_WEEKLY_DATASET_18,0.2551643299387597,0.2023609904453651,0.1802714650862029,0.1984311587149911,0.2097710190825905
M4_WEEKLY_DATASET_19,0.1118445580421088,0.1033938370374962,0.1051257285185648,0.1176499283541601,0.11166129125728
M4_WEEKLY_DATASET_20,0.1982287726651309,0.1893914021865019,0.2013077959861216,0.1704632633938941,0.2205268827491901
M4_WEEKLY_DATASET_21,0.1700911515865929,0.1513750274883226,0.1468507794999329,0.1357862125416272,0.1586442121335131
