serie,CatBoost (Original + FT),Média,FFORMA,ADE,CREST
NN5_WEEKLY_DATASET_0,0.0640636683186813,0.091894652921837,0.0902171230793338,0.044823677922539,0.0565000522882583
NN5_WEEKLY_DATASET_1,0.0944318023446871,0.0963154928833718,0.0957371412371467,0.1000279703110237,0.1090359877671405
NN5_WEEKLY_DATASET_2,0.0788817748318665,0.1094504371063471,0.1083154695281646,0.080984390808243,0.0696616459951776
NN5_WEEKLY_DATASET_3,0.0973167265274871,0.0792686537206109,0.0789876134155761,0.0830533542739153,0.084116598474835
NN5_WEEKLY_DATASET_4,0.0963803780122123,0.0997543080848518,0.0991002959387935,0.0955322264269593,0.096789140130564
NN5_WEEKLY_DATASET_5,0.1088532196895913,0.1200774388758275,0.119739694765639,0.1214596985108643,0.1164470058408413
NN5_WEEKLY_DATASET_6,0.0772201848669386,0.093437238987438,0.0924562628572622,0.0966228873435724,0.1203799616696344
NN5_WEEKLY_DATASET_7,0.1064926877912907,0.1228329663184641,0.1222837891145976,0.1120964997663798,0.1228329663184641
NN5_WEEKLY_DATASET_8,0.0976361772878358,0.1033831680908217,0.1027860246500375,0.1060206705692671,0.1028847856313993
NN5_WEEKLY_DATASET_9,0.0835596337013217,0.1039566786777572,0.1033229945689785,0.0918194893779266,0.1034245031609597
NN5_WEEKLY_DATASET_10,0.0969784043437314,0.1130299361930739,0.1124898796207123,0.1042478321996294,0.1141920341588674
NN5_WEEKLY_DATASET_11,0.21448633693315,0.1684419030160823,0.1689594262936917,0.1614103563497089,0.1405633071030185
NN5_WEEKLY_DATASET_12,0.1551534741601029,0.1387225077436711,0.1381481651440749,0.1340241313503591,0.1182094087370557
NN5_WEEKLY_DATASET_13,0.1161642672247535,0.0977855664217508,0.0970434256385553,0.0967030970125967,0.0794369682582946
NN5_WEEKLY_DATASET_14,0.0632269785836477,0.0703846372636562,0.069941730246468,0.063039159898192,0.0700020147573199
NN5_WEEKLY_DATASET_15,0.0781847439648214,0.0656425101673487,0.0646100677048191,0.0683897598760673,0.0618427173261292
NN5_WEEKLY_DATASET_16,0.1213110020913129,0.112936970388877,0.1126967972560975,0.1083371386981959,0.1198156763593037
NN5_WEEKLY_DATASET_17,0.0691696453617016,0.0588426763633607,0.0593472292238296,0.0593056674485102,0.0587676876206434
NN5_WEEKLY_DATASET_18,0.0599333350427835,0.0527938874542159,0.0528402391974666,0.0523795436921457,0.0586063485192974
NN5_WEEKLY_DATASET_19,0.0972557300192288,0.080033717426456,0.0799405787580614,0.0799760494587544,0.070835427542888
NN5_WEEKLY_DATASET_20,0.1221697310161974,0.0933345273516126,0.092766703833991,0.0909540351472518,0.0908170956602892
NN5_WEEKLY_DATASET_21,0.0761520472171756,0.0712721849079654,0.0706893995978951,0.0752982090381496,0.0704833879429664
NN5_WEEKLY_DATASET_22,0.1719044331859876,0.166213923933977,0.1654926217691947,0.1611888869687467,0.1237786825550213
NN5_WEEKLY_DATASET_23,0.1433682340179781,0.1688634583165771,0.1703028408565756,0.1615789076422389,0.1646105852083472
NN5_WEEKLY_DATASET_24,0.0662428705556597,0.0564312747029231,0.0562718098229654,0.0619016860483343,0.0594671875817469
NN5_WEEKLY_DATASET_25,0.1071391848271902,0.1341985844353239,0.1341482736524807,0.1402091126785242,0.1388689400093337
NN5_WEEKLY_DATASET_26,0.1884776621667688,0.1124332188041981,0.1117171087213064,0.1136380821321017,0.2401562874321432
NN5_WEEKLY_DATASET_27,0.1199555052381761,0.1302054004803998,0.1297394959361925,0.1305671890705156,0.1223417174895863
NN5_WEEKLY_DATASET_28,0.1041285433767763,0.1030802400092941,0.1029029065229149,0.1055950012779192,0.1010678559595187
NN5_WEEKLY_DATASET_29,0.1397807307789934,0.1890038110881595,0.1882301359302763,0.1563493500861365,0.1507706303506704
NN5_WEEKLY_DATASET_30,0.0886314409252653,0.0780971443601373,0.0775727545509452,0.0820260614955787,0.0677690887604065
NN5_WEEKLY_DATASET_31,0.1359048441534648,0.1612464484600855,0.1620438880422499,0.1716961427231362,0.1712844463485953
NN5_WEEKLY_DATASET_32,0.1625573700300861,0.1730633021190524,0.172899529630079,0.1750498502116144,0.169604081835671
NN5_WEEKLY_DATASET_33,0.0931060101012364,0.1032572595228852,0.1027937519206763,0.0953715114345136,0.0940677713134322
NN5_WEEKLY_DATASET_34,0.1038660448871052,0.083718158140222,0.0835133497559726,0.0851407367036773,0.0927016646410651
NN5_WEEKLY_DATASET_35,0.1028891911321445,0.0854134124740142,0.0861366604862745,0.0909580780696516,0.097722368898848
NN5_WEEKLY_DATASET_36,0.2683525112840338,0.2623939065493045,0.2619648355690511,0.2622488767968872,0.2612191997843868
NN5_WEEKLY_DATASET_37,0.0550964166736073,0.055389669285781,0.0555984508833294,0.0566760557873809,0.055389669285781
NN5_WEEKLY_DATASET_38,0.1045123834242425,0.0704930992065448,0.0699618549994391,0.0645804057627135,0.0696036865877008
NN5_WEEKLY_DATASET_39,0.1217318785790968,0.1306573276987578,0.1301101934401381,0.1302668712277843,0.1233441301423454
NN5_WEEKLY_DATASET_40,0.109923167823231,0.1225865294913603,0.1225532979463396,0.1290589545949846,0.1360035555036104
NN5_WEEKLY_DATASET_41,0.0959602982472865,0.0762091951573708,0.0763088525781051,0.0744876298472644,0.0723904879804514
NN5_WEEKLY_DATASET_42,0.1116483793968861,0.1014669094249812,0.1013268203774281,0.1010097570742761,0.0967395533181717
NN5_WEEKLY_DATASET_43,0.0660492804164861,0.0537863992380623,0.0538623404565771,0.0520823193562919,0.0537863992380623
NN5_WEEKLY_DATASET_44,0.1164498209888056,0.1143136070478527,0.1140651471852498,0.1146152540139511,0.1123080399851873
NN5_WEEKLY_DATASET_45,0.1092103788431303,0.1336079956012468,0.132865196642904,0.1351540861445372,0.1306123848834631
NN5_WEEKLY_DATASET_46,0.0634539804390557,0.0955032144672355,0.0938504150081484,0.0463967067362144,0.0420701555526393
NN5_WEEKLY_DATASET_47,0.1408564051613626,0.154587020598498,0.153893506476404,0.139022205309678,0.154055447637577
NN5_WEEKLY_DATASET_48,0.1083649574419119,0.0874400085337739,0.0872698904669144,0.0910844972707062,0.1015271669200563
NN5_WEEKLY_DATASET_49,0.0988388887330501,0.1124528354723311,0.1119081876706622,0.1036922272958159,0.1143638831101053
NN5_WEEKLY_DATASET_50,0.1095432159699062,0.118649376894967,0.1175611648270559,0.1219244240451458,0.1144772794189131
NN5_WEEKLY_DATASET_51,0.1181688275635748,0.1023124608315976,0.101734692282702,0.0949852827181507,0.0895724459809614
NN5_WEEKLY_DATASET_52,0.0779381395791557,0.0817508992735109,0.0818291439240598,0.0824000452756139,0.0821442703294202
NN5_WEEKLY_DATASET_53,0.1215110880986577,0.1423772532555496,0.1423530197257042,0.1397977551627098,0.1175380434567481
NN5_WEEKLY_DATASET_54,0.0607405724490167,0.0804052031001456,0.0788929716947021,0.0597290040028347,0.0587043413685067
NN5_WEEKLY_DATASET_55,0.1696601321816389,0.1389497638501786,0.1385745784455287,0.1442076547818366,0.1518930094416404
NN5_WEEKLY_DATASET_56,0.0918515664505054,0.0875717747536198,0.0871371923022157,0.0871949436715398,0.0930688481176384
NN5_WEEKLY_DATASET_57,0.1408512807491132,0.1338484627647916,0.1338333641046993,0.1363672944871829,0.0757207279567313
NN5_WEEKLY_DATASET_58,0.1903373088776488,0.1791025359067394,0.1793157191024499,0.1822290854713735,0.1789535844631689
NN5_WEEKLY_DATASET_59,0.1933636365614248,0.2027717799278285,0.2023739943292709,0.19959501819797,0.1932271024436041
NN5_WEEKLY_DATASET_60,0.0578254598681245,0.0575752834349486,0.0574224173015798,0.0601012239060811,0.0507152835307349
NN5_WEEKLY_DATASET_61,0.1226617382373685,0.1247446300775684,0.1247751011543593,0.1243131446199704,0.1226278406152148
NN5_WEEKLY_DATASET_62,0.0797705713159432,0.0671486482302163,0.0673778590620883,0.067262277049396,0.0850628373611663
NN5_WEEKLY_DATASET_63,0.1263150810561461,0.1259650026296912,0.1258430525277302,0.1248067347784563,0.1372856268352922
NN5_WEEKLY_DATASET_64,0.1191529570089022,0.1203681450241114,0.1201821761869497,0.1249182949602298,0.1202059074659709
NN5_WEEKLY_DATASET_65,0.1254529732467354,0.1265692036312002,0.1261001168712165,0.1209400392550585,0.1265692036312002
NN5_WEEKLY_DATASET_66,0.089351914439267,0.0744832766278938,0.0740766482712775,0.0753302999060523,0.0794309689298731
NN5_WEEKLY_DATASET_67,0.1232490140023539,0.1013444822083006,0.1024163911178132,0.1381580506492086,0.142437945544019
NN5_WEEKLY_DATASET_68,0.1034075665538569,0.0954282559303551,0.0948114743220053,0.0928817197665388,0.0956514639965381
NN5_WEEKLY_DATASET_69,0.110626831265076,0.1305110487257214,0.131554783398668,0.1244293867001644,0.1305110487257214
NN5_WEEKLY_DATASET_70,0.1499228193472829,0.1535108612206912,0.1536359972895322,0.151991821050458,0.1680849058483151
NN5_WEEKLY_DATASET_71,0.0840943034278446,0.085082589205863,0.0849005434135435,0.0856750241265523,0.085082589205863
NN5_WEEKLY_DATASET_72,0.1510120147312217,0.1456402597145262,0.1458713770446029,0.1632990206567549,0.1378092642224848
NN5_WEEKLY_DATASET_73,0.1721528271929839,0.1673039079965965,0.1666850958388748,0.165848384219597,0.1576927719396946
NN5_WEEKLY_DATASET_74,0.1147291531866841,0.1431411393899678,0.1429508166491181,0.1408505251111295,0.1377021717305614
